Basis,Coeff
(Intercept),57.3947
h(x1-13.55),291.663
h(13.55-x1),-147.374
h(x1-12.457)*h(13.55-x1),-84.3727
h(12.457-x1)*h(13.55-x1),93.0531
h(13.5257-x1)*x0,-2.3256
h(x0-13.53)*x0,-1.22717
h(13.53-x0)*x0,-0.372963
h(x1-13.5871)*h(x1-13.55),-42.5972
h(13.5871-x1)*h(x1-13.55),1737.21
h(12.4056-x1),-26.2783
h(x1-13.3971)*h(13.55-x1),189.165
h(x0-13.53)*h(x1-12.4056),16.3006
h(13.53-x0)*h(x1-12.4056),-112.186
h(x1-13.5324)*h(13.55-x1),6197.54
h(13.53-x0),52.5104
h(x1-12.7086)*h(13.53-x0),95.7269
h(x1-13.8786)*h(x0-13.53),5.55017
h(x1-13.55)*x0,-21.0886
h(13.55-x1)*x0,18.8937
h(x1-13.2953)*h(13.53-x0),-2.60713
h(x1-13.4357)*h(13.55-x1),-183.637
h(x1-13.6857)*h(x1-13.55),-323.51
h(x1-13.6971)*h(x1-13.55),365.884
h(13.3714-x1)*h(13.55-x1),-83.8315
h(x1-13.2611)*x0,0.148745
