[17.59157]
[7.07403]
[18.055742]
[18.465446]
[24.547287]
[18.03696]
[12.752188]
[7.391161]
[20.883717]
[10.861628]
[16.837513]
[16.565279]
[8.401232]
[9.159996]
[15.122959]
[13.310541]
[5.3448467]
[15.272524]
[8.344517]
[9.82197]
[9.857454]
[9.099955]
[10.160875]
[12.0198]
[13.255047]
[8.454636]
[10.93446]
[5.708658]
[10.210724]
[5.9499607]
[7.75852]
[13.160591]
[16.995028]
[8.771717]
[9.373974]
[8.955822]
[10.0042]
[7.1686954]
[9.27342]
[10.48295]
[13.58058]
[7.58152]
[10.944115]
[17.386488]
[8.981607]
[13.944527]
[17.654701]
[14.926228]
[15.332081]
[13.849728]
[18.376509]
[10.802168]
[14.883028]
[15.622042]
[9.535021]
[17.111008]
[14.065878]
[14.306398]
[17.300816]
[13.924906]
[17.623898]
[14.361887]
[15.720814]
[10.451338]
[16.937843]
[6.8661327]
[15.761551]
[10.2878]
[7.923765]
[8.696836]
[12.912735]
[8.618959]
[10.61429]
[7.7828064]
[16.219484]
[8.675987]
[14.623083]
[12.230288]
[8.110018]
[16.562569]
[12.906332]
[18.449097]
[15.64279]
[17.401487]
[12.108358]
[10.183287]
[9.798531]
[16.433529]
[12.242434]
[9.436758]
[8.838831]
[14.021282]
[9.487757]
[16.97522]
[10.684647]
[14.900419]
[15.182053]
[11.341156]
[16.16417]
[6.8527966]
[11.459494]
[11.239233]
[13.564466]
[14.723692]
[18.00127]
[10.477276]
[10.898565]
[4.5137215]
[17.764528]
[16.251753]
[10.50123]
[15.780468]
[12.223572]
[13.168024]
[9.654894]
[10.456541]
[9.817053]
[8.906061]
[15.762075]
[12.008406]
[11.274433]
[4.0612087]
[9.784845]
[13.349983]
[8.447372]
[13.998518]
[14.774685]
[18.059011]
[10.088961]
[7.7651825]
[11.020992]
[13.980206]
[13.930391]
[7.416765]
[10.116266]
[9.585915]
[13.735815]
[19.495564]
[7.6306686]
[9.104393]
[12.969042]
[14.292622]
[14.03064]
[10.311886]
[13.470804]
[13.475145]
[9.323385]
[9.964319]
[13.639164]
[12.795252]
[10.796825]
[8.9175205]
[6.378578]
[14.886963]
[14.604818]
[9.758211]
[9.224939]
[8.753075]
[12.550652]
[10.306253]
[13.761654]
[15.506279]
[13.225195]
[10.124493]
[13.318596]
[12.821112]
[13.26429]
[14.755991]
[12.148592]
[11.786848]
[12.323006]
[12.686487]
[12.215311]
[8.259623]
[11.869843]
[12.567759]
[13.214684]
[13.903143]
[12.246822]
[12.907394]
[12.531631]
[10.1814995]
[15.306278]
[11.531971]
[7.405552]
[12.703388]
[11.769287]
