Basis,Coeff
(Intercept),68.5512
h(13.7143-x1),-41.265
h(x1-12.8543)*h(13.7143-x1),10.6896
h(x1-14.1916)*h(x1-13.7143),-56.0613
h(14.1916-x1)*h(x1-13.7143),50.725
h(13.51-x1),41.1769
h(x1-12.338),92.8911
h(12.7157-x1)*h(x1-12.338),41.1435
h(x0-12.27),-5.76258
h(12.27-x0),-220.162
h(x0-13.2)*h(x0-12.27),0.654585
h(13.9207-x1)*h(x1-13.51),-28.2018
h(x0-10.21)*h(12.27-x0),73.3152
h(10.21-x0)*h(12.27-x0),-73.3855
h(13.6057-x1)*h(x1-13.51),203.589
h(x1-12.9997)*h(13.51-x1),17.9601
h(x1-13.7886)*h(x0-12.27),-36.1922
h(13.7886-x1)*h(x0-12.27),29.4818
h(x0-13.2),6.58328
h(x0-13.21)*h(13.51-x1),13.0849
h(13.4286-x1)*h(x0-13.2),16.4999
h(x0-12.3)*h(13.51-x1),-30.3614
h(x0-12.3)*h(13.2-x0),-3.53908
h(12.3-x0)*h(13.2-x0),72.8749
h(x1-12.626)*h(x1-12.338),-50.9143
h(x1-14.496)*h(x1-12.338),52.7445
h(14.496-x1)*h(x1-12.338),-51.0527
h(x0-15.1),-3.4352
h(x1-13.8423)*h(x0-13.2),35.1272
h(13.8423-x1)*h(x0-13.2),-28.5931
h(x1-13.73)*h(x1-13.51),54.0821
