Basis,Coeff
(Intercept),47.6566
h(x1-15.6109),16.756
h(x1-15.9429)*h(x1-15.6109),45.0149
h(15.9429-x1)*h(x1-15.6109),-35.107
h(15.0334-x1)*h(16.0437-x1),6.40203
h(16.1213-x1)*h(x1-16.0437),277.855
h(16.2199-x1),-17.3077
x0*h(x1-16.0437),-1.14145
h(x1-16.0006)*h(16.0437-x1),846.273
h(16.0006-x1)*h(16.0437-x1),-30.2998
x0*h(16.2199-x1),0.205455
h(15.3969-x1)*h(15.6109-x1),-33.7427
h(14.8657-x1)*h(16.2199-x1),-5.68986
h(x1-14.561)*h(16.2199-x1),1.9523
h(15.3266-x1)*h(16.0437-x1),4.33662
h(x1-15.203)*h(15.208-x1),67100.2
h(x1-15.422)*h(15.6109-x1),-36.3329
h(15.422-x1)*h(15.6109-x1),58.8985
h(16.2234-x1)*h(x1-16.2199),283924
h(x1-16.3636),-35.6433
h(16.3636-x1),42.9441
x0*h(x1-15.208),-0.0798756
