Basis,Coeff
(Intercept),97.7869
h(x1-18.4236)*h(x1-16.7006),15.0781
h(18.4236-x1)*h(x1-16.7006),-8.22376
h(17.9-x0),-39.8601
x0*h(16.7006-x1),0.440795
x0*h(17.9-x0),2.61814
h(17.6171-x1)*h(x1-17.4707),-183.664
h(x1-17.1794)*h(17.9-x0),4.27555
h(18.5081-x1),-9.51775
h(17.5281-x1)*h(x1-17.4707),-3117.05
h(18.7816-x1)*h(x1-18.5081),41.7339
h(x1-16.7843)*h(17.4707-x1),11.6627
h(x1-18.6557)*h(x0-17.9),1.69174
h(18.6557-x1)*h(x0-17.9),0.744908
h(x1-16.7029)*h(17.9-x0),-7.81092
h(x1-17.5153)*h(x1-17.4707),-14.821
h(17.5153-x1)*h(x1-17.4707),3545.79
x0*h(x0-17.9),-0.0429201
