Basis,Coeff
(Intercept),133.469
x0,0.617964
h(x1-15.5966),-1.24915
h(14.5343-x1),-106.863
h(x1-13.7614),-113.978
h(13.7614-x1),130.738
h(x1-14.91),44.4485
h(x1-16.0437),-16.7335
h(16.3339-x1),18.5651
h(15.9309-x1),8.02482
h(x1-16.1371),7.96563
h(13.9471-x1),-6.76835
h(11.6927-x1),-1.4828
h(x1-14.5629),80.8411
h(x1-15.16),30.1195
h(x1-15.3386),3.35333
h(15.0644-x1),-17.5011
h(x1-14.8624),-75.9146
h(x1-13.7071),-9.8
h(15.2057-x1),-25.0215
h(x1-14.7986),42.7096
h(x1-14.4571),25.2451
