Basis,Coeff
<<<<<<< HEAD
(Intercept),6.82796e+13
h(x1-19.6327),-7.06723e+13
h(19.6327-x1),7.06723e+13
h(19.0509-x1),-31.3057
h(x1-19.4329),6.75
h(x0-19.01),0.351562
h(19.01-x0),1.21533
h(18.6066-x1),-4.83789
h(x1-19.0156),28.3047
h(x1-20.3694),4.63574
h(x1-20.5989),7.06723e+13
h(20.5989-x1),-7.06723e+13
=======
(Intercept),81.8728
h(x1-12.154),59.3841
h(11.8064-x1),-1.23512
h(12.2066-x1),-8.53835
h(x1-8.06757),-7.49783
h(8.06757-x1),8.41208
h(x0-12.71),0.798149
h(12.7671-x1),1.98569
h(x1-10.5521),-0.328832
h(x1-12.1304),-17.7496
h(x1-12.1654),-31.7043
>>>>>>> 3079fad7b133f9832220e9899597abb31f8bdb3e
