Basis,Coeff
(Intercept),64.5095
h(x1-13.6957),43.6277
h(13.9083-x1)*h(x1-13.6957),-49.2478
h(13.3371-x1)*h(13.6957-x1),-27.1042
h(x0-12.1),0.490368
h(x0-11.4)*h(13.6957-x1),0.344356
h(x1-12.6254)*h(13.6957-x1),-3.60694
h(x1-14.6529),6.17035
h(14.6529-x1),-3.89274
h(13.1657-x1)*h(14.6529-x1),-2.74507
h(x0-13.2)*h(x0-12.1),0.165952
h(13.2-x0)*h(x0-12.1),-2.54996
h(14.2304-x1)*h(x0-12.1),-3.0181
h(x1-13.7129),-47.0985
h(13.5329-x1)*h(13.6957-x1),29.8918
h(x1-12.9343)*h(13.7129-x1),14.9033
h(x1-14.1314)*h(x0-12.1),-1.32637
h(14.1314-x1)*h(x0-12.1),2.49309
