Basis,Coeff
(Intercept),-3684.17
h(x0-8.2),5.77607
h(8.2-x0),-3.61116
h(4.38257-x1),762.53
h(3.04657-x1)*h(4.38257-x1),7.55981
h(x1-4.67786)*h(x1-4.38257),-427.797
h(x0-2.86)*h(8.2-x0),-0.782131
h(2.86-x0)*h(8.2-x0),-0.612992
h(x1-1.393),903.983
h(1.393-x1),-903.4
h(x1-0.307429)*h(1.393-x1),83.2818
h(0.307429-x1)*h(1.393-x1),58.7812
h(11.9693-x1)*h(x1-1.393),0.545862
h(x1-6.45929)*h(x1-4.38257),422.045
h(6.45929-x1)*h(x1-4.38257),-409.463
h(16.1574-x1),95.076
h(x1-14.8399)*h(x0-8.2),-0.687135
h(14.8399-x1)*h(x0-8.2),-0.18336
h(x1-17.2163)*h(x1-16.1574),5.13674
h(17.2163-x1)*h(x1-16.1574),7.72339
h(x0-12.93)*h(x0-8.2),-0.129762
h(12.93-x0)*h(x0-8.2),0.579424
h(x1-2.51586)*h(16.1574-x1),-5.63539
