clusters,error,models,partitioner
1.0,4.102,AN,KMeansPartitioner
2.0,nan,AN,KMeansPartitioner
3.0,nan,AN,KMeansPartitioner
4.0,nan,AN,KMeansPartitioner
5.0,nan,AN,KMeansPartitioner
6.0,nan,AN,KMeansPartitioner
7.0,nan,AN,KMeansPartitioner
8.0,nan,AN,KMeansPartitioner
9.0,nan,AN,KMeansPartitioner
10.0,nan,AN,KMeansPartitioner
11.0,nan,AN,KMeansPartitioner
1.0,1.803,LR,KMeansPartitioner
2.0,2.474,LR,KMeansPartitioner
3.0,2.655,LR,KMeansPartitioner
4.0,2.994,LR,KMeansPartitioner
5.0,3.696,LR,KMeansPartitioner
6.0,3.375,LR,KMeansPartitioner
7.0,3.439,LR,KMeansPartitioner
8.0,3.549,LR,KMeansPartitioner
9.0,4.117,LR,KMeansPartitioner
10.0,4.18,LR,KMeansPartitioner
11.0,4.162,LR,KMeansPartitioner
1.0,4.059,RF,KMeansPartitioner
2.0,3.72,RF,KMeansPartitioner
3.0,3.781,RF,KMeansPartitioner
4.0,3.994,RF,KMeansPartitioner
5.0,4.214,RF,KMeansPartitioner
6.0,4.029,RF,KMeansPartitioner
7.0,3.631,RF,KMeansPartitioner
8.0,3.679,RF,KMeansPartitioner
9.0,4.413,RF,KMeansPartitioner
10.0,4.367,RF,KMeansPartitioner
11.0,4.397,RF,KMeansPartitioner
1.0,2.6,SP,KMeansPartitioner
2.0,2.764,SP,KMeansPartitioner
3.0,3.451,SP,KMeansPartitioner
4.0,3.739,SP,KMeansPartitioner
5.0,4.039,SP,KMeansPartitioner
6.0,3.683,SP,KMeansPartitioner
7.0,3.512,SP,KMeansPartitioner
8.0,3.611,SP,KMeansPartitioner
9.0,4.187,SP,KMeansPartitioner
10.0,4.214,SP,KMeansPartitioner
11.0,4.159,SP,KMeansPartitioner
1.0,1.916,NN1,KMeansPartitioner
2.0,1.83,NN1,KMeansPartitioner
3.0,2.119,NN1,KMeansPartitioner
4.0,2.228,NN1,KMeansPartitioner
5.0,2.512,NN1,KMeansPartitioner
6.0,1.971,NN1,KMeansPartitioner
7.0,2.518,NN1,KMeansPartitioner
8.0,2.525,NN1,KMeansPartitioner
9.0,2.37,NN1,KMeansPartitioner
10.0,2.52,NN1,KMeansPartitioner
11.0,2.404,NN1,KMeansPartitioner
1.0,1.763,NN2,KMeansPartitioner
2.0,1.645,NN2,KMeansPartitioner
3.0,1.889,NN2,KMeansPartitioner
4.0,1.979,NN2,KMeansPartitioner
5.0,2.828,NN2,KMeansPartitioner
6.0,3.053,NN2,KMeansPartitioner
7.0,4.117,NN2,KMeansPartitioner
8.0,2.997,NN2,KMeansPartitioner
9.0,3.296,NN2,KMeansPartitioner
10.0,4.993,NN2,KMeansPartitioner
11.0,2.646,NN2,KMeansPartitioner
