,Latitude,Longitude
21941,22.444272927921624,249.37873239120995
21942,22.444272927921624,249.37873239120995
21943,22.442155452087075,249.38351620971582
21944,22.440027269894177,249.38832436148527
21945,22.43792179547095,249.39308097211006
21946,22.435782699647373,249.39791327724777
21947,22.433644753403858,249.40274277650525
21948,22.43151513877863,249.40755322338995
21949,22.429383067641254,249.41236898061794
21950,22.427235351076497,249.41721982132844
21951,22.425091160673308,249.42206243154914
21952,22.42295888707505,249.426877864363
21953,22.42083494467764,249.43167424647922
21954,22.418700149253077,249.43649488268352
21955,22.416553300930566,249.44134247788418
21956,22.41442076819553,249.44615748474882
21957,22.41227977621345,249.4509913291119
21958,22.41227977621345,249.4509913291119
21959,22.41227977621345,249.4509913291119
21960,22.410135063127733,249.45583315512104
21961,22.407991628355603,249.4606722414531
21962,22.405843329867672,249.46552204418055
21963,22.403688968519006,249.47038526895076
21964,22.4015429337498,249.4752294418348
21965,22.39941004833588,249.4800437529089
21966,22.397279520614468,249.48485255799824
21967,22.39514414659251,249.48967208852264
21968,22.393006324756264,249.4944969322317
21969,22.39086725455761,249.49932438315193
21970,22.388741319632672,249.50412196784157
21971,22.38661293839,249.50892486691487
21972,22.38449049921436,249.51371413687215
21973,22.382348815292048,249.5185465961577
21974,22.3802202690206,249.5233491920997
21975,22.378092867904893,249.52814898197175
21976,22.375965415943902,249.5329486731189
21977,22.373845116556648,249.53773203655143
21978,22.371721165626624,249.5425234166588
21979,22.369599553487223,249.54730928291048
21980,22.367471888161816,249.55210857468597
21981,22.36535976007729,249.5568725971672
21982,22.36322359937716,249.56169062978293
21983,22.36322359937716,249.56169062978293
21984,22.36322359937716,249.56169062978293
21985,22.361080129899182,249.56652476273243
21986,22.358939149484424,249.57135345797363
21987,22.35679811528914,249.57618205214936
21988,22.354657027633664,249.58101054543093
21989,22.352525481223275,249.58581729739473
21990,22.350389078527012,249.59063476638227
21991,22.34826221423572,249.5954304935948
21992,22.34612090316741,249.60025857945203
21993,22.343966335884506,249.605116313092
21994,22.341827314725037,249.6099387861422
21995,22.3396786367705,249.61478279254592
21996,22.3396786367705,249.61478279254592
21997,22.3396786367705,249.61478279254592
21998,22.337537038408108,249.6196104367407
21999,22.33539673034737,249.62443534940763
22000,22.333267159528265,249.62923581746952
22001,22.33111832405274,249.6340794486564
22002,22.328983820230444,249.6388905197639
22003,22.32681686239679,249.6437745042515
22004,22.324658243782487,249.64863945320116
22005,22.322500752747697,249.65350158635133
22006,22.320350394723253,249.6583473861334
22007,22.318203576953827,249.6631849691774
22008,22.316062694743906,249.66800892542483
22009,22.31392654363248,249.67282195718477
22010,22.311802325658256,249.67760784240443
22011,22.309676847085925,249.68239632833718
