TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE
2017-07-21 12:00:00;N;B;51;22;27;39;112;6.05;102.9;225;3;12.34;16;42;21.988023952095812;0.5;0.07
2017-07-21 20:48:00;A;B;53;32;26;0;180;0;85.6;225;2;9.55;8;48;14.999999999999998;0;0.07
2017-07-23 12:00:00;N;B;56;32;26;34;157;6.05;102.0;315;2;11.75;18;18;22.950819672131146;0.5;0.08
2017-07-23 19:42:00;A;B;56;10;25;21;45;6.05;101.1;225;2;11.04;7;42;20.883116883116884;0.5;0.08
2017-07-26 12:00:00;N;B;54;27;25;59;202;6.05;101.5;225;2;11.8;16;42;23.137724550898206;0.5;0.08
2017-07-26 13:06:00;A;B;54;29;25;53;202;6.05;102.1;0;2;9.09;1;6;24.0;0.5;0.11
2017-07-31 12:00:00;N;L;54;20;25;17;202;6.6;103.3;315;2;12.42;3;18;23.272727272727277;0;0.08
2017-08-01 12:00:00;N;L;50;34;28;10;292;6.6;101.2;315;4;12.0;25;0;24.383999999999997;0;0.08
2017-08-01 20:24:00;A;L;47;11;30;53;0;6.6;101.6;225;4;11.9;8;24;24.857142857142854;0;0.09
2017-08-14 12:00:00;N;B;50;26;27;55;135;6.05;108.9;225;2;12.13;15;30;25.703225806451616;0.5;0.09
2017-08-14 19:12:00;A;B;50;9;26;37;0;6.05;106.3;157;3;12.64;7;12;24.333333333333332;0.5;0.08
2017-08-17 12:00:00;N;L;49;8;29;34;292;6.55;107.0;135;2;12.36;17;48;26.224719101123593;0;0.09
2017-08-17 16:30:00;A;L;48;43;29;41;292;6.55;110.0;135;2;13.11;4;30;24.0;0;0.08
2017-08-23 12:00:00;N;B;50;16;27;0;247;0;105.0;90;2;11.29;17;48;22.786516853932582;0;0.08
2017-08-23 12:18:00;A;B;49;1;27;40;270;6.05;105.0;90;3;16.67;0;18;20.0;0.5;0.05
2017-08-27 12:00:00;N;L;49;20;29;13;315;10.05;104.9;135;4;11.31;16;0;25.049999999999997;0;0.09
2017-08-27 14:48:00;A;L;48;38;29;43;292;10.05;104.8;135;3;14.29;2;48;22.28571428571429;0;0.07
2017-09-06 12:00:00;N;B;52;56;26;40;135;6.05;105.0;112;2;12.03;22;42;20.82819383259912;0.5;0.07
2017-09-07 12:00:00;N;B;56;29;25;42;157;6.05;104.9;157;2;12.21;24;0;20.4;0.5;0.07
2017-09-07 13:42:00;A;B;56;14;25;36;225;6.05;105.0;157;2;10.59;1;42;19.76470588235294;0.5;0.08
2017-09-09 12:00:00;N;B;65;34;23;30;101;6.2;105.0;112;4;12.27;16;18;21.202453987730063;1;0.07
2017-09-10 12:00:00;N;B;65;34;23;30;0;6.55;107.8;112;4;12.81;23;30;21.855319148936168;1.5;0.07
2017-09-11 07:30:00;A;B;69;29;22;40;0;6.55;105.3;315;2;12.56;19;30;21.661538461538463;1.5;0.07
2017-09-12 12:00:00;N;L;68;41;22;56;270;10.3;110.0;225;2;12.7;3;42;26.59459459459459;0;0.09
2017-09-13 12:00:00;N;L;63;56;23;47;270;10.3;114.2;247;5;11.88;25;0;29.088;0;0.1
2017-09-14 12:00:00;N;L;58;57;24;8;270;10.3;117.0;247;5;12.64;25;0;28.991999999999997;0;0.1
2017-09-15 12:00:00;N;L;53;28;26;35;270;10.3;110.0;270;4;12.73;24;30;28.702040816326534;0;0.09
2017-09-16 12:00:00;N;L;49;13;29;24;315;10.3;105.6;292;4;11.79;24;0;27.899999999999995;0;0.1
2017-09-16 16:00:00;A;L;48;37;29;44;292;10.3;105.0;292;3;12.0;4;0;26.400000000000002;0;0.09
2017-10-10 07:43:00;A;B;47;11;30;53;135;6.05;0.0;45;2;0.0;0;1;0.0;0.5;0
2017-10-13 20:36:00;A;L;47;11;30;53;292;6.88;0.0;315;3;1.67;0;54;10.666666666666668;0;0.27
2017-11-01 12:00:00;N;B;49;56;28;46;135;6.05;104.9;315;4;11.69;6;30;21.78461538461539;0.5;0.08
2017-11-02 10:12:00;A;B;53;47;26;19;157;6.05;105.0;135;3;11.15;21;42;21.788018433179722;0.5;0.08
2017-11-06 12:00:00;N;L;55;14;26;40;67;0;104.8;67;4;10.45;13;24;24.35820895522388;0;0.1
2017-11-07 01:36:00;A;L;56;17;25;35;247;9.7;103.6;315;3;9.54;13;6;25.09923664122137;0;0.11
2017-11-08 16:36:00;A;B;56;11;25;37;292;6.05;105.0;67;2;11.43;1;24;20.57142857142857;0.5;0.08
2017-11-09 07:48:00;A;B;56;38;24;46;202;6.05;112.0;90;2;10.0;3;48;22.105263157894736;0.5;0.09
2017-11-09 20:12:00;A;B;56;17;25;34;270;6.05;102.0;0;2;9.5;4;0;19.799999999999997;0.5;0.09
2017-11-12 12:00:00;N;B;56;31;25;45;0;10;105.3;315;3;10.54;3;42;23.35135135135135;0;0.09
2017-11-13 12:00:00;N;B;53;39;26;15;292;10;105.2;270;5;10.24;25;0;26.112;0;0.11
2017-11-14 07:18:00;A;L;50;42;26;12;135;10;104.8;292;5;9.84;19;18;26.362694300518132;0;0.11
2017-11-19 12:00:00;N;B;51;37;26;29;135;6.05;102.2;0;3;10.73;9;36;23.75;0.5;0.09
2017-11-19 14:00:00;A;B;51;55;25;36;157;6.05;102.1;270;3;10.5;2;0;22.799999999999997;0.5;0.09
2017-11-21 11:00:00;A;B;51;55;25;43;202;6.05;100.7;270;3;11.5;2;0;21.6;0.5;0.08
