TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE
2009-07-04 12:00:00;N;L;6;1;36;23;260;0;0.0;270;3;0.0;24;0;34.6;0;0.1
2011-02-04 12:00:00;N;L;13;2;55;55;251;10.395;121.3;225;5;13.2;25;0;31.1904;-0.05;0.1
2009-07-03 12:00:00;N;L;0;39;36;34;260;0;0.0;270;3;0.0;25;0;30.623999999999995;0;0.09
2009-09-05 12:00:00;N;B;9;10;38;44;301;0;0.0;225;6;0.0;24;0;28.899999999999995;0;0.09
2009-07-05 12:00:00;N;L;9;49;39;37;260;0;0.0;315;5;0.0;25;0;31.103999999999996;0;0.1
2009-07-05 19:00:00;A;L;8;10;41;42;0;0;0.0;315;3;0.0;7;0;109.61142857142856;0;0.32
2009-07-09 12:00:00;N;B;9;6;37;44;167;0;0.0;0;5;0.0;23;30;12.76595744680851;0;0.05
2009-07-10 12:00:00;N;B;3;8;36;36;84;0;0.0;45;3;0.0;23;0;23.060869565217395;0;0.07
2009-07-11 12:00:00;N;B;3;1;37;11;82;0;0.0;90;5;0.0;24;0;23.94;0;0.07
2009-08-04 12:00:00;N;L;15;13;36;31;35;0;0.0;225;3;0.0;16;30;26.181818181818183;0;0.07
2009-09-16 12:00:00;N;B;24;51;37;20;45;0;115.0;0;3;0.0;23;0;27.130434782608695;0;0.11
2009-07-12 12:00:00;N;B;1;35;37;1;104;0;0.0;90;4;0.0;24;0;27.7;0;0.08
2009-07-13 05:12:00;A;B;14;54;35;30;0;0;0.0;0;0;0.0;16;12;32.44444444444444;0;0.09
2009-09-16 21:30:00;A;B;26;12;40;25;0;0;117.6;0;0;0.0;10;30;22.857142857142858;0;0.07
2009-06-18 05:00:00;A;B;35;30;33;19;;5;;315;2;;0;0;0;-10;
2009-06-19 00:00:00;N;;31;3;34;28;270;0;169.3;315;2;0.0;14;30;0.0;0;0
2009-07-16 12:00:00;N;L;10;34;37;40;284;0;0.0;45;2;0.0;14;30;32.275862068965516;0;0.09
2009-07-17 12:00:00;N;L;3;36;37;40;268;0;0.0;270;4;0.0;24;0;28.399999999999995;0;0.08
2009-09-22 12:00:00;N;B;34;48;42;31;225;0;120.4;90;5;0.0;13;30;32.355555555555554;0;0.09
2009-09-24 12:00:00;N;B;25;17;33;26;0;0;111.0;0;0;0.0;4;0;24.839999999999996;0;0.07
2009-07-18 04:12:00;A;L;0;34;37;59;0;0;0.0;0;0;0.0;17;12;40.186046511627914;0;0.13
2009-07-22 01:00:00;A;B;14;54;35;30;0;0;0.0;0;0;0.0;13;0;54.46153846153846;0;0.15
