stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
10.33,11.8,37.3,4.84,97.1,0.0,182.9,2019-09-16 12:11:00,30.623283,-88.032583
10.52,11.8,36.84,4.37,99.9,0.0,183.1,2019-09-16 12:12:00,30.620333000000002,-88.0327
10.6,11.8,36.84,4.42,111.7,0.0,176.3,2019-09-16 12:13:00,30.617366999999998,-88.0327
10.63,11.8,36.84,2.11,129.2,0.0,174.8,2019-09-16 12:14:00,30.61445,-88.032333
10.67,11.8,36.84,4.63,119.2,0.0,175.8,2019-09-16 12:15:00,30.611517,-88.031983
11.01,11.8,53.0,5.14,100.0,0.0,176.0,2019-09-16 12:16:00,30.608517,-88.031667
11.24,11.8,53.0,4.06,124.0,0.0,176.0,2019-09-16 12:17:00,30.605483000000003,-88.031367
11.23,11.8,53.0,5.04,123.1,0.0,175.9,2019-09-16 12:18:00,30.602466999999997,-88.03105
11.23,11.8,53.0,5.04,123.1,0.0,175.9,2019-09-16 12:18:32,30.602466999999997,-88.03105
11.17,11.8,52.0,5.71,125.5,0.0,174.5,2019-09-16 12:19:00,30.599433,-88.03071700000002
11.19,11.8,52.0,7.67,87.1,0.0,174.9,2019-09-16 12:20:00,30.5965,-88.030333
11.2,11.8,53.0,5.35,108.9,0.0,176.1,2019-09-16 12:21:00,30.593466999999997,-88.02995
11.16,11.8,53.0,3.76,112.6,0.0,176.4,2019-09-16 12:22:00,30.5904,-88.02963299999998
11.19,11.8,45.08,5.81,92.9,0.0,176.1,2019-09-16 12:23:00,30.587333,-88.02936700000002
11.12,11.8,45.08,6.22,125.1,0.0,174.9,2019-09-16 12:24:00,30.58428300000001,-88.02901700000002
11.12,11.8,45.08,4.58,111.8,0.0,175.2,2019-09-16 12:25:00,30.581217,-88.02865
10.91,11.8,42.09,5.61,109.8,0.0,175.2,2019-09-16 12:26:00,30.578266999999997,-88.0283
10.84,11.8,42.09,2.42,121.7,0.0,175.3,2019-09-16 12:27:00,30.57545,-88.02795
10.83,11.8,42.09,2.73,110.0,0.0,176.0,2019-09-16 12:28:00,30.572567,-88.02765
10.85,11.8,42.09,4.53,111.8,0.0,176.2,2019-09-16 12:29:00,30.56965,-88.027367
10.94,11.8,42.09,5.71,117.9,0.0,176.1,2019-09-16 12:30:00,30.566716999999997,-88.02708299999998
10.77,11.8,42.09,6.33,105.9,0.0,175.1,2019-09-16 12:31:00,30.5638,-88.02675
10.98,11.8,42.09,4.63,106.0,0.0,175.0,2019-09-16 12:32:00,30.560883,-88.02645
11.16,11.8,45.08,8.03,115.9,0.0,175.1,2019-09-16 12:33:00,30.557883,-88.0261
11.31,11.8,40.77,6.17,112.7,0.0,175.3,2019-09-16 12:34:00,30.55485,-88.02578299999998
11.32,11.8,40.77,7.67,114.5,0.0,174.5,2019-09-16 12:35:00,30.55175,-88.02545
11.27,11.8,37.0,8.49,126.8,0.0,174.2,2019-09-16 12:36:00,30.548717,-88.025083
11.12,11.8,45.08,4.58,105.9,0.0,174.1,2019-09-16 12:37:00,30.545733000000002,-88.02471700000002
10.94,11.8,42.09,6.69,106.9,0.0,175.1,2019-09-16 12:38:00,30.542917,-88.0244
10.96,11.8,42.09,5.3,113.0,0.0,175.0,2019-09-16 12:39:00,30.540033,-88.0241
10.79,11.8,42.09,7.36,113.9,0.0,175.1,2019-09-16 12:40:00,30.537166999999997,-88.023783
10.74,11.8,33.0,7.2,115.3,0.0,174.7,2019-09-16 12:41:00,30.534316999999998,-88.02345
10.92,11.8,41.0,8.39,118.0,0.0,175.0,2019-09-16 12:42:00,30.531433000000003,-88.02315
10.72,11.8,42.0,3.6,114.7,0.0,175.3,2019-09-16 12:43:00,30.528516999999997,-88.022817
11.01,11.8,42.0,5.4,92.8,0.0,175.2,2019-09-16 12:44:00,30.525483,-88.022483
11.55,11.8,42.0,7.31,89.1,0.0,174.9,2019-09-16 12:45:00,30.522583,-88.02216700000002
11.62,11.8,41.0,6.38,119.1,0.0,174.9,2019-09-16 12:46:00,30.519583,-88.021833
11.63,11.8,42.0,6.89,107.9,0.0,175.1,2019-09-16 12:47:00,30.516583,-88.02148299999998
11.63,11.8,41.0,5.3,92.1,0.0,174.9,2019-09-16 12:48:00,30.513633000000002,-88.02115
11.46,11.8,41.0,8.39,105.7,0.0,174.3,2019-09-16 12:49:00,30.5107,-88.020783
11.42,11.8,42.0,8.03,149.6,0.0,174.4,2019-09-16 12:50:00,30.507783,-88.0204
11.41,11.8,42.0,7.87,101.7,0.0,175.3,2019-09-16 12:51:00,30.5049,-88.02005
11.38,11.8,41.0,8.18,113.8,0.0,175.2,2019-09-16 12:52:00,30.502033,-88.019733
11.11,11.8,42.0,3.76,98.9,0.48,175.1,2019-09-16 12:53:00,30.499133,-88.01943299999998
11.17,11.8,41.0,7.72,104.8,0.48,175.2,2019-09-16 12:54:00,30.496333,-88.019133
11.21,11.8,42.0,5.5,125.0,0.48,175.0,2019-09-16 12:55:00,30.493583,-88.01885
11.37,11.8,42.0,5.92,107.3,0.48,175.7,2019-09-16 12:56:00,30.4907,-88.018517
11.37,11.8,42.0,4.48,114.6,0.48,175.4,2019-09-16 12:57:00,30.487783,-88.018233
11.57,11.8,41.0,7.25,106.8,0.48,175.2,2019-09-16 12:58:00,30.484833000000002,-88.01791700000004
11.88,11.8,41.0,6.38,110.3,0.48,174.7,2019-09-16 12:59:00,30.481783,-88.017617
