,Latitude,Longitude,x,y
43857,50.247433,-1.504215,-167448.44784360402,6489237.66059212
43858,51.998067,3.877165,431604.03352150257,6799775.950751917
43859,46.482383,-7.675753,-854460.9154149422,5857991.301112715
43860,36.436467,15.623632999999998,1739214.869900985,4360845.9564638045
43861,45.180867,-8.682127000000001,-966489.956642532,5650040.37791867
43862,36.55475,-8.423695,-937721.4379978447,4377225.068434137
43863,21.30135,66.769183,7432711.452242899,2427847.843847272
43864,25.870317,55.406933,6167871.567977026,2983027.9940344337
43865,50.1303,-2.104253,-234244.37246021832,6468872.159781058
43866,23.5556,37.245933,4146198.2956803846,2699348.781232085
43867,24.03485,36.866517,4103961.899761564,2757655.308949516
43868,25.172233,35.957867,4002811.444452256,2896914.4402749785
43869,36.456733,-8.760583,-975223.6386122091,4363650.494360882
43870,36.393967,16.389882999999998,1824513.429721331,4354966.913378254
43871,33.656317,27.438817,3054475.1364098187,3982746.6269781785
43872,36.1848,16.62265,1850424.933634809,4326079.4516993575
43873,37.071583,3.272815,364328.09926058765,4449089.236678368
43874,24.64355,63.7761,7099522.976780895,2832025.8750886056
43875,36.261483,16.163817,1799347.877715659,4336660.936983509
43876,36.164417,-6.9342320000000015,-771915.1752824232,4323268.545538168
43877,37.695717,9.725013,1082583.4951179659,4536529.559988976
43878,39.534833,-9.866613,-1098346.3350142932,4798573.950106758
43879,36.02595,-5.348828,-595428.8093008039,4304192.639761177
43880,25.47755,35.710183,3975239.3876946145,2934515.8468295382
43881,26.4098,56.1495,6250533.748296916,3049925.5977831995
43882,51.489667,0.814217,90638.22183522682,6708371.521958684
43883,36.5854,-0.122258,-13609.698305404041,4381473.381550188
43884,28.3548,33.221717,3698224.6197182406,3293780.04335875
43885,50.558467,0.317925,35391.2491104515,6543560.166407556
43886,46.971533,-6.940803,-772646.6556564256,5937428.770684853
43887,51.494867,0.719852,80133.55808651958,6709301.240108266
43888,39.216133,-9.84804,-1096278.7981117899,4752678.225986321
43889,27.481017,34.1613,3802818.5208362564,3183698.0801351224
43890,49.656133,-3.797077,-422688.67814285087,6386935.739741363
43891,35.123083,23.588983,2625913.575891187,4180620.2375335
43892,53.86835,7.078995,788030.1187281298,7145262.68092182
43893,50.345833,-0.971393,-108134.97412015041,6506384.842357157
43894,26.95955,34.51265,3841930.6239264733,3118418.9644539054
43895,36.007133,-5.05465,-562681.0641382203,4301602.906237353
43896,24.541783,66.334117,7384280.126661433,2819567.077102749
43897,26.71085,34.777783,3871445.094478966,3087392.4914990077
43898,36.11313300000001,-4.014337,-446873.9507125975,4316199.48527568
43899,37.190367,4.418053,491815.4102576946,4465674.814134103
43900,53.8746,5.299732,589963.4675808173,7146442.715749778
43901,36.27715,-2.261005,-251693.9252810455,4338824.103300388
43902,47.396867,-6.98424,-777482.040378013,6007095.174356774
43903,12.1719,46.0665,5128099.322628337,1365278.004444473
43904,16.218617000000002,55.206467,6145555.794935662,1830053.7612249476
43905,49.74915,-3.239773,-360649.8806457963,6402945.844799427
43906,49.61625,-0.304995,-33951.888094494476,6380080.443216533
43907,51.848967,1.796318,199965.20506279162,6772862.685273934
43908,51.432933,3.5911720000000003,399767.43839106185,6698234.821867807
43909,49.832717,-0.45715,-50889.70521614502,6417355.615881829
43910,36.033567,-4.865307,-541603.4977929494,4305241.123007336
43911,24.2581,59.911917,6669364.09288887,2784890.405750378
43912,22.118417,38.387367,4273262.147334513,2525748.558791075
43913,31.740833,31.945633,3556171.5986287966,3729338.803123277
43914,49.786883,-3.4213370000000003,-380861.4926721863,6409449.209103947
43915,45.057917,-8.421102000000001,-937432.7865582178,5630643.945506878
43916,37.5464,8.05105,896238.7863511852,4515544.0403331695
43917,18.124417,57.453667,6395712.954646306,2052116.4868751853
43918,21.377417,38.919883,4332541.557293785,2436938.851886461
43919,25.421433,57.402183,6389981.781982305,2927597.6162679587
43920,36.543733,14.417882999999998,1604991.3938769954,4375698.443773093
43921,37.0254,-9.593787,-1067975.483619128,4442647.8112964425
43922,36.1049,-4.06387,-452387.9390500607,4315065.066908944
43923,51.922033,2.433065,270847.55686693615,6786040.27915922
43924,49.833567,-1.162995,-129464.0111951232,6417502.312398883
43925,14.346617000000002,42.202467,4697957.136659932,1614013.2737865895
43926,22.027283,60.11063299999999,6691485.056821346,2514801.1999728032
43927,50.467417,-0.04577,-5095.093093608131,6527621.211323298
43928,52.92855,3.948767,439574.73170128255,6969792.52443484
43929,15.065317000000002,53.850683,5994630.610429993,1696728.8413948563
43930,38.125833,-9.926033,-1104960.9391572296,4597217.077854783
43931,44.1685,-9.446775,-1051610.182638627,5491555.081617811
43932,24.56045,58.13435,6471486.239597943,2821851.6215687892
43933,51.4419,3.67003,408545.8707960379,6699836.123376394
43934,19.4953,70.51465,7849654.931465909,2213337.1531763375
43935,12.75505,43.30213300000001,4820371.395822609,1431761.026257643
43936,36.599533,14.242083,1585421.4273955382,4383432.886443949
43937,40.60865,-10.096333,-1123918.648439324,4954787.876393337
43938,19.162917,70.778,7878970.919366317,2174126.1736203167
43939,36.528167,-1.449243,-161328.99279571619,4373541.835403581
43940,14.317817000000002,42.215267,4699382.026142085,1610704.2857616981
43941,12.583133,43.456117,4837512.816292919,1412145.7318649844
43942,43.760633,-9.745853,-1084903.3933060977,5428474.003512801
43943,44.547033,-9.164883,-1020230.1087399295,5550490.771745186
43944,19.04515,58.554833,6518294.193045173,2160252.31780881
43945,22.254633,68.60935,7637557.905657485,2542124.5469535133
43946,51.990317,3.758982,418447.9621410811,6798374.8331334125
43947,36.793533,13.58905,1512726.1263643345,4410366.891212389
43948,23.79555,58.832717,6549228.09842477,2728514.703167313
43949,36.834433,13.44995,1497241.58519499,4416053.940673227
43950,24.62895,65.800267,7324852.216501444,2830237.8512752764
43951,36.320583,-1.942808,-216272.39726909826,4344823.234401818
43952,11.973133,44.71855,4978046.215013544,1342650.9231925863
43953,53.760167,9.400498,1046458.6505631867,7124865.007468632
43954,35.665567,20.039517,2230788.8281831495,4254700.947450859
43955,34.9322,24.3785,2713802.2063038195,4154671.2077885377
43956,37.4025,6.668997999999998,742389.4614613598,4495359.583711006
43957,13.023317,43.13605,4801883.120833188,1462396.3095750387
43958,16.454,41.202833,4586678.388800289,1857358.8815910302
43959,48.6636,-5.996923000000002,-667574.4146864708,6217972.926961943
