<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
stw,draft,foc,ws,wd,swh,vslHeading,dt
22.19,6.092500000000001,77.71,4.2,290.26,0.59,90.04,2020-05-27 12:00:00
22.291,7.15,77.71,5.4,171.825,0.57,188.175,2020-05-27 12:01:00
22.291999999999998,6.785,77.48,6.2,280.55,0.57,90.05,2020-05-27 12:02:00
22.334,6.785,77.48,6.6,4.950000000000003,0.57,90.05,2020-05-27 12:03:00
22.295,7.17,77.71,5.35,258.2,0.57,90.0,2020-05-27 12:04:00
22.237,7.165000000000001,77.48,6.7,270.0,0.57,90.0,2020-05-27 12:05:00
22.384,7.155,80.25,9.7,264.13,0.57,89.87,2020-05-27 12:06:00
22.375,6.33,77.48,6.7,270.08,0.57,89.92,2020-05-27 12:07:00
22.326,7.125,77.48,8.3,345.42,0.57,89.88,2020-05-27 12:08:00
22.326999999999998,7.13,77.48,8.8,263.62,0.57,89.88,2020-05-27 12:09:00
22.219,7.15,77.48,7.1,303.42,0.57,89.98,2020-05-27 12:10:00
22.24,7.13,77.71,5.35,252.19,0.57,90.01,2020-05-27 12:11:00
22.331,7.8925,77.71,5.35,269.87,0.57,90.13,2020-05-27 12:12:00
22.252,7.145,77.71,5.0,285.45,0.57,90.05,2020-05-27 12:13:00
22.343000000000004,7.165,77.48,6.4,285.54,0.57,89.96,2020-05-27 12:14:00
22.335,7.1325,77.71,4.85,159.23,0.57,188.17,2020-05-27 12:15:00
22.336,7.1325,77.48,6.6,282.78,0.57,90.02,2020-05-27 12:16:00
22.346999999999998,7.1325,77.48,6.5,268.88,0.57,90.12,2020-05-27 12:17:00
22.34800000000001,7.155,77.48,6.2,269.87,0.59,90.13,2020-05-27 12:18:00
22.439,7.17,77.48,7.2,278.905,0.57,101.895,2020-05-27 12:19:00
22.566999999999997,7.14,77.48,7.2,252.85,0.57,90.15,2020-05-27 12:20:00
22.468000000000004,7.135,77.48,7.2,263.35,0.57,90.15,2020-05-27 12:21:00
22.449,7.16,77.48,6.4,263.35,0.57,90.15,2020-05-27 12:22:00
22.47,7.135,77.48,8.0,259.38,0.59,90.12,2020-05-27 12:23:00
22.482,7.14,77.48,8.6,261.8,0.9,90.0,2020-05-27 12:24:00
22.522,7.1400000000000015,77.48,6.45,230.7,0.59,101.8,2020-05-27 12:25:00
22.483,7.135,77.48,7.9,293.36,0.57,90.04,2020-05-27 12:26:00
22.574,7.1450000000000005,77.48,7.8,251.6,0.49,90.1,2020-05-27 12:27:00
22.525,7.145,77.48,7.5,281.75,0.49,90.05,2020-05-27 12:28:00
22.526,7.145,77.48,6.7,281.83,0.95,89.97,2020-05-27 12:29:00
22.487,7.135,77.48,6.3,269.02,0.59,89.98,2020-05-27 12:30:00
22.478,7.13,77.48,6.3,259.73,0.49,89.97,2020-05-27 12:31:00
22.379,6.655000000000001,77.48,7.5,259.61,0.49,90.09,2020-05-27 12:32:00
22.50800000000001,6.6800000000000015,77.71,5.6,258.88,0.49,89.92,2020-05-27 12:33:00
