<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
stw,draft,foc,ws,wd,swh,vslHeading,dt
12.466,9.18,27.0,8.7,206.52,1.02,130.68,2020-05-30 05:54:00
12.429,9.225,28.0,9.4,200.49,1.02,135.41,2020-05-30 05:55:00
12.331,9.24,29.54,8.2,198.3,1.02,137.6,2020-05-30 05:56:00
12.465,9.225,29.0,8.1,199.76,0.85,136.14,2020-05-30 05:57:00
12.491,9.195,28.0,10.2,200.17,1.02,135.43,2020-05-30 05:58:00
12.517999999999999,9.1925,28.0,9.7,212.19,1.02,135.71,2020-05-30 05:59:00
12.515,9.205,29.0,9.4,200.63,1.02,135.77,2020-05-30 06:00:00
12.514000000000001,9.225,28.0,9.9,202.83,1.02,135.77,2020-05-30 06:01:00
12.515999999999998,9.19,29.0,9.7,212.3,0.61,136.5,2020-05-30 06:02:00
12.515999999999998,9.195,28.0,10.2,205.35,1.02,137.15,2020-05-30 06:03:00
12.625,9.215,28.16,9.8,223.03,1.02,136.97,2020-05-30 06:04:00
12.664000000000001,9.225,28.16,9.5,203.43,1.31,136.97,2020-05-30 06:05:00
12.642999999999999,9.21,28.0,10.3,197.93,1.02,140.37,2020-05-30 06:06:00
12.610999999999999,9.21,28.0,10.3,210.84,1.02,136.66,2020-05-30 06:07:00
12.610999999999999,9.155,28.0,9.7,202.2,1.02,136.6,2020-05-30 06:08:00
12.68,9.195,28.0,9.9,204.34,1.02,136.66,2020-05-30 06:09:00
12.669,9.215,28.0,9.9,201.54,1.02,136.76,2020-05-30 06:10:00
12.708,9.17,28.0,10.0,206.06,1.02,136.84,2020-05-30 06:11:00
12.707,9.18,28.0,10.3,211.46,1.02,136.84,2020-05-30 06:12:00
12.696,9.19,29.0,10.3,211.46,0.61,136.84,2020-05-30 06:13:00
12.606,9.204999999999998,28.0,10.6,201.34,0.61,136.86,2020-05-30 06:14:00
12.675,9.204999999999998,28.0,10.1,204.24,1.02,136.86,2020-05-30 06:15:00
12.623,9.2025,28.16,10.1,203.54,1.02,136.66,2020-05-30 06:16:00
12.548,9.2125,28.0,10.5,201.49,1.02,136.81,2020-05-30 06:17:00
12.448,9.2,29.54,8.75,212.43,1.02,125.37,2020-05-30 06:18:00
12.515999999999998,9.185,29.0,10.4,215.13,1.02,125.37,2020-05-30 06:19:00
12.440999999999999,9.165,27.0,11.0,212.63,1.02,125.37,2020-05-30 06:20:00
12.44,9.185,29.0,11.1,207.74,1.02,134.56,2020-05-30 06:21:00
12.460999999999999,9.185,28.0,9.1,202.72,1.22,135.08,2020-05-30 06:22:00
12.460999999999999,9.185,30.0,11.3,204.25,1.22,135.25,2020-05-30 06:23:00
12.470999999999998,9.185,29.0,11.3,206.84000000000003,1.22,135.26,2020-05-30 06:24:00
12.46,9.235,28.0,11.3,207.40000000000003,1.02,135.2,2020-05-30 06:25:00
12.45,9.235,29.0,11.4,207.27,1.02,135.13,2020-05-30 06:26:00
