LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
128,34,502,2010-01-01 15:12:00,Tong Yong
101,1,502,2010-01-09 17:30:00,DUMAI
101,1,502,2010-01-14 03:30:00,Dumai
101,3,502,2010-01-14 11:30:00,PORT KELANG
101,3,502,2010-01-21 07:30:00,PORT KELANG
0,0,502,2010-01-21 12:00:00,LUBUK GUANG
0,0,502,2010-01-23 17:30:00,LUBUK GUANG
103,1,502,2010-01-24 05:00:00,SINGAPORE
103,1,502,2010-01-24 21:30:00,SINGAPORE
32,29,502,2010-02-08 10:30:00,SUEZ
32,29,502,2010-02-10 19:00:00,SUEZ
4,51,502,2010-02-21 09:00:00,Rotterdam
4,51,502,2010-02-26 14:24:00,ROTTERDAM
9,53,502,2010-02-27 10:18:00,Hamburg
9,53,502,2010-03-05 19:06:00,Hamburg
4,52,502,2010-03-13 23:42:00,AMSTERDAM
4,52,502,2010-03-21 09:24:00,AMSTERDAM
2,6,502,2010-04-02 08:30:00,COTONOU
2,6,502,2010-04-08 14:36:00,COTONOU
5,43,502,2010-04-19 18:12:00,LAVERA
5,43,502,2010-04-20 00:00:00,LAVERA
32,29,502,2010-04-28 05:30:00,SUEZ
32,29,502,2010-04-29 13:12:00,SUEZ
39,21,502,2010-05-02 00:00:00,JEDDAH
44,12,502,2010-05-04 00:00:00,ADEN
44,12,502,2010-05-08 00:00:00,ADEN
37,23,502,2010-05-11 00:00:00,YANBU
38,24,502,2010-05-12 16:00:00,YANBU
43,11,502,2010-05-15 00:00:00,Djibouti
43,11,502,2010-05-17 00:00:00,DJIBOUTI
38,22,502,2010-05-19 00:00:00,Rabigh
38,22,502,2010-05-23 00:00:00,Rabigh
32,29,502,2010-05-24 21:00:00,SUEZ
32,29,502,2010-05-25 18:01:00,SUEZ
0,0,502,2010-05-28 09:42:00,MALTA
0,0,502,2010-05-28 22:06:00,MALTA
2,39,502,2010-05-30 20:00:00,PALMA
2,39,502,2010-06-02 08:54:00,Palma
1,41,502,2010-06-02 18:42:00,Tarragona
1,41,502,2010-06-03 16:30:00,TARRAGONA
