STARTING PORT,DESTINATION PORT,COUNT
BOSPHOROUS , DARDANELLES,2
TUAPSE , BOSPHOROUS,2
JEBEL ALI , FUJAIRAH,2
AMSTERDAM , LAGOS,2
FUJAIRAH , SUEZ,2
FUJAIRAH , SOHAR,2
KHOR AL JUBAIR , KHOR AL ZUBAIR,2
SUEZ , JEDDAH,2
KARACHI , SIKKA,2
SOHAR , KARACHI,2
BOSPHOROUS , TUAPSE,2
DARDANELLES , BOSPHOROUS,2
FUJAIRAH , RAS TANURA,2
TERNEUZEN , LAGOS,1
LAGOS , TENERIFE,1
LAGOS , AMSTERDAM,1
ANTWERP , Antwerp Anchorage,1
BALBOA , New York,1
Balboa Anchorage , Transitting Panama Canal,1
Tong Yong , DUMAI,1
LAS PALMAS , Port Jerome,1
LAGOS , LAS PALMAS,1
Vancouver Anchorage , Vancouver Loading Berth,1
PORT JEROME , AMSTERDAM,1
AT SEA , PORT JEROME,1
NEW YORK , ANTWERP,1
ANTWERP , LAGOS,1
SARROCH , GIBRALTAR,1
GIBRALTAR , Itacoatiara,1
Amazon River Transit , Itacoatiara Anchorage,1
In Transit , Amazon River Transit,1
Itacoatiara TFB Terminal , Amazon River Chanelling,1
Chanelling Amazon River , to ,1
VANCOUVER , BALBOA,1
Houston , Beaumont,1
LOS ANGELES , VANCOUVER,1
BEAUMONT , Cristobal,1
FUJAIRAH , Jubail,1
FUJAIRAH , Port Sudan,1
PORT SUDAN , SUEZ,1
JEDDAH , SIKKA,1
SIKKA , FUJAIRAH,1
FUJAIRAH , MAPUTO,1
MAPUTO , NACALA,1
BEIRA , KARACHI,1
TUTICORIN , FUJAIRAH,1
FUJAIRAH , Khor al Zubair,1
AT SEA , Jubail,1
SUEZ , SKIKDA,1
GIBRALTAR , Aratu,1
ARATU BRAZIL ," ARATU,BRAZIL",1
Aratu , AT SEA,1
AT SEA , SKIKDA,1
PUERTO LA CRUZ , CURACAO,1
CURACAO , TRAMANDAI,1
LAS PALMAS , SKIKDA,1
SKAW , DENMARK TRANSIT,1
SKAW , LAGOS,1
HUELVA , LOME,1
LOME , COTONOU,1
COTONOU , LOME,1
COTONOU , SKIKDA,1
ALGECIRAS , HOUSTON,1
Itaqui , HOUSTON,1
Itacoatiara , Itaqui,1
Tuxpan Anchorage , Tuxpan SBM #3,1
Kinder Morgan Load Port , Houston River Transit,1
Bosporus , N bound ,1
BANJUL , SINES,1
