DateTime,BL Flag,Draft,Course,WindSpeed,WindAngle,STW,Rpm,Trim,M/E FOC (MT/day)
7/1/2010 10:30,L,9.6,0,5,180,0,0,0,30.12
9/1/2010 0:30,B,0,0,0,0,0,0,0,0
9/1/2010 12:00,L,9.6,0,7,180,0,0,0,26.85
10/1/2010 12:00,L,9.6,0,5,135,0,0,0,30.34
11/1/2010 3:30,L,9.6,0,3,135,0,0,0,22.78
14/1/2010 12:00,B,6.5,0,5,225,0,0,2,18.07
15/1/2010 12:00,B,6.5,0,4,45,0,0,2,19.68
16/1/2010 1:00,B,6.5,0,6,45,0,0,2,19.97
17/1/2010 13:00,B,0,0,0,0,0,0,0,0
18/1/2010 12:00,B,6.5,0,4,45,0,0,2,16.59
19/1/2010 12:00,B,6.5,0,5,45,0,0,2,20.01
19/1/2010 20:00,B,6.5,0,6,45,0,0,2,21.63
22/1/2010 12:00,B,9.5,0,3,315,0,0,0,30.53
22/1/2010 23:00,L,9.5,0,7,45,0,0,0,27.24
23/1/2010 10:00,B,9.5,0,0,0,0,0,0,0
23/1/2010 12:00,L,9.5,0,6,45,0,0,0,20.91
24/1/2010 12:00,L,0,0,4,0,0,0,0,29.58
25/1/2010 12:00,L,0,0,0,0,0,0,0,29.24
26/1/2010 12:00,L,0,0,6,90,0,0,0,20.42
27/1/2010 12:00,L,0,0,9,0,0,0,0,24.89
27/1/2010 21:12,L,0,0,5,0,0,0,0,24.16
30/1/2010 12:00,B,6.5,0,5,0,0,0,2,20.87
31/1/2010 12:00,B,6.5,0,5,270,0,0,2,21.63
1/2/2010 12:00,B,6.5,0,4,270,0,0,2,21.22
2/2/2010 12:00,B,6.5,0,8,270,0,0,2,22.39
3/2/2010 12:00,B,6.5,0,7,45,0,0,2,21.35
3/2/2010 16:42,B,6.5,0,3,45,0,0,2,17.35
4/2/2010 14:00,B,0,0,0,0,0,0,0,0
5/2/2010 12:00,B,6.5,0,4,0,0,0,2,10.3
6/2/2010 12:00,B,6.5,0,4,45,0,0,2,22.47
6/2/2010 21:00,B,6.5,0,5,0,0,0,2,20.27
16/2/2010 12:00,L,9.45,0,6,270,0,0,0,30.78
16/2/2010 21:30,L,9.45,0,3,135,0,0,0,36.48
18/2/2010 12:00,L,9.45,0,5,180,0,0,0,28.48
19/2/2010 12:00,L,9.45,108,3,90,0,0,0,25.49
20/2/2010 10:30,L,9.45,0,3,45,0,0,0,22.35
21/2/2010 17:00,B,0,0,0,0,0,0,0,0
27/2/2010 12:00,B,0,270,5,270,0,0,0,22.01
28/2/2010 12:00,B,0,281,5,270,0,0,0,23.99
1/3/2010 12:00,B,0,281,3,270,0,0,0,23.83
1/3/2010 20:42,B,0,0,5,315,0,0,0,20.46
14/3/2010 12:00,L,9.5,87,6,45,0,0,0,24.08
15/3/2010 12:00,L,9.5,43,4,45,0,0,0,27.19
16/3/2010 0:00,B,9.5,0,0,0,0,0,0,0
16/3/2010 12:00,L,9.5,0,3,45,0,0,0,26.69
16/3/2010 21:18,L,0,0,2,45,0,0,0,20.52
21/3/2010 15:06,L,7.5,350,2,135,0,0,2,29.76
22/3/2010 17:48,B,6.65,95,2,135,0,0,2.1,15.43
23/3/2010 12:00,B,6.7,70,3,45,0,0,2,17.52
24/3/2010 12:00,B,6.7,70,3,0,0,0,2,23.79
24/3/2010 18:42,B,6.7,72,2,0,0,0,2,24.36
28/3/2010 12:00,L,9.75,250,3,135,0,0,0,30.76
29/3/2010 12:00,B,9.75,250,5,292,0,0,0,24.67
30/3/2010 2:30,L,9.75,248,1,135,0,0,0,19.07
30/3/2010 15:00,B,0,0,0,0,0,0,0,0
31/3/2010 12:00,L,9.75,223,5,180,0,0,0,22.29
1/4/2010 12:00,L,9.75,279,2,270,0,0,0,23.52
2/4/2010 0:06,L,9.75,279,2,270,0,0,0,23.4
5/4/2010 12:00,L,8.5,311,4,180,0,0,0,23.85
10/4/2010 12:00,B,6.7,0,2,0,0,0,2,19.23
11/4/2010 12:00,B,6.7,0,0,0,0,0,2,20.03
12/4/2010 5:12,B,6.7,50,4,0,0,0,2,21.52
13/4/2010 7:54,B,6.7,97,3,45,0,0,2,21.27
15/4/2010 12:00,B,6.7,76,3,45,0,0,2,21.12
16/4/2010 12:00,B,6.7,76,3,90,0,0,2,22
16/4/2010 14:48,B,6.7,72,3,45,0,0,2,16.42
18/4/2010 12:00,L,9,256,2,45,0,0,0,24
19/4/2010 11:00,L,9,193,3,90,0,0,0,23.2
21/4/2010 6:12,L,9,243,3,90,0,0,0,22.21
22/4/2010 12:00,L,9,126,2,180,0,0,0,23.31
23/4/2010 12:00,L,9,108,3,0,0,0,0,26.7
23/4/2010 18:00,L,9,63,3,315,0,0,0,23.45
6/5/2010 12:00,B,6.7,0,0,0,0,0,2,24.57
7/5/2010 12:00,B,6.7,342,3,45,0,0,2,27.3
7/5/2010 15:00,B,6.7,0,0,0,0,0,2,20.46
11/5/2010 6:18,B,6.7,123,1,0,0,0,2,24.34
14/5/2010 12:00,B,6.7,129,3,135,0,0,2,26.51
15/5/2010 1:48,B,6.7,145,2,135,0,0,2,26.96
17/5/2010 12:00,B,6.7,138,4,315,0,0,2,26.5
18/5/2010 5:00,B,6.7,142,3,45,0,0,2,25.55
19/5/2010 12:00,B,6.7,151,4,315,0,0,2,26.5
20/5/2010 12:00,B,6.7,151,3,225,0,0,2,25
21/5/2010 12:00,B,6.7,72,3,135,0,0,2,28.2
22/5/2010 12:00,B,6.7,72,5,90,0,0,2,28.45
23/5/2010 12:00,B,6.7,54,4,270,0,0,2,26.5
24/5/2010 12:00,B,6.7,31,4,225,0,0,2,25.05
25/5/2010 12:00,B,6.7,302,2,135,0,0,2,23.2
25/5/2010 14:30,B,6.7,302,2,135,0,0,2,23.04
13/6/2010 12:00,L,9.6,177,2,0,0,0,0,27.13
13/6/2010 12:30,L,9.6,0,0,0,0,0,0,4.11
14/6/2010 22:00,B,6.8,0,0,0,0,0,2.2,67.2
17/6/2010 12:00,L,9.6,0,0,0,0,0,0,24
17/6/2010 12:30,L,9.6,0,0,0,0,0,0,38.4
22/6/2010 12:00,B,0,270,2,180,0,0,0,66.9
23/6/2010 0:00,B,0,0,0,0,0,0,0,5
30/6/2010 12:00,L,7.59,295,5,315,0,0,0.11,26.95
1/7/2010 6:48,L,7.59,0,5,315,0,0,0.11,27.52
22/8/2010 12:00,B,0,121,4,135,0,0,0,26.78
23/8/2010 12:00,B,0,,3,135,0,0,0,29.65
25/8/2010 12:00,B,0,283,2,135,0,0,0,27.79
30/8/2010 12:00,L,9.4,138,4,270,0,0,0,27.43
30/8/2010 18:12,B,9.4,175,3,225,0,0,0,27.1
2/9/2010 12:00,L,10.5,114,4,135,0,0,0,0
3/9/2010 6:48,L,10.5,0,2,135,0,0,0,34.98
4/9/2010 12:00,L,10.5,0,0,0,0,0,0,31.05
5/9/2010 12:00,L,10.5,142,5,135,0,0,0,32.6
6/9/2010 12:00,L,10.5,180,7,202,0,0,0,31.5
7/9/2010 12:00,L,10.5,180,7,135,0,0,0,0
8/9/2010 12:00,L,10.5,180,6,135,0,0,0,0
9/9/2010 12:00,L,10.5,0,5,180,0,0,0,18.32
10/9/2010 12:00,L,10.5,180,6,180,0,0,0,31
11/9/2010 12:00,L,10.5,180,5,180,0,0,0,31
12/9/2010 12:00,L,10.5,210,5,135,0,0,0,31.1
13/9/2010 12:00,L,10.5,210,5,180,0,0,0,31
14/9/2010 12:00,L,10.5,244,7,180,0,0,0,31
15/9/2010 12:00,L,10.5,0,4,180,0,0,0,30.72
16/9/2010 12:00,L,10.5,244,8,0,0,0,0,31
17/9/2010 12:00,L,10.5,275,6,180,0,0,0,30.82
18/9/2010 12:00,L,10.5,275,5,45,0,0,0,31
19/9/2010 1:30,L,10.5,275,4,45,0,0,0,30.99
