12.866,0.013,6.8936,-349.0,9.75
12.289,0.711,13.0669,-11.5,10.33
12.3,0.773,13.5813,-22.0,10.35
12.31,0.676,11.575,-99.8,10.43
12.262,0.632,9.1571,-57.8,10.34
12.324,0.628,9.26,-61.8,10.32
12.328,0.636,9.7744,-57.2,10.11
12.269,0.683,8.9513,-60.2,10.35
12.263,0.726,7.4594,-56.3,10.42
12.266,0.74,6.8936,-55.6,10.34
12.286,0.794,9.26,-66.0,10.32
12.27,0.674,11.3692,-56.3,10.31
12.219,0.764,7.871,-33.5,10.25
12.282,0.688,7.4594,-34.1,10.17
12.297,0.67,7.3566,-40.0,10.33
12.296,0.75,5.9676,-33.8,10.32
12.198,0.883,5.093,-33.6,10.17
12.253,0.806,4.9901,-33.6,10.36
12.297,0.758,8.3854,-20.9,10.34
12.28,0.765,7.9739,-21.0,10.26
12.266,0.777,8.1797,-26.1,10.27
12.274,0.762,7.6652,-24.1,10.33
12.26,0.792,7.5623,-26.7,10.38
12.307,0.715,8.9513,-23.0,10.41
12.293,0.738,8.8999,-15.3,10.47
12.283,0.736,8.1797,-21.0,10.35
12.248,0.812,6.9964,-22.1,10.42
12.295,0.702,8.6941,-25.9,10.27
12.272,0.659,8.797,-21.0,10.19
12.295,0.737,8.9513,-19.3,10.34
12.312,0.69,8.0768,-21.0,10.25
12.268,0.72,8.5912,-9.7,10.43
12.268,0.762,8.5912,-15.2,10.44
12.308,0.717,8.3854,-43.6,10.37
12.302,0.766,8.4883,-111.2,10.37
12.332,0.717,7.7681,-122.4,10.29
12.343,0.665,5.4531,-122.6,10.42
12.252,0.88,5.9676,-226.3,10.34
12.306,0.789,4.9901,-247.7,10.44
12.258,0.864,8.3854,-240.9,10.49
12.309,0.789,7.2537,-245.9,10.37
12.287,0.829,6.9964,-235.1,10.39
12.29,0.843,8.3854,-247.8,10.39
12.297,0.652,7.4594,-270.6,10.23
12.164,1.092,8.4883,-235.8,10.48
12.167,1.058,7.9739,-236.5,10.35
12.14,1.082,9.9802,-252.3,10.22
12.162,1.083,7.9739,-254.1,10.38
12.153,1.049,8.1797,-244.9,10.37
12.124,1.125,8.9513,-251.5,10.21
12.163,1.083,8.4883,-243.3,10.24
12.166,1.069,7.3566,-247.1,10.34
12.167,1.072,9.4658,-257.4,10.48
12.31,0.76,7.4594,-223.8,10.3
12.306,0.76,8.9513,-235.2,10.29
12.3,0.737,9.1571,-228.4,10.36
12.279,0.717,9.26,-223.8,10.43
12.287,0.778,10.186,-223.8,10.37
12.274,0.769,8.5912,-226.4,10.43
12.327,0.713,8.797,-236.7,10.38
12.313,0.754,8.3854,-229.2,10.47
12.291,0.753,8.9513,-235.6,10.43
12.32,0.712,9.4658,-236.4,10.44
12.331,0.683,10.3918,-242.1,10.22
12.34,0.668,9.3629,-234.4,10.41
12.311,0.699,6.8936,-279.8,10.45
12.32,0.7,5.1959,-278.5,10.38
12.33,0.693,5.8647,-280.0,10.38
12.331,0.69,3.6526,-326.4,10.46
12.348,0.709,3.1896,-349.0,10.21
12.348,0.636,4.5786,-4.2,10.35
12.345,0.668,4.167,-4.2,10.44
12.357,0.72,4.0641,-5.2,10.38
12.353,0.64,4.167,-4.2,10.46
12.357,0.617,3.1896,-9.7,10.27
12.352,0.675,3.3953,-26.5,10.38
12.329,0.685,3.0867,-10.4,10.29
12.344,0.612,3.0867,-22.5,10.49
12.383,0.633,2.3664,-22.5,10.27
12.376,0.642,2.2636,-26.7,10.25
12.35,0.636,2.6751,-22.5,10.45
12.346,0.662,3.1896,-26.7,10.49
12.361,0.644,4.2699,-26.7,10.12
12.363,0.621,4.0641,-23.0,10.38
12.364,0.616,4.9901,-354.6,10.48
12.352,0.649,4.5786,-349.1,10.39
12.366,0.641,4.8872,0.0,10.46
12.375,0.66,5.9676,-359.0,10.39
12.349,0.682,5.3502,-359.0,10.45
12.348,0.647,3.2924,-354.6,10.37
12.35,0.665,5.556,-347.8,10.26
12.398,0.637,8.1797,-349.0,10.28
12.387,0.61,8.1797,-346.8,10.45
12.364,0.63,9.0542,-342.0,10.34
12.373,0.59,8.9513,-338.0,10.45
12.396,0.589,9.1571,-342.0,10.47
12.343,0.692,9.1571,-349.0,10.49
12.344,0.668,9.3629,-326.5,10.36
12.368,0.661,9.4658,-326.0,10.45
12.367,0.603,9.3629,-325.0,10.39
12.354,0.629,8.0768,-337.8,10.34
12.373,0.655,9.6716,-349.0,10.31
12.366,0.625,8.797,-10.0,10.4
12.353,0.631,9.7744,-9.5,10.32
12.351,0.641,8.9513,-21.3,10.28
12.341,0.702,9.1571,-17.5,10.45
12.352,0.661,8.8999,-16.5,10.34
12.338,0.548,9.7744,-12.9,10.35
12.338,0.662,9.3629,-18.6,10.29
12.371,0.605,9.3629,-21.0,10.3
12.331,0.645,8.797,-26.7,10.33
12.37,0.605,8.8999,-23.0,10.48
12.366,0.579,8.797,-25.3,10.37
12.357,0.677,8.3854,-24.0,10.36
12.346,0.592,7.871,-23.5,10.2
12.365,0.601,8.1797,-22.5,10.07
12.364,0.631,7.9739,-22.5,10.44
12.381,0.63,8.4883,-22.5,10.27
12.362,0.582,8.0768,-25.1,10.08
12.363,0.601,8.5912,-22.5,10.41
12.313,0.667,8.2826,-22.0,10.3
12.37,0.661,8.1797,-22.5,10.33
12.339,0.636,7.7681,-21.0,10.49
12.362,0.622,7.7681,-21.0,10.39
12.365,0.582,6.9964,-21.0,10.47
12.364,0.658,8.8999,-24.0,10.43
12.356,0.621,8.8999,-23.5,10.48
12.374,0.643,8.1797,-22.5,10.46
12.364,0.643,8.3854,-24.4,10.41
12.357,0.6,8.797,-21.0,10.37
12.349,0.623,8.8999,-11.2,10.25
12.304,0.669,9.4658,-5.6,10.4
12.362,0.649,9.5687,-9.7,10.35
12.348,0.655,9.1571,-11.0,10.4
12.335,0.654,8.6941,-11.2,10.4
12.319,0.654,8.5912,-7.5,10.2
12.344,0.615,8.0768,-16.8,10.46
12.339,0.558,7.9739,-21.0,10.05
12.359,0.622,8.0768,-17.3,10.18
12.35,0.589,8.1797,-21.0,10.06
12.347,0.61,9.26,-21.0,10.0
12.367,0.637,6.7907,-17.3,10.33
12.343,0.595,8.8999,-21.0,10.19
12.312,0.619,8.8999,-21.0,10.43
12.354,0.62,8.9513,-21.8,10.43
12.355,0.684,9.26,-16.6,10.34
12.32,0.56,9.26,-12.0,10.16
12.367,0.635,8.2826,-26.7,10.08
12.368,0.71,8.8999,-26.7,10.08
12.33,0.669,8.6941,-22.5,10.31
12.365,0.667,3.6526,-54.9,10.42
12.845,0.005,6.482,-354.5,10.41
12.862,-0.009,5.1959,0.0,10.47
12.866,-0.044,0.8746,-336.1,10.21
12.864,0.046,0.8746,-336.1,10.0
12.835,0.079,4.9901,-155.9,10.44
12.842,-0.016,7.6652,-151.5,10.37
12.753,0.111,5.8647,-146.5,10.38
12.85,-0.009,5.8647,-145.0,10.23
12.825,0.051,6.5849,-144.7,10.34
12.859,-0.007,7.1508,-144.2,10.36
12.79,0.124,7.4594,-139.2,10.4
12.815,0.073,7.2537,-128.0,10.29
12.838,-0.044,7.1508,-125.2,10.34
12.838,0.025,7.6652,-111.4,10.34
12.846,0.025,7.871,-123.8,10.44
12.816,0.014,7.2537,-123.8,10.45
12.817,0.059,6.3791,-122.7,10.22
12.836,0.006,7.2537,-112.6,10.43
12.824,0.003,7.4594,-123.8,10.46
12.866,-0.009,5.8647,-145.0,10.4
12.858,-0.022,5.9676,-139.2,10.37
12.859,0.011,6.7907,-145.0,10.33
12.813,0.024,5.7618,-152.0,10.31
12.842,-0.056,2.6751,-134.0,10.45
12.8,-0.109,9.9802,-22.5,10.33
12.832,0.001,9.3629,-22.1,10.44
12.817,0.075,10.3918,-9.7,10.3
12.855,0.001,9.6716,-359.0,10.49
12.839,0.03,9.0542,-343.0,10.42
12.8,-0.029,11.7808,-43.6,10.47
12.824,0.031,7.1508,-196.4,10.47
12.876,-0.018,8.8999,-111.3,10.47
12.864,-0.018,8.2826,-152.0,10.28
12.857,0.021,6.482,-151.5,10.41
12.871,-0.004,7.0993,-157.4,10.44
12.876,-0.005,5.1959,-146.5,10.34
12.861,-0.002,3.9612,-157.7,10.29
12.871,-0.011,3.3953,-160.2,10.46
12.831,-0.034,5.1959,-152.0,10.14
12.865,-0.061,6.1733,-168.9,10.45
12.811,0.029,5.556,-116.0,10.48
12.849,0.012,5.7618,-146.4,10.28
12.865,-0.014,5.2988,-157.2,10.43
12.88,-0.005,4.167,-160.2,10.41
12.862,-0.053,5.093,-134.0,10.39
12.858,-0.027,6.5849,-165.7,10.23
12.848,0.025,5.2988,-157.2,10.29
12.846,-0.007,7.0993,-180.9,10.31
12.859,-0.016,4.167,-140.2,10.46
12.839,-0.017,6.5849,-201.0,10.34
12.844,0.03,4.9901,-188.0,10.47
12.839,-0.004,5.556,-157.5,10.39
12.819,0.104,5.9676,-139.2,10.48
12.832,-0.064,4.6814,-154.7,10.45
12.813,-0.003,3.6526,-146.5,10.42
12.845,0.015,4.2699,-145.5,10.35
12.727,0.046,3.7554,-146.7,10.34
12.848,-0.033,5.4531,-153.7,10.31
12.809,-0.03,5.8647,-146.4,10.31
12.796,0.095,4.167,-148.7,10.31
12.848,-0.047,6.1733,-152.2,10.23
12.818,-0.002,5.093,-152.0,10.08
12.81,-0.068,4.167,-145.5,10.32
12.84,-0.013,4.5786,-152.0,10.38
12.798,-0.008,1.9549,-145.0,10.42
12.845,-0.016,1.852,-167.5,10.48
12.834,0.041,5.8647,-147.2,10.17
12.808,-0.007,2.778,-145.0,10.33
12.81,0.017,1.852,-137.7,10.26
12.84,0.014,3.0867,-145.4,10.18
12.818,-0.023,4.3728,-152.0,10.23
12.835,0.05,4.7843,-145.0,10.38
12.814,0.011,4.3728,-146.4,10.46
12.82,0.06,4.167,-145.0,10.33
12.846,0.025,5.093,-146.2,10.21
12.857,-0.051,5.7618,-149.9,10.08
12.796,0.033,4.9901,-145.0,10.17
12.825,-0.063,4.4757,-146.4,10.39
12.85,-0.016,1.9549,-145.5,10.28
12.839,-0.094,4.2699,-145.0,10.46
12.832,-0.021,3.8583,-154.5,10.43
