Basis,Coeff
(Intercept),1.53483e+08
h(13.4233-x11),-173.588
h(13.4743-x0),-217.791
h(13.4675-x15),370.127
h(13.3195-x1),19.0394
h(x5-13.2776),-5.7858e+08
h(13.2776-x5),5.7858e+08
h(x9-13.297),-4.37453e+08
h(13.297-x9),4.37453e+08
h(x6-13.3384),6.45885e+08
h(13.3384-x6),-6.45885e+08
x14,4.54959e+07
x2,-4.91369e+07
h(x3-13.353),1.64455e+08
h(13.353-x3),-1.64455e+08
h(x14-13.4575),-503.261
h(x13-13.4465),401.644
h(x11-13.4178),4.41188e+08
h(13.4178-x11),-4.41188e+08
h(x15-13.255),-37.1605
h(x13-13.2866),-2.89951e+08
h(13.2866-x13),2.89951e+08
h(x0-13.44),-3.25225e+07
h(13.44-x0),3.25224e+07
h(x2-13.3957),54.8546
h(13.3871-x3),-55.9572
h(13.4525-x15),140.344
h(x14-13.4408),-82.1336
h(x14-13.4142),19.5001
h(x0-13.3704),-50.6492
h(x15-13.3664),9.06196e+07
h(13.3664-x15),-9.06195e+07
