Basis,Coeff
(Intercept),90.8806
h(14.7551-x1),-397.423
h(x1-13.6834)*h(14.7551-x1),193.039
h(13.6834-x1)*h(14.7551-x1),-198.423
h(x0-16.84)*h(14.7551-x1),-8.63567
h(16.84-x0)*h(14.7551-x1),-2.37743
h(15.76-x1)*h(x1-14.7551),193.257
h(x1-15.2367)*h(x1-14.7551),-27.4435
h(x0-16.84),6.97664
h(15.9083-x1)*h(16.84-x0),128.542
h(x1-15.7457),147.931
x0*h(16.84-x0),-0.448436
h(x1-15.3657),28.0927
h(x1-15.1486)*h(16.84-x0),138.589
h(x1-15.9083),-79.4893
h(x1-15.7249)*h(16.84-x0),181.912
h(15.7249-x1)*h(16.84-x0),-160.541
h(x1-15.1207)*h(15.9083-x1),-212.764
h(15.1207-x1)*h(15.9083-x1),195.895
h(x1-15.7579)*h(16.84-x0),-132.597
h(15.7049-x1),-104.755
h(x1-15.7886)*h(x1-15.7049),303.135
h(15.7886-x1)*h(x1-15.7049),1764.13
h(x1-15.8126)*h(x1-15.3657),-269.823
h(x1-15.1513)*h(16.84-x0),-161.639
h(15.1513-x1)*h(16.84-x0),33.041
h(x1-15.3857)*h(16.84-x0),-12.2721
