Basis,Coeff
(Intercept),-2.74655e+11
h(12.154-x1),9.79689e+12
h(x1-9.46471)*h(12.154-x1),-3.63251e+12
h(9.46471-x1)*h(12.154-x1),3.63251e+12
h(12.3434-x1)*h(x1-12.154),36.2392
h(x1-11.8829),9.54832e+10
h(11.8829-x1),-1.5857e+13
h(x1-12.1617)*h(x1-12.154),3.63251e+12
h(12.1617-x1)*h(x1-12.154),-3.63251e+12
h(x1-12.4066)*h(x1-11.8829),-3.63251e+12
h(12.4066-x1)*h(x1-11.8829),3.63251e+12
h(12.71-x0)*h(x1-11.8829),-0.781046
h(12.1511-x1)*h(12.154-x1),-351405
h(x1-8.06757)*h(11.8829-x1),3.63251e+12
h(8.06757-x1)*h(11.8829-x1),-3.63251e+12
x0*h(x1-12.154),1.14523
h(12.1386-x1)*h(12.154-x1),-5384.76
h(12.71-x0)*h(x1-12.154),2.39587
