Basis,Coeff
(Intercept),117.659
h(x0-16.3635)*h(x0-15.6495),-2938.99
h(16.3635-x0)*h(x0-15.6495),2917.63
h(14.966-x0)*h(15.6495-x0),-24.2672
h(13.582-x0)*h(13.972-x0),-14.6754
h(x0-16.2955)*h(x0-15.6495),3111.38
h(16.2955-x0)*h(x0-15.6495),-3350.64
h(x0-16.115)*h(x0-15.6495),-426.423
h(x0-15.317)*h(15.6495-x0),59.0614
h(x0-15.845)*h(x0-15.6495),109.848
h(16.1315-x0)*h(x0-15.6495),444.851
h(x0-13.853)*h(15.6495-x0),-62.2638
h(13.853-x0)*h(15.6495-x0),38.4202
h(x0-14.316)*h(x0-13.972),92.0974
h(x0-14.536)*h(x0-13.972),-137.551
h(14.536-x0)*h(x0-13.972),118.905
h(x0-15.8)*h(x0-13.972),-15.0173
h(x0-16.307)*h(x0-15.6495),204.14
h(x0-15.506)*h(15.6495-x0),215.511
