Basis,Coeff
(Intercept),342204
h(x12-13.7793),-232543
h(13.7793-x12),232524
h(13.7845-x0),-192.607
h(x15-13.4089),-19.1065
h(13.4893-x13),-7.22409
h(x5-13.1416),-715747
h(13.1416-x5),715749
h(13.5606-x4),16.1737
h(x7-13.4375),6.92623
h(x0-13.5753),-115570
h(13.5753-x0),115581
h(x7-13.7438),-45.3939
h(x7-13.6729),-28.7372
h(x1-13.5117),-34599.7
h(13.5117-x1),34588.4
h(x15-13.4241),222190
h(13.4241-x15),-222167
h(x14-13.6109),-13.935
h(13.6125-x1),-8.77221
h(x1-13.7048),95.6588
h(x4-13.7291),522327
h(13.7291-x4),-522440
h(13.6872-x4),-55.8139
h(x0-13.749),-69.2617
h(x9-13.7099),99.845
h(13.7563-x12),124.058
h(13.7903-x14),156.752
h(x5-13.7712),-114.71
h(x9-13.8044),111.372
h(x8-13.7578),89.3819
h(x8-13.6607),353882
h(13.6607-x8),-353862
h(13.4664-x15),-7.41702
h(x15-13.8055),-62.9959
