Basis,Coeff
(Intercept),84.2065
h(x0-14.52),-19.5466
h(13.9671-x1)*h(14.52-x0),-138.753
h(x0-14.1)*h(14.52-x0),26.7797
h(14.1-x0)*h(14.52-x0),-7.17998
h(14.3471-x1),-21.9335
h(x1-14.7671)*h(x0-14.52),-33.9184
h(14.7029-x1)*h(x1-14.3471),44.9771
h(x1-14.226)*h(14.3471-x1),118.488
h(14.9471-x1)*h(x1-14.3471),-14.1843
h(x1-14.1011)*h(14.52-x0),-126.086
h(14.1011-x1)*h(14.52-x0),189.49
h(14.1-x0)*h(14.3471-x1),-45.7897
h(14.0743-x1),-48.9821
h(x1-13.7086)*h(14.52-x0),-25.687
h(x0-14.1)*h(x1-14.0743),31.7852
h(14.1-x0)*h(x1-14.0743),49.9419
h(x1-13.6289),-39.0812
h(13.6289-x1),61.77
h(13.9271-x1)*h(14.3471-x1),-47.1351
h(x1-14.0543)*h(x1-13.6289),21.191
h(14.0543-x1)*h(x1-13.6289),-12.7286
h(x1-14.5086)*h(x1-14.3471),-20.6787
h(14.5086-x1)*h(x1-14.3471),-72.5716
h(x1-13.9971)*h(14.52-x0),150.001
h(x1-13.9671)*h(14.0743-x1),451.311
h(13.9671-x1)*h(14.0743-x1),45.8767
h(14.8414-x1)*h(x0-14.52),22.8686
