Basis,Coeff
(Intercept),2.1745e+07
h(13.5603-x0),51.7512
h(x15-13.6749),3.45418e+08
h(13.6749-x15),-3.45418e+08
h(13.667-x14),282.154
h(x8-13.5618),1.05829e+08
h(13.5618-x8),-1.05829e+08
h(13.6148-x9),-47.913
h(13.4569-x1),-18.9674
h(x10-13.5451),-1.73808e+08
h(13.5451-x10),1.73808e+08
h(x13-13.6138),4.66227e+08
h(13.6138-x13),-4.66227e+08
h(x2-13.6139),-1.99271e+07
h(13.6139-x2),1.9927e+07
h(x0-13.6363),-6.60686e+07
h(13.6363-x0),6.60686e+07
h(13.6253-x1),72.9865
h(x4-13.5976),-7.82387e+07
h(13.5976-x4),7.82388e+07
h(x1-13.5185),-11.1788
h(13.5594-x15),-44.9906
h(x9-13.6069),36.7739
h(x1-13.602),40.6688
h(x14-13.6198),-6.54779e+08
h(13.6198-x14),6.54779e+08
h(x3-13.5923),7.53479e+07
h(13.5923-x3),-7.53479e+07
