Basis,Coeff
(Intercept),1.47476e+09
h(x0-13.7787),7.38708e+08
h(13.7787-x0),-7.38709e+08
h(x14-13.7689),9.45902e+09
h(13.7689-x14),-9.45902e+09
h(x10-13.7043),6.7949e+09
h(13.7043-x10),-6.7949e+09
h(x15-13.7477),-4.35126e+09
h(13.7477-x15),4.35126e+09
h(x6-13.7393),-38.9016
h(x1-13.7145),83.2402
h(x8-13.6745),-5.19066e+09
h(13.6745-x8),5.19066e+09
h(x4-13.7295),2.97278e+09
h(13.7295-x4),-2.97278e+09
h(13.6198-x1),-125.922
h(x2-13.625),-1.26035e+08
h(13.625-x2),1.26035e+08
h(x9-13.7629),-3.06772e+09
h(13.7629-x9),3.06772e+09
h(x13-13.7048),-7.91194e+09
h(13.7048-x13),7.91194e+09
h(x0-13.7479),-100.633
h(x0-13.7052),125.163
h(x1-13.6075),-62.5322
h(x15-13.7052),-140.78
h(x6-13.7685),1.00142e+10
h(13.7685-x6),-1.00142e+10
h(x5-13.6722),-9.33198e+09
h(13.6722-x5),9.33198e+09
