Basis,Coeff
(Intercept),1.0913e+13
h(x0-12.93),-1.30615
h(x1-4.09),38.123
h(x1-16.1326),-7.41321e+13
h(16.1326-x1),7.41321e+13
h(x1-14.9139),-21.0993
h(16.7587-x1),-9.23103
h(x1-13.9614),20.5229
h(x1-5.53171),-2.26682e+13
h(5.53171-x1),2.26682e+13
h(2.48371-x1),-27.0287
h(6.28071-x1),36.802
h(15.2329-x1),12.4516
h(x0-8.54),5.05219
h(8.54-x0),-6.11789
h(x1-12.3404),6.45681
h(x1-10.7546),-3.88084
h(x1-13.7629),9.68002e+13
h(13.7629-x1),-9.68002e+13
h(x1-5.35543),100.378
