Basis,Coeff
(Intercept),71.668
h(x0-15.814),12.1989
h(15.814-x0),3.19805
h(15.8479-x1),-3.26396
h(x0-16.0248)*h(x1-15.8479),96.3351
h(16.0248-x0)*h(x1-15.8479),-83.7285
h(x0-15.9252)*h(x0-15.814),-33.8734
h(15.9252-x0)*h(x0-15.814),44.8062
h(15.9155-x1)*h(x1-15.8479),133.962
h(16.0013-x1)*h(x0-15.814),-65.2941
h(15.729-x1),5.37395
h(x1-15.8884)*h(x0-15.814),-100.555
h(15.9235-x0)*h(x1-15.8479),71.8464
h(x0-15.7688)*h(15.8479-x1),26.8782
h(15.7223-x0)*h(15.8479-x1),-21.0146
h(x1-15.8839)*h(x1-15.729),37.6827
