TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD;PORT_NAME
2009-06-08 19:30:00;D;B;22;2;37;6;0;7.25;0.0;0;0;;0;0;0;2.5;1636.8;0;0;0;0;KALAMATA
2009-06-09 12:00:00;N;B;26;24;35;29;90;0;92.4;270;3;14.98;16;30;34.03636363636363;0;0;3;270;1;270;
2009-06-10 09:30:00;A;B;33;40;34;2;90;7.2;92.1;315;4;14.9;21;30;0.0;2;4.81;3;315;2;315;LIMASSOL
2009-06-10 12:00:00;N;B;32;24;34;58;0;0;0.0;270;3;0.0;0;0;1.4;0;1575.2;0;0;;0;
2009-06-11 12:00:00;N;B;32;24;34;58;0;0;0.0;270;3;0.0;27;0;5.066666666666667;0;1569.5;0;0;;0;
2009-06-12 12:00:00;N;B;32;24;34;58;0;0;0.0;270;3;0.0;27;0;5.777777777777778;0;1563;0;0;;0;
2009-06-13 12:00:00;N;B;32;24;34;58;0;0;0.0;270;2;0.0;15;0;13.440000000000001;0;1554.6;0;0;;0;
2009-06-14 12:00:00;N;B;32;24;34;58;0;0;0.0;270;2;0.0;27;0;6.755555555555555;0;1547;0;0;;0;
2009-06-15 12:00:00;N;B;32;24;34;58;0;0;0.0;270;2;0.0;27;0;6.044444444444444;0;1540.2;0;0;;0;
2009-06-16 10:00:00;D;L;33;40;34;2;0;12.4;0.0;0;0;;0;0;0;0;1532.7;0;0;0;0;LIMASSOL
2009-06-16 12:00:00;N;L;33;58;33;9;225;0;92.4;225;3;0.0;2;0;280.79999999999995;0;0;1;225;1;225;
2009-06-16 21:30:00;A;L;32;15;31;17;90;12.4;92.1;315;4;15.65;9;30;0.0;0;10.04;3;315;2;315;PORT SAID
2009-06-17 12:00:00;N;L;32;22;31;19;0;0;0.0;225;3;0.0;0;0;4;0;1502.6;0;0;;0;
2009-06-18 12:00:00;N;L;32;22;31;19;0;0;0.0;225;1;0.0;27;0;9.244444444444445;0;1492.2;0;0;;0;
2009-06-18 18:00:00;D;L;32;58;29;32;0;12.4;0.0;0;0;;0;0;0;0;1487.7;0;0;0;0;SUEZ
2009-06-19 12:00:00;N;L;35;42;25;7;135;0;99.1;315;4;16.06;2;0;427.20000000000005;0;0;1;315;1;315;
2009-06-20 12:00:00;N;L;38;33;20;30;135;0;95.7;315;4;15.45;24;0;38.0;0;0;1;315;1;315;
2009-06-21 12:00:00;N;L;41;29;15;41;135;0;94.8;315;4;15.23;24;0;37.6;0;0;1;315;1;315;
2009-06-22 12:00:00;N;L;45;2;12;22;90;0;89.7;225;5;14.86;24;0;37.1;0;0;2;225;1;225;
2009-06-23 12:00:00;N;L;51;49;13;7;90;0;91.6;225;4;14.83;24;0;37.7;0;0;1;225;2;225;
2009-06-24 12:00:00;N;L;56;30;14;34;90;0;91.9;225;7;14.57;23;0;38.71304347826087;0;0;4;225;4;225;
2009-06-25 12:00:00;N;L;61;42;12;55;90;0;91.1;225;7;13.79;24;0;37.5;0;0;4;225;4;225;
2009-06-26 12:00:00;N;L;67;55;10;17;90;0;91.2;225;6;14.04;24;0;37.0;0;0;3;225;4;225;
2009-06-27 12:00:00;N;L;72;9;9;33;90;0;91.9;225;6;14.54;23;0;36.83478260869565;0;0;3;225;4;225;
2009-06-28 12:00:00;N;L;77;51;6;48;90;0;91.8;225;5;14.51;24;0;37.7;0;0;2;225;3;225;
2009-06-29 12:00:00;N;L;83;50;5;14;90;0;91.8;225;5;14.55;24;0;37.1;0;0;2;225;3;225;
2009-06-30 12:00:00;N;L;88;4;6;45;90;0;91.7;225;6;13.83;24;0;37.5;0;0;2;225;3;225;
