draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
12.78,70.67838107065108,4.04,14.18951076526728,0.34,2019-11-23 18:18:00,38.694283,25.969133,0.03,169.63838107065106,14.16,-124.63838107065108
12.78,70.67838107065108,4.04,14.130489234732721,0.34,2019-11-23 19:17:52.432916,38.560028,25.722107,0.03,349.63838107065106,14.16,55.36161892934892
12.78,49.748004817653126,4.68,14.130493990302114,0.45,2019-11-23 20:17:49.369755,38.425773,25.47508,0.03,349.58800481765314,14.16,55.41199518234687
12.78,49.69812070294047,4.68,14.130498721889564,0.45,2019-11-23 21:17:50.780217,38.291518,25.228054,0.03,349.5381207029405,14.16,55.461879297059525
12.78,49.6484010459143,4.68,14.130503460129967,0.45,2019-11-23 22:17:56.663493,38.157263,24.981028,0.03,349.4884010459143,14.16,55.5115989540857
12.78,64.4002342819505,7.26,14.130512880555594,0.41,2019-11-23 23:47:07.830995,37.958333,24.615,0.03,349.3902342819505,14.16,55.6097657180495
12.78,94.43026583671208,7.26,14.131706846648902,0.41,2019-11-24 00:11:59.818396,37.87,24.561667,0.03,19.420265836712076,14.16,25.579734163287924
12.78,31.96753112576087,3.48,14.16,0.32,2019-11-24 01:30:26.032681,37.715,24.225,0.0,300.01753112576085,14.16,59.98246887423913
12.78,86.22136081825958,3.7,14.16,0.37,2019-11-24 02:13:50.403352,37.575,24.101667,0.0,324.95136081825956,14.16,35.04863918174041
12.78,96.28847604429846,11.51,14.131817912619672,0.34,2019-11-24 02:53:02.499324,37.435003,24.019997,0.03,20.048476044298468,14.16,24.951523955701532
12.78,88.39294675518717,11.51,14.130672326646387,0.34,2019-11-24 03:52:55.678474,37.236759,23.860003,0.03,12.152946755187173,14.16,32.84705324481283
12.78,102.69393802786888,13.69,14.130664741151705,0.34,2019-11-24 04:52:51.539543,37.038515,23.700009,0.03,12.083938027868868,14.16,32.91606197213113
12.78,102.61754395347788,13.69,14.130656393484522,0.34,2019-11-24 05:58:27.916277,36.821667,23.525,0.03,12.007543953477864,14.16,32.992456046522136
12.78,110.80208851793401,9.16,14.16,1.06,2019-11-24 06:58:21.361202,36.613465,23.387279,0.0,331.922088517934,14.16,28.077911482065986
12.78,89.60337927775936,8.2,13.902332705704286,0.66,2019-11-24 08:01:42.928521,36.393333,23.241667,0.51,59.653379277759385,14.16,28.146620722240613
12.78,29.564081837491983,8.2,13.65001156867739,0.66,2019-11-24 08:27:54.029038,36.39,23.114167,0.51,359.614081837492,14.16,88.185918162508
12.78,8.22774173313337,8.2,13.686215680282682,0.66,2019-11-24 09:07:15.494904,36.441667,22.933333,0.51,338.2777417331334,14.16,109.52225826686663
12.78,48.67635204012481,8.2,13.67699801378046,0.66,2019-11-24 10:07:19.124017,36.356861,22.660155,0.51,18.726352040124794,14.16,69.0736479598752
12.78,25.196408930284946,8.78,13.677055360172298,0.75,2019-11-24 10:40:38.064440,36.309853,22.508734,0.51,18.746408930284943,14.16,69.05359106971505
12.78,17.490891489109174,7.92,13.678781938714016,2.95,2019-11-24 10:45:08.493430,36.303333,22.488333,0.51,19.34089148910917,14.16,68.45910851089083
12.78,0.5496573647615435,7.92,13.65044722894391,2.95,2019-11-24 11:45:04.620308,36.284048,22.197683,0.51,2.399657364761552,14.16,85.40034263523845
12.78,0.5483087354310783,7.92,13.650446726465058,2.95,2019-11-24 12:45:01.612495,36.264764,21.907034,0.51,2.398308735431087,14.16,85.40169126456891
12.78,12.37741219266502,8.4,14.137154728982006,2.43,2019-11-24 13:44:59.496661,36.245479,21.616384,0.03,319.59741219266505,14.16,85.40258780733494
12.78,4.586049561140811,9.75,14.137155191428537,2.25,2019-11-24 14:44:58.257621,36.226195,21.325734,0.03,319.59604956114083,14.16,85.4039504388592
12.78,4.585171458017243,9.75,14.137155489443858,2.25,2019-11-24 15:44:57.897457,36.20691,21.035084,0.03,319.59517145801726,14.16,85.40482854198277
12.78,9.84382748506198,8.68,14.137155945578959,2.06,2019-11-24 16:44:58.400973,36.187626,20.744435,0.03,319.593827485062,14.16,85.40617251493802
12.78,8.622935152269719,10.03,14.137156248437464,2.12,2019-11-24 17:44:59.794860,36.168341,20.453785,0.03,319.5929351522698,14.16,85.40706484773025
12.78,8.621577184429668,10.03,14.137156709343529,2.12,2019-11-24 18:45:02.063924,36.149057,20.163135,0.03,319.5915771844297,14.16,85.4084228155703
12.78,4.890719580033675,9.54,14.137157000428513,2.21,2019-11-24 19:45:05.197929,36.129772,19.872486,0.03,319.5907195800337,14.16,85.40928041996634
12.78,4.889347624199814,9.54,14.137157466103442,2.21,2019-11-24 20:45:09.218615,36.110488,19.581836,0.03,319.58934762419983,14.16,85.4106523758002
12.78,175.86847579343674,10.55,13.650443071392857,2.33,2019-11-24 21:45:14.115746,36.091203,19.291186,0.51,2.3884757934367826,14.16,85.41152420656321
12.78,167.54712247139912,10.27,13.692044361076745,1.73,2019-11-24 22:45:19.886435,36.071919,19.000536,0.69,47.297122471399135,14.16,85.41287752860087
12.78,167.54626902033652,10.27,13.692036808087936,1.73,2019-11-24 23:45:26.520431,36.052634,18.709887,0.69,47.29626902033654,14.16,85.41373097966347
12.78,172.99514280826415,11.79,14.178002455800092,1.88,2019-11-25 00:45:34.040763,36.033349,18.419237,0.47,92.19514280826414,14.16,85.41485719173588
12.78,178.89379295893025,11.52,14.137159351624787,1.96,2019-11-25 01:45:42.433437,36.014065,18.128587,0.03,319.58379295893025,14.16,85.41620704106977
