FOC_pred,FOC_act,PERC,stw
61.7,61.37,0.53950274,16.89
32.81,33.81,2.956283,13.74
26.95,26.96,0.043658193,13.18
39.28,37.86,3.7489324,14.95
85.37,77.97,9.489432,18.96
28.89,29.39,1.7085081,13.8
84.48,79.97,5.64206,19.14
32.87,32.0,2.7161956,14.3
25.59,26.3,2.686352,12.76
28.12,28.75,2.2029247,12.69
43.58,38.33,13.702057,15.17
25.36,22.32,13.6264,12.43
56.26,53.78,4.608485,16.69
30.7,29.94,2.5325882,13.91
69.29,70.25,1.3715425,17.88
72.06,70.1,2.8016422,18.22
86.71,81.06,6.967823,19.6
37.63,41.41,9.125482,14.87
40.11,38.13,5.199033,15.03
86.05,85.49,0.65416104,18.92
26.18,28.67,8.67044,12.56
82.48,77.87,5.921162,18.76
26.76,27.4,2.3369198,13.32
59.15,54.2,9.141583,16.66
27.74,25.79,7.563277,13.23
51.55,55.0,6.271397,15.45
71.45,69.58,2.689378,17.9
70.64,70.69,0.07500961,18.01
24.96,22.69,10.00762,12.23
68.93,66.8,3.183262,17.78
72.09,71.49,0.84050333,18.0
26.31,24.67,6.632486,12.91
62.81,62.78,0.05276046,16.81
25.7,23.13,11.123397,12.58
59.95,59.13,1.3917677,17.1
61.97,59.67,3.858355,17.07
53.4,54.53,2.079916,15.8
33.71,32.8,2.7636318,14.33
82.46,78.54,4.9965734,18.77
72.86,71.61,1.7506589,18.3
78.38,77.13,1.6155958,18.32
70.68,69.13,2.2480943,17.95
44.94,41.0,9.610953,15.77
54.21,53.0,2.2768128,16.5
27.41,25.71,6.6300063,13.5
63.7,62.23,2.3623416,17.42
25.76,24.67,4.425559,12.93
62.77,62.29,0.76787543,17.17
80.49,80.93,0.54853773,18.81
84.79,81.76,3.700163,19.27
76.06,74.29,2.3796647,18.31
41.96,39.17,7.1218557,15.21
52.77,54.71,3.5507224,15.57
33.87,37.61,9.933985,14.48
85.57,82.47,3.759357,18.97
38.9,38.45,1.1654719,15.0
86.14,83.14,3.609179,18.86
40.51,37.93,6.801405,14.93
62.64,61.65,1.6080326,17.16
68.15,67.4,1.1152385,17.4
32.2,33.05,2.5755613,13.66
28.51,30.27,5.8232164,13.05
85.18,80.9,5.294734,19.24
45.79,43.39,5.5374036,15.66
94.53,92.76,1.905794,20.07
24.65,22.27,10.704764,12.14
59.15,58.36,1.3469946,16.35
81.84,82.27,0.5280298,19.03
47.72,39.14,21.922102,15.02
70.97,70.81,0.22422728,18.01
72.05,72.84,1.088299,18.42
84.78,81.4,4.1486096,18.73
35.67,37.59,5.110629,13.99
30.59,32.7,6.4501166,13.93
40.02,37.73,6.0596967,15.02
81.59,80.33,1.5679625,18.87
32.8,28.95,13.283974,13.27
73.23,71.97,1.745538,18.19
32.36,32.58,0.6815639,13.27
96.05,99.11,3.085775,20.76
79.79,80.6,1.0080929,18.78
51.69,54.26,4.7318487,15.52
62.08,60.35,2.8602328,17.12
25.39,23.07,10.076894,12.75
77.9,78.45,0.69507724,18.39
83.21,78.98,5.3551817,18.66
64.09,59.27,8.131162,17.53
81.62,80.44,1.466088,18.83
60.98,60.46,0.86718434,16.76
78.52,76.32,2.8791368,18.55
67.11,65.75,2.0616887,17.23
25.63,27.95,8.31739,12.16
47.17,43.36,8.778545,15.86
84.57,78.55,7.670188,19.06
63.56,62.44,1.7994937,17.48
40.18,37.53,7.0667953,14.97
88.37,81.74,8.107524,19.76
25.6,23.44,9.199173,12.79
27.97,27.32,2.3853798,13.44
25.04,22.87,9.498688,12.27
61.37,58.93,4.1455913,17.29
62.67,61.23,2.3521724,17.31
41.93,39.32,6.6330714,15.06
33.49,32.2,4.003572,14.24
40.78,37.0,10.226245,15.0
78.64,75.93,3.5688345,18.68
68.81,70.0,1.6999927,17.54
64.24,64.09,0.23991702,17.39
63.7,60.06,6.0560193,16.99
38.06,38.13,0.18282133,14.92
26.22,25.44,3.0486388,12.91
26.99,28.4,4.949288,12.34
93.91,89.79,4.592676,19.92
56.97,54.45,4.62424,16.71
41.03,39.23,4.593905,15.0
83.55,80.49,3.8011525,18.82
89.39,84.71,5.52584,20.07
41.66,39.59,5.22602,14.49
63.52,61.3,3.622357,17.36
32.45,35.92,9.653319,14.49
91.73,87.46,4.8877063,19.53
38.4,37.53,2.3171568,15.03
27.51,28.27,2.6835186,13.48
32.36,33.71,3.9930072,14.47
36.51,35.95,1.5654054,14.73
83.42,80.37,3.7888386,18.72
26.75,28.96,7.6465187,12.71
38.02,38.2,0.4655628,14.86
71.68,70.19,2.1190238,17.89
86.48,81.18,6.531591,18.9
27.48,27.87,1.4168239,13.01
27.83,29.5,5.6479697,12.91
25.74,28.72,10.37358,12.6
68.05,67.31,1.0968487,17.57
28.33,28.31,0.067427576,13.67
81.29,82.45,1.4032997,18.83
50.01,54.2,7.7358046,15.45
80.62,77.33,4.252995,18.58
69.88,70.35,0.67431486,17.97
33.51,32.45,3.2709646,14.22
71.36,72.67,1.8008711,18.05
25.92,25.27,2.5760076,12.94
62.37,61.59,1.269974,17.13
46.1,41.03,12.35616,14.87
26.68,24.93,7.020527,13.01
80.58,81.54,1.1731901,18.76
81.25,79.53,2.1590526,18.43
38.43,38.04,1.0169818,14.93
43.06,44.13,2.434975,15.32
47.61,49.7,4.211011,15.07
65.52,64.61,1.4130026,17.71
39.74,37.03,7.3192945,15.12
25.67,24.67,4.0486665,13.05
79.3,78.17,1.44938,18.74
95.88,98.87,3.0231292,20.53
44.35,38.22,16.03139,14.58
74.71,72.27,3.3711221,18.12
55.4,53.29,3.9582584,16.62
32.8,32.11,2.1543593,14.15
32.51,34.79,6.5573864,14.34
54.31,54.73,0.76983285,15.69
76.26,77.56,1.6783684,18.48
32.81,32.27,1.6872499,14.36
26.98,25.0,7.9318852,13.31
54.23,53.48,1.4087274,16.48
82.17,78.07,5.2573047,18.53
25.91,27.6,6.127406,12.85
27.67,26.03,6.3117633,13.19
25.51,23.36,9.208722,12.49
74.76,75.06,0.40511215,18.44
25.89,27.26,5.0233097,12.86
27.75,24.73,12.193264,13.39
83.15,79.99,3.9546762,18.7
24.93,23.06,8.112336,12.2
63.59,62.29,2.0822895,17.32
85.23,81.07,5.1275516,18.82
85.4,80.91,5.5483637,19.34
72.78,72.2,0.80656016,18.06
48.62,50.68,4.0603795,15.14
26.9,28.53,5.722006,12.86
92.97,87.56,6.180498,19.95
50.26,50.62,0.7036768,15.8
59.19,53.73,10.164049,16.67
38.84,38.12,1.893729,15.04
41.06,39.32,4.427872,15.19
