FOC_pred,FOC_act,PERC,stw
43.57,44.86,2.8817716,12.88
43.02,43.97,2.154562,12.81
42.56,43.09,1.2274135,12.73
42.18,42.07,0.2595028,12.66
41.74,41.12,1.5096629,12.58
41.38,40.11,3.1598835,12.52
41.03,39.22,4.61591,12.46
40.73,38.24,6.507769,12.41
40.4,37.26,8.417909,12.37
39.96,37.08,7.770285,12.33
39.52,36.09,9.50385,12.28
39.21,35.05,11.865331,12.24
38.96,34.03,14.49029,12.19
38.86,33.58,15.713234,12.17
38.86,33.51,15.976934,12.18
38.89,34.07,14.134725,12.19
38.9,34.0,14.424009,12.19
38.95,33.93,14.804814,12.2
39.0,34.0,14.696715,12.21
39.05,34.47,13.283457,12.22
39.03,34.6,12.79627,12.21
39.04,34.53,13.06172,12.21
39.02,34.47,13.185628,12.2
39.05,34.4,13.521594,12.2
39.07,34.07,14.669196,12.19
39.17,34.07,14.957185,12.19
39.25,34.14,14.961826,12.19
39.26,34.2,14.803301,12.19
39.21,33.68,16.433247,12.18
39.18,33.81,15.876654,12.17
39.13,33.26,17.649776,12.16
39.06,33.26,17.435083,12.15
38.99,33.52,16.311314,12.14
38.94,33.45,16.412914,12.13
38.94,32.99,18.030163,12.13
38.9,32.92,18.152317,12.12
38.93,32.85,18.516426,12.13
38.85,32.85,18.27341,12.12
38.22,32.85,16.35799,12.12
37.76,32.53,16.079048,12.12
37.47,32.46,15.440851,12.12
37.24,32.39,14.988015,12.11
37.11,32.26,15.03012,12.11
37.02,32.13,15.2226,12.11
36.98,31.99,15.596311,12.11
37.0,31.46,17.603033,12.12
37.02,31.33,18.153996,12.13
36.32,31.07,16.892996,12.14
36.06,31.0,16.311043,12.15
35.66,30.93,15.278411,12.16
35.4,30.8,14.938553,12.17
35.45,31.0,14.3660145,12.18
35.24,31.33,12.487216,12.18
35.84,31.33,14.403854,12.18
35.04,31.4,11.597645,12.18
35.1,31.4,11.775843,12.19
35.03,31.47,11.30088,12.2
34.99,31.47,11.189324,12.2
34.9,31.4,11.147366,12.21
34.75,31.47,10.416506,12.22
34.83,31.47,10.682867,12.22
34.72,31.47,10.342806,12.23
34.67,31.47,10.160205,12.23
34.63,31.6,9.598049,12.23
34.73,31.53,10.1396475,12.24
34.75,31.53,10.203988,12.24
34.46,31.27,10.202943,12.24
34.62,30.87,12.1453,12.24
34.56,30.87,11.944902,12.25
34.65,30.73,12.771143,12.26
34.78,30.67,13.391447,12.27
34.75,30.6,13.549748,12.27
34.68,30.67,13.075725,12.27
34.89,30.8,13.28565,12.28
34.93,30.73,13.656467,12.29
35.52,30.73,15.575485,12.29
35.71,30.8,15.931738,12.29
35.81,30.8,16.26327,12.3
35.95,30.6,17.491093,12.31
35.87,30.6,17.228014,12.31
35.93,30.93,16.151192,12.32
35.94,30.93,16.201424,12.32
35.93,30.93,16.172972,12.32
35.97,30.8,16.782091,12.33
36.05,30.87,16.780731,12.34
36.05,30.93,16.568848,12.34
36.11,30.8,17.247177,12.35
36.16,30.87,17.14484,12.36
36.27,30.8,17.762667,12.37
36.13,30.93,16.813786,12.37
36.14,30.87,17.059847,12.37
36.14,30.73,17.614641,12.37
36.13,30.53,18.3448,12.37
36.13,31.07,16.290255,12.37
36.13,31.54,14.5509405,12.37
36.15,31.21,15.842263,12.36
36.17,31.34,15.4035015,12.36
36.17,31.34,15.420823,12.36
