FOC_pred,FOC_act,PERC,stw
32.37,29.67,9.098053,14.03
29.8,28.47,4.6779146,12.7
37.3,37.5,0.5331624,13.65
32.55,32.12,1.3540751,13.27
28.39,25.75,10.252477,13.74
36.48,37.6,2.9659274,14.03
32.67,29.92,9.185496,14.03
29.0,28.59,1.4374897,12.67
38.3,38.61,0.80500877,14.27
30.6,29.2,4.788836,12.67
36.08,36.75,1.8262175,13.94
26.98,26.4,2.2008781,12.58
34.77,34.32,1.3199276,13.51
27.6,26.13,5.640555,13.17
36.76,38.62,4.8272715,14.02
32.4,34.28,5.4946,14.21
52.13,50.73,2.7625687,15.43
36.61,32.49,12.687607,13.36
32.64,31.6,3.2907379,13.2
30.61,29.63,3.3185165,14.09
44.3,44.87,1.2601424,15.56
29.92,28.86,3.6587782,12.6
26.34,27.07,2.6805964,13.07
27.97,29.83,6.228852,12.3
27.78,26.47,4.9517856,13.04
37.16,35.83,3.7117012,14.1
24.85,27.43,9.41959,13.01
34.84,33.33,4.5245996,13.54
27.01,26.8,0.7676153,13.64
34.04,35.13,3.1083212,13.56
40.85,40.16,1.7247353,14.71
36.35,37.0,1.7634829,13.94
30.5,28.85,5.703006,12.67
62.0,57.0,8.778536,16.52
32.97,29.36,12.303113,14.1
29.66,28.33,4.67802,13.59
54.73,52.81,3.6358666,15.95
35.8,37.04,3.338993,14.14
35.73,33.69,6.0560503,13.61
37.42,36.73,1.8852581,14.15
62.64,60.1,4.2218733,17.55
32.25,32.56,0.9615474,13.42
25.57,26.33,2.8779233,13.34
34.96,37.31,6.306959,13.76
31.95,30.05,6.3065453,13.62
27.76,26.6,4.367319,13.1
29.9,29.83,0.22835752,12.46
34.84,35.77,2.5944314,13.15
34.71,33.8,2.7065277,13.64
38.71,38.74,0.07846027,14.32
30.67,34.4,10.851155,13.66
28.27,27.8,1.6757568,12.06
30.4,28.33,7.2945952,12.67
29.02,28.23,2.7922287,12.54
32.54,38.9,16.358255,14.57
27.02,28.57,5.4123373,13.62
45.12,45.8,1.4758798,15.72
36.87,36.47,1.0967124,14.04
31.54,31.28,0.8292271,13.53
26.45,26.74,1.0661894,12.85
36.53,37.93,3.6887207,13.85
26.8,26.32,1.8339027,13.54
60.22,61.7,2.3968973,17.41
32.56,29.85,9.078168,13.19
36.63,37.83,3.1816065,13.87
51.43,54.01,4.775915,16.29
55.21,55.28,0.1323551,16.77
27.94,26.41,5.77962,12.72
55.87,56.01,0.25786155,16.89
31.23,29.53,5.7490835,13.53
28.87,27.99,3.1490333,12.94
57.81,55.98,3.2768579,16.98
57.38,57.12,0.45504555,17.04
55.28,53.04,4.221469,16.03
30.8,32.5,5.2306833,13.4
30.46,32.39,5.9656553,13.33
34.87,35.57,1.9633304,14.26
28.18,26.47,6.4591603,13.12
27.75,26.2,5.9229507,13.81
35.45,35.64,0.52637255,14.66
31.46,29.64,6.1246676,13.5
54.94,56.86,3.37066,16.61
30.89,32.36,4.537822,13.13
28.37,28.62,0.8631652,12.38
43.78,44.91,2.5193565,15.44
33.94,29.63,14.559277,12.83
40.69,36.6,11.1634,14.13
28.56,26.38,8.2812195,12.87
59.37,59.57,0.33158475,17.51
35.47,35.42,0.14319655,13.81
28.44,29.44,3.3912387,12.6
27.68,26.2,5.6558056,13.42
33.81,34.69,2.5370872,13.08
31.14,29.97,3.9035287,12.59
30.71,32.83,6.471193,13.37
36.9,36.3,1.6556312,14.04
30.95,32.88,5.874535,13.49
33.04,32.59,1.3809578,13.29
30.41,30.58,0.5486403,13.2
25.02,27.05,7.5015917,12.93
29.55,30.31,2.5018864,12.26
29.76,30.67,2.9657125,12.97
27.99,27.33,2.4263036,13.62
43.65,42.95,1.620025,15.47
28.67,28.76,0.31065378,12.35
35.71,34.47,3.5870216,14.32
26.53,26.45,0.28698206,13.47
33.7,33.57,0.39729896,13.03
26.35,27.14,2.904687,12.1
39.98,34.46,16.014048,14.86
26.03,26.34,1.1854092,13.44
34.26,33.73,1.5638337,13.58
36.37,37.6,3.2643259,14.01
29.1,28.43,2.3637102,12.96
25.75,26.27,1.9685915,13.39
50.74,48.78,4.009452,16.0
41.1,42.75,3.8576987,15.13
39.62,37.55,5.5029674,14.02
27.74,29.25,5.17048,13.17
28.47,27.17,4.7725625,13.01
33.74,35.48,4.8988113,14.43
39.16,35.2,11.2381735,14.72
48.51,50.06,3.0916193,16.37
31.62,33.0,4.182729,13.26
33.71,34.05,1.0004365,13.89
30.52,27.2,12.219436,13.82
27.6,28.06,1.6327,13.52
27.19,26.23,3.6647346,13.66
25.91,26.37,1.7268339,13.39
34.76,35.6,2.368445,13.68
57.31,57.41,0.17353185,16.48
28.28,27.41,3.1865246,13.76
33.07,32.86,0.62927413,13.07
36.34,35.47,2.4660344,14.38
34.78,37.26,6.6455493,13.73
27.38,26.53,3.2172651,12.69
36.57,37.4,2.2247946,14.04
34.79,35.32,1.511428,13.74
31.95,32.27,0.98367053,13.17
35.4,33.89,4.456611,13.7
64.46,63.73,1.1519332,17.18
29.69,29.55,0.47941902,12.97
45.6,44.6,2.2378247,15.72
30.89,32.61,5.2674,12.33
35.43,36.36,2.552196,13.8
37.43,36.16,3.5253353,14.6
50.98,52.0,1.9600134,16.41
36.77,36.11,1.8390622,14.05
32.78,33.18,1.2125403,13.24
28.73,28.87,0.48487747,12.72
33.77,33.58,0.57646453,13.01
31.97,33.67,5.060626,13.12
25.87,27.99,7.583861,13.02
26.34,27.2,3.1661847,13.47
