FOC_pred,FOC_act,PERC,stw
40.0,39.49,1.2844777,16.55
60.16,60.59,0.7035312,18.33
73.47,71.48,2.7860203,20.13
63.73,64.19,0.7128117,18.58
36.99,38.4,3.6727884,14.28
33.3,31.64,5.2387586,13.49
38.78,41.2,5.873069,14.88
79.6,77.57,2.6144226,19.7
37.58,35.13,6.9770412,16.02
93.66,90.74,3.2183619,21.96
92.63,94.89,2.3819566,21.59
75.95,77.28,1.715824,20.39
39.39,40.64,3.0692074,14.64
61.92,62.58,1.0576732,19.07
56.01,55.4,1.1048574,18.05
69.33,66.27,4.6157207,19.63
61.04,59.77,2.1259806,18.35
65.7,66.53,1.247996,18.87
67.1,65.81,1.9646764,18.79
64.81,66.0,1.7995199,18.89
45.22,42.79,5.6735754,16.9
35.37,39.57,10.613265,12.5
82.76,81.85,1.1178437,21.05
47.89,46.67,2.6148047,17.24
32.9,30.49,7.8994074,13.17
57.16,58.89,2.9389234,16.92
38.2,45.0,15.111753,14.87
71.26,74.17,3.9219427,18.97
76.85,77.98,1.4527843,19.9
61.41,60.27,1.8907657,18.85
62.28,61.13,1.8826743,19.16
66.91,68.4,2.1810586,19.33
60.63,60.4,0.38301077,18.45
56.44,57.99,2.6767082,17.9
32.08,30.03,6.8249097,13.9
38.52,37.76,2.0060701,16.26
49.01,50.2,2.3683417,16.25
72.13,74.09,2.6433396,19.64
56.99,57.48,0.8483653,18.21
62.88,63.47,0.9292066,18.58
51.0,49.06,3.958343,17.47
78.36,76.16,2.8913162,19.2
40.56,34.09,18.966665,15.64
57.08,56.93,0.26937404,18.51
35.22,39.06,9.836556,14.25
66.96,69.82,4.102204,19.21
65.37,68.74,4.896853,19.04
70.62,69.73,1.2748954,19.44
70.22,68.67,2.2614872,19.6
67.7,69.03,1.9220482,19.32
77.88,76.73,1.4946872,19.11
66.92,66.36,0.844614,19.19
88.33,82.32,7.2971196,20.45
43.31,41.97,3.2038002,16.6
32.73,32.62,0.35139188,14.19
70.58,68.53,2.9963827,19.61
73.56,74.19,0.85451484,19.8
63.35,62.96,0.6180525,18.63
72.0,68.7,4.8075185,19.76
47.62,47.12,1.0700744,17.16
60.54,60.02,0.8739356,18.59
61.63,61.68,0.07893479,18.22
63.41,62.71,1.120302,18.61
66.06,64.92,1.7575343,19.56
34.0,28.9,17.641306,13.09
45.68,42.59,7.2515435,16.73
56.61,56.16,0.8076073,17.97
78.48,77.63,1.09868,20.36
58.4,55.27,5.6552486,16.66
39.6,37.03,6.933375,16.36
60.41,59.74,1.1250739,18.04
61.73,60.36,2.2748704,18.35
75.77,76.41,0.83830476,19.82
68.25,67.06,1.7750572,19.72
39.44,37.98,3.838341,14.46
68.2,68.47,0.39732578,19.49
81.6,82.77,1.4086405,20.79
35.77,35.58,0.52732456,12.94
66.59,65.98,0.9303166,19.01
59.53,61.0,2.4097817,18.08
78.9,82.12,3.921269,20.95
77.98,78.33,0.44866642,20.15
57.63,61.75,6.6665835,18.46
38.0,33.37,13.885704,13.35
43.22,43.83,1.4005413,16.92
68.9,68.2,1.0321385,19.13
98.33,97.51,0.8446399,21.57
62.51,61.5,1.6455488,18.72
47.47,48.8,2.726852,15.78
39.59,39.69,0.25883046,14.56
39.65,47.59,16.68371,15.19
61.17,60.51,1.096207,18.6
36.99,43.28,14.534746,14.79
39.05,38.57,1.2504433,14.33
42.08,40.75,3.2711756,16.36
36.76,39.59,7.150442,14.6
61.74,62.47,1.1618063,18.68
70.62,68.69,2.8094919,19.42
34.93,32.82,6.431589,13.03
39.01,45.0,13.315557,14.85
40.75,40.39,0.89449406,16.56
75.38,74.32,1.4269904,20.62
48.7,45.85,6.218373,16.89
60.24,59.02,2.0590963,18.6
65.73,65.7,0.04742534,18.73
55.11,55.16,0.09119035,16.69
36.06,39.52,8.746824,14.42
57.03,54.98,3.725248,18.15
61.7,61.02,1.1152894,18.76
43.49,45.92,5.286147,17.19
53.02,54.6,2.8984783,18.0
67.9,64.87,4.6709485,20.0
