'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
11.82,164.43,10.77,0,0.1,2019-10-18 16:00:00,29.412717,32.609517,0.03,249.05,0,155.948155983059
11.82,175.11,9.5,14.4107265933174,0.12,2019-10-18 16:59:59,29.189412,32.709181,0.03,249.05,14.4,155.948148276028
11.82,174.25,9.5,14.4109362448773,0.12,2019-10-18 18:24:58,28.87315,32.850333,0.03,248.19,14.4,156.808571043128
11.82,183.53,9.5,14.4088272097932,0.12,2019-10-18 18:53:53,28.765,32.896667,0.03,257.47,14.4,147.528896324804
11.82,214.24,6.61,14.4065085231492,0.08,2019-10-18 19:53:52,28.555817,33.029783,0.03,257.47,14.4,147.528807709152
11.82,224.4,6.61,14.4038745492024,0.08,2019-10-18 21:21:08,28.251667,33.223333,0.03,267.63,14.4,137.36614954257
11.82,236.7,6.61,14.398033614447,0.08,2019-10-18 21:54:59,28.146667,33.32,0.03,279.93,14.4,125.073869154726
11.82,232.24,6.61,14.3959834585515,0.08,2019-10-18 22:17:05,28.091667,33.398333,0.03,275.47,14.4,129.53084994924
11.82,200.75,6.47,14.3985701317324,0.74,2019-10-18 23:17:04,27.928058,33.596589,0,230.47,14.4,129.531007671014
11.82,196.88,6.47,14.4,0.74,2019-10-19 00:01:00,27.808333,33.741667,0,226.6,14.4,133.396857566247
11.82,196.88,6.47,14.4,0.74,2019-10-19 01:00:58,27.633431,33.926641,0,226.6,14.4,133.396611340383
11.82,171.88,7.52,14.4,0.66,2019-10-19 01:50:12,27.49,34.078333,0,205.03,14.4,154.971594638322
11.82,171.88,7.52,14.4,0.66,2019-10-19 02:50:09,27.268776,34.181625,0,205.03,14.4,154.971382000688
11.82,171.88,7.52,14.4,0.66,2019-10-19 03:50:08,27.047552,34.284918,0,205.03,14.4,154.971495354853
11.82,171.88,9.22,14.4,0.68,2019-10-19 04:50:07,26.826329,34.388210,0,205.03,14.4,154.971382000688
11.82,171.88,9.22,14.4,0.68,2019-10-19 05:50:08,26.605105,34.491503,0,205.03,14.4,154.971594638322
11.82,176.06,9.29,14.0807113308717,0.95,2019-10-19 06:50:09,26.383881,34.594795,0.69,337.74,14.4,154.97139997163
11.82,185.18,8.88,13.8675042100829,0.92,2019-10-19 07:48:20,26.169551,34.694869,0.47,24.87,14.4,152.74482951563
11.82,185.18,8.88,13.9715904618004,0.92,2019-10-19 08:48:16,25.952295,34.806788,0.47,24.87,14.398004703378,152.74482951563
11.82,185.17,8.88,13.9715732156456,0.92,2019-10-19 09:48:14,25.735039,34.918707,0.47,24.86,14.398004703378,152.745037931873
11.82,181.13,9.71,13.9715732156456,1.35,2019-10-19 10:48:13,25.517783,35.030625,0.47,24.87,14.398004703378,152.74482951563
11.82,175.8,9.1,14.1847975825892,0.78,2019-10-19 11:48:13,25.300527,35.142544,0,207.26,14.398004703378,152.74482951563
11.82,175.8,9.1,14.398004703378,0.78,2019-10-19 12:48:14,25.083271,35.254463,0,207.26,14.398004703378,152.744722150224
11.82,189.57,9.52,14.398004703378,0.75,2019-10-19 13:48:17,24.866016,35.366382,0,207.25,14.398004703378,152.745035466541
11.82,194.24,9.52,14.398004703378,0.75,2019-10-19 14:36:14,24.692542,35.455746,0,211.92,14.398004703378,148.079783012184
11.82,182.81,10.83,13.4908454376595,0.33,2019-10-19 15:36:11,24.494433,35.579155,0.47,29.53,13.6953184075634,148.079912806312
11.82,187.95,10.35,13.2863724677555,0.63,2019-10-19 16:36:08,24.296323,35.702564,0.47,29.53,13.6953184075634,148.079783012184
11.82,187.95,10.35,13.2863724677555,0.63,2019-10-19 17:36:07,24.098214,35.825973,0.47,29.53,13.6953184075634,148.079912806312
11.82,187.95,10.35,13.2863724677555,0.63,2019-10-19 18:36:08,23.900104,35.949382,0.47,29.53,13.6953184075634,148.079783012184
11.82,188.79,9.96,13.2863724677555,0.36,2019-10-19 19:36:10,23.701995,36.072791,0.47,29.53,13.6953184075634,148.079953180113
11.82,220.51,6.49,13.4940766944694,1.14,2019-10-19 20:57:17,23.434389,36.239491,0.03,257.56,13.6953184075634,147.440064815387
11.82,220.51,6.49,13.6752340688357,1.14,2019-10-19 21:57:14,23.238358,36.364665,0.03,257.56,13.6687715552159,147.440139863078
11.82,218.71,6.25,13.5431177813827,1.14,2019-10-19 22:57:11,23.042328,36.489838,0.51,300.36,13.6687715552159,147.440064815387
11.82,187.38,7.8,13.5431177813827,0.99,2019-10-19 23:57:11,22.846297,36.615012,0.03,257.56,13.6687715552159,147.440272439483
11.82,187.38,7.8,13.6752340688357,0.99,2019-10-20 00:57:11,22.650266,36.740185,0.03,257.56,13.6687715552159,147.439932238536
11.82,186.23,8.82,13.468836366963,0.66,2019-10-20 01:57:13,22.454236,36.865359,0.47,30.17,13.6687715552159,147.440185697537
11.82,185.49,8.82,13.2609302962038,0.66,2019-10-20 03:17:11,22.193201,37.03204,0.47,29.43,13.6687715552159,148.179042339813
11.82,185.49,8.82,13.851669364603,0.66,2019-10-20 04:17:07,21.987676,37.159575,0.47,29.43,14.2610189925017,148.179042339813
11.82,168.8,9.44,13.851669364603,0.41,2019-10-20 05:17:05,21.782151,37.287110,0.47,29.43,14.2610189925017,148.179042339813
11.82,168.8,9.44,13.851669364603,0.41,2019-10-20 06:17:04,21.576626,37.414645,0.47,29.43,14.2610189925017,148.179042339813
