'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
11.82,164.43,10.77,0,0.1,2019-10-18 16:00:00,29.412717,32.609517,0.03,249.05,0,155.948202160896
11.82,175.11,9.5,14.3107265933174,0.12,2019-10-18 16:59:59,29.190962,32.708489,0.03,249.05,14.3,155.94811609281
11.82,174.25,9.5,14.3109362448773,0.12,2019-10-18 18:25:59,28.87315,32.850333,0.03,248.19,14.3,156.808571043128
11.82,183.53,9.5,14.3088272097932,0.12,2019-10-18 18:55:06,28.765,32.896667,0.03,257.47,14.3,147.528772015005
11.82,214.24,6.61,14.3065085231492,0.08,2019-10-18 19:55:05,28.557270,33.028859,0.03,257.47,14.3,147.528892628613
11.82,224.4,6.61,14.3038745492024,0.08,2019-10-18 21:23:22,28.251667,33.223333,0.03,267.63,14.3,137.36614954257
11.82,236.7,6.61,14.298033614447,0.08,2019-10-18 21:57:28,28.146667,33.32,0.03,279.93,14.3,125.073869154726
11.82,232.24,6.61,14.2959834585515,0.08,2019-10-18 22:19:43,28.091667,33.398333,0.03,275.47,14.3,129.53091175302
11.82,200.75,6.47,14.2985701317324,0.74,2019-10-18 23:19:42,27.929194,33.595212,0,230.47,14.3,129.530923105656
11.82,196.88,6.47,14.3,0.74,2019-10-19 00:04:21,27.808333,33.741667,0,226.6,14.3,133.396706891243
11.82,196.88,6.47,14.3,0.74,2019-10-19 01:04:20,27.634646,33.925357,0,226.6,14.3,133.396794334568
11.82,180.14,7.52,14.3,0.66,2019-10-19 01:54:19,27.49,34.078333,0,213.29,14.3,146.712341981936
11.82,180.14,7.52,14.2604204080933,0.66,2019-10-19 02:54:15,27.285202,34.212797,0,213.29,14.2604204080933,146.712341981936
11.82,180.14,7.52,14.2604204080933,0.66,2019-10-19 03:54:13,27.080404,34.347261,0,213.29,14.2604204080933,146.712341981936
11.82,180.14,9.22,14.2604204080933,0.68,2019-10-19 04:54:12,26.875606,34.481725,0,213.29,14.2604204080933,146.712341981936
11.82,195.29,12.94,14.3974859688115,0.27,2019-10-19 05:54:13,26.670808,34.616189,0.47,125.68,14.2604204080933,146.712274843792
11.82,184.32,9.29,14.0627339432463,0.95,2019-10-19 06:54:15,26.466009,34.750654,0.69,346,14.2604204080933,146.712366794092
11.82,186.98,8.88,13.7156708482758,0.92,2019-10-19 07:54:58,26.259045,34.88654,0.47,26.67,14.2604204080933,150.944957047319
11.82,186.98,8.88,13.736298277708,0.92,2019-10-19 08:54:54,26.048429,35.003551,0.47,26.67,14.1562933462126,150.944864660085
11.82,186.98,8.88,13.736298277708,0.92,2019-10-19 09:54:51,25.837812,35.120563,0.47,26.67,14.1562933462126,150.944957047319
11.82,182.93,9.71,13.736298277708,1.35,2019-10-19 10:54:50,25.627196,35.237574,0.47,26.67,14.1562933462126,150.944957047319
11.82,177.6,9.1,13.9462958119603,0.78,2019-10-19 11:54:50,25.416580,35.354585,0,209.06,14.1562933462126,150.944864660085
11.82,177.6,9.1,14.1562933462126,0.78,2019-10-19 12:54:52,25.205963,35.471597,0,209.06,14.1562933462126,150.944957047319
11.82,169.75,8.75,14.2789056059953,0.4,2019-10-19 13:54:55,24.995347,35.588608,0.47,121.45,14.1562933462126,150.944891438188
11.82,172.64,8.75,14.4114697256833,0.4,2019-10-19 14:41:40,24.83141,35.679686,0.47,124.34,14.1562933462126,148.046345529804
11.82,172.64,8.75,13.3363729210996,0.4,2019-10-19 15:41:36,24.642336,35.797620,0.47,124.34,13.0712446817236,148.046481604064
11.82,187.98,10.35,12.999396506207,0.63,2019-10-19 16:41:34,24.453261,35.915554,0.47,29.56,13.0712446817236,148.046345529804
11.82,187.98,10.35,12.6624200913144,0.63,2019-10-19 17:41:33,24.264187,36.033488,0.47,29.56,13.0712446817236,148.046127372687
11.82,187.98,10.35,12.6624200913144,0.63,2019-10-19 18:41:33,24.075113,36.151423,0.47,29.56,13.0712446817236,148.046345529804
11.82,188.82,9.96,12.6624200913144,0.36,2019-10-19 19:41:35,23.886039,36.269357,0.47,29.56,13.0712446817236,148.046481604064
11.82,188.82,9.96,12.6624200913144,0.36,2019-10-19 20:41:38,23.696964,36.387291,0.47,29.56,13.0712446817236,148.046345996488
11.82,194.92,9.96,12.6758970678884,0.36,2019-10-19 21:17:52,23.582903,36.458436,0.47,35.66,13.0712446817236,141.947157237488
11.82,200.46,6.23,14.0528055042956,0.81,2019-10-19 22:17:47,23.390612,36.608956,0.03,263.05,14.2419257758684,141.947157237488
11.82,192.87,7.8,14.2455558699842,0.99,2019-10-19 23:17:45,23.198321,36.759476,0.03,263.05,14.2419257758684,141.94711710326
11.82,192.87,7.8,14.2455558699842,0.99,2019-10-20 00:17:44,23.006029,36.909997,0.03,263.05,14.2419257758684,141.947157237488
11.82,192.87,7.8,14.2455558699842,0.99,2019-10-20 01:17:45,22.813738,37.060517,0.03,263.05,14.2419257758684,141.947157237488
11.82,199.91,7.21,14.2455558699842,1,2019-10-20 02:17:47,22.621447,37.211037,0.03,263.05,14.2419257758684,141.9470936924
11.82,186.33,8.82,14.0407808163885,0.66,2019-10-20 03:17:57,22.428869,37.361782,0.47,30.27,14.2419257758684,147.335883694177
11.82,186.33,8.82,13.1190799249346,0.66,2019-10-20 04:17:53,22.235484,37.485762,0.47,30.27,13.5249999380101,147.335539102308
11.82,191.73,3.87,13.6617461967631,0.88,2019-10-20 05:17:51,22.042100,37.609743,0.69,169.95,13.5249999380101,147.335883694177
11.82,191.73,3.87,14.2044124685916,0.88,2019-10-20 06:17:50,21.848715,37.733723,0.69,169.95,13.5249999380101,147.335749077567
11.82,191.73,3.87,14.2044124685916,0.88,2019-10-20 07:17:50,21.655331,37.857703,0.69,169.95,13.5249999380101,147.335673719371
11.82,188.21,5.51,13.8679118899128,0.71,2019-10-20 08:17:51,21.461946,37.981684,0.03,257.66,13.5249999380101,147.335749077567
11.82,188.21,5.51,13.531411311234,0.71,2019-10-20 09:17:54,21.268562,38.105664,0.03,257.66,13.5249999380101,147.335799329775
11.82,197.89,5.51,13.528901760861,0.71,2019-10-20 10:11:48,21.095023,38.216921,0.03,267.34,13.5249999380101,137.660072363898
11.82,207.72,6.2,14.301392272478,0.77,2019-10-20 11:11:43,20.914000,38.381870,0.03,267.34,14.3,137.659914789638
