'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
12.76,199.31,13.37,16.4894746729571,2.91,2019-11-18 17:22:41,33.601529,141.947875,1.11,314.21,17.2634668135395,72.7951338659034
12.76,199.31,13.37,16.4894746729571,2.91,2019-11-18 18:22:30,33.701417,142.270464,1.11,314.21,17.2634668135395,72.7952316669582
12.76,199.71,12.34,16.863660666165,3.76,2019-11-18 19:21:47,33.800521,142.590523,0.03,328.65,17.2634668135395,76.3487667721362
12.76,205.93,10.46,18.3848063111157,3.17,2019-11-18 20:21:55,33.886992,142.946558,0.51,285.85,18.467261946599,76.3485779005213
12.76,205.93,10.46,18.327970829799,3.17,2019-11-18 21:22:00,33.973464,143.302592,0.51,285.85,18.467261946599,76.3487667721362
12.76,201.65,10.9,18.1476913184312,3.58,2019-11-18 22:22:01,34.059935,143.658627,0.51,11.45,18.467261946599,76.3486148087119
12.76,284.32,11.25,17.7890019075325,2.98,2019-11-18 23:21:59,34.146407,144.014662,1.1,38.85,18.467261946599,76.3487298643249
12.76,284.32,11.25,17.6105920080017,2.98,2019-11-19 00:21:53,34.232878,144.370696,1.1,38.85,18.467261946599,76.3487404614731
12.76,206.43,11,17.790654197889,3.76,2019-11-19 01:01:56,34.290731,144.608899,0.51,13.19,18.467261946599,74.606773200354
12.76,279.73,11.99,18.0107879105644,3.07,2019-11-19 02:02:06,34.388454,144.963844,0.51,13.19,18.5073334693872,74.606773200354
12.76,279.73,11.99,18.0107879105644,3.07,2019-11-19 03:02:13,34.486177,145.318789,0.51,13.19,18.5073334693872,74.606773200354
12.76,259.84,10.99,18.0767494644966,3.47,2019-11-19 04:02:15,34.583900,145.673734,0.69,58.1,18.5073334693872,74.6065818411186
12.76,247.99,12.35,18.1427110184288,3.13,2019-11-19 05:02:14,34.681624,146.028678,0.69,58.1,18.5073334693872,74.606773200354
12.76,247.99,12.35,18.1427110184288,3.13,2019-11-19 06:02:09,34.779347,146.383623,0.69,58.1,18.5073334693872,74.6067906079892
12.76,250.33,11.06,17.6327480188185,3.41,2019-11-19 07:15:43,34.899502,146.820045,1.48,20.69,18.5073334693872,68.5631108034141
12.76,256.21,14.05,17.2033811412094,3.1,2019-11-19 08:15:56,35.035289,147.165877,1.96,20.87,18.8113586774557,68.5631671647726
12.76,245.42,13.75,17.1164277409557,3.3,2019-11-19 09:16:04,35.171076,147.511710,1.56,2.55,18.8113586774557,68.5631108034141
12.76,245.42,13.75,17.2529034267693,3.3,2019-11-19 10:16:07,35.306863,147.857542,1.56,2.55,18.8113586774557,68.5631108034141
12.76,254.32,14.86,17.3904816503075,3.02,2019-11-19 11:16:05,35.442650,148.203374,1.4,336.44,18.8113586774557,68.5631671647726
12.76,242.36,13.92,17.3005377124139,3.17,2019-11-19 12:15:58,35.578437,148.549207,1.78,347.58,18.8113586774557,68.5631327800254
12.76,236.27,13.92,17.0982283622379,3.17,2019-11-19 13:22:51,35.730344,148.936095,1.78,341.49,18.8113586774557,74.6507664531982
12.76,242.24,13.9,16.712082496038,2.49,2019-11-19 14:23:02,35.828798,149.294771,1.78,341.49,18.4,74.6506586796415
12.76,235.32,14.77,16.6084670008697,2.62,2019-11-19 15:23:08,35.927253,149.653448,1.96,14.78,18.4,74.6507664531982
12.76,235.32,14.77,16.5048515057014,2.62,2019-11-19 16:23:10,36.025707,150.012124,1.96,14.78,18.4,74.6508072289408
12.76,247.23,11.76,16.801573454653,2.2,2019-11-19 17:23:08,36.124161,150.370801,1.55,32.88,18.4,74.6506179035428
12.76,243.15,12.74,17.0570804952063,2.1,2019-11-19 18:23:02,36.222616,150.729477,2.75,59.78,18.4,74.6507652388355
12.76,238.89,12.74,16.9295198172467,2.1,2019-11-19 19:26:38,36.327245,151.110649,2.75,55.52,18.4,78.9077307760295
12.76,240.42,10.57,16.7559334525297,2.18,2019-11-19 20:26:50,36.399609,151.479755,2.75,55.52,18.3127594048442,78.9077307760295
12.76,240.06,10.92,17.5218977047734,2.05,2019-11-19 21:26:59,36.471973,151.848861,0.03,326.09,18.3127594048442,78.9075812931709
12.76,233.85,11.93,18.2416913110386,2.17,2019-11-19 22:27:05,36.544338,152.217967,0.51,283.29,18.3127594048442,78.9077307760295
12.76,224.92,11.93,17.4813567193844,4.64,2019-11-19 23:27:08,36.616702,152.587073,1.56,352.2,18.3127594048442,78.9077600823938
12.76,224.92,11.93,16.7671927737087,4.64,2019-11-20 00:27:08,36.689066,152.956180,1.56,352.2,18.3127594048442,78.9077307760295
12.76,224.92,11.93,16.7671927737087,4.64,2019-11-20 01:27:04,36.761430,153.325286,1.56,352.2,18.3127594048442,78.9077307760295
12.76,224,11.51,16.6206230240806,5.83,2019-11-20 02:26:57,36.833794,153.694392,2.02,24.46,18.3127594048442,78.9075812931709
12.76,224,11.51,16.4740532744526,5.83,2019-11-20 03:26:47,36.906159,154.063498,2.02,24.46,18.3127594048442,78.9078148411812
12.76,220.24,11.51,16.4486078685102,5.83,2019-11-20 04:04:44,36.952086,154.297759,2.02,20.7,18.3127594048442,82.6678698085875
12.76,216.96,11.87,16.495504501829,5.94,2019-11-20 05:04:49,37.000273,154.672251,1.48,6.58,18.1754284639955,82.6678698085875
12.76,216.96,11.87,16.7051774819388,5.94,2019-11-20 06:04:52,37.048460,155.046743,1.48,6.58,18.1754284639955,82.6680203127851
12.76,216.96,11.87,16.7051774819388,5.94,2019-11-20 07:04:53,37.096646,155.421235,1.48,6.58,18.1754284639955,82.6678698085875
12.76,215.51,13.44,16.9482075837705,5.79,2019-11-20 08:04:52,37.144833,155.795727,0.99,6.21,18.1754284639955,82.667889174353
12.76,215.51,13.44,17.1912376856023,5.79,2019-11-20 09:04:48,37.193020,156.170220,0.99,6.21,18.1754284639955,82.6678488750194
