'draft', 'windDir', 'ws', 'stwC', 'swh', 'dt',lat,lon, 'currSpeed', 'currDir','sovg', 'vslHeading'
11.82,164.43,10.77,0,0.1,2019-10-18 16:00:00,29.412717,32.609517,0.03,249.05,0,155.948101431417
11.82,175.11,9.5,14.1053632966587,0.12,2019-10-18 16:59:59,29.194064,32.707105,0.03,249.05,14.1,155.94814089145
11.82,174.25,9.5,14.1054681224386,0.12,2019-10-18 18:28:03,28.87315,32.8503333,0.03,248.19,14.1,156.808839616429
11.82,183.53,9.5,14.1044136048966,0.12,2019-10-18 18:57:35,28.765,32.8966667,0.03,257.47,14.1,147.528784178894
11.82,214.24,6.61,14.1032542615746,0.08,2019-10-18 19:57:34,28.560175,33.02701,0.03,257.47,14.1,147.528717207788
11.82,214.24,6.61,14.1032542615746,0.08,2019-10-18 20:57:34,28.355351,33.157353,0.03,257.47,14.1,147.529050853109
11.82,224.4,6.61,14.1019372746012,0.08,2019-10-18 21:27:58,28.2516667,33.2233333,0.03,267.63,14.1,137.366238146553
11.82,236.7,6.61,14.0990168072235,0.08,2019-10-18 22:02:32,28.1466667,33.32,0.03,279.93,14.1,125.073765959457
11.82,232.24,6.61,14.0979917292757,0.08,2019-10-18 22:25:07,28.0916667,33.3983333,0.03,275.47,14.1,129.53088389257
11.82,200.75,6.47,14.0992850658662,0.74,2019-10-18 23:25:05,27.931466,33.592459,0,230.47,14.1,129.53093519178
11.82,196.88,6.47,14.1,0.74,2019-10-19 00:11:14,27.8083333,33.7416667,0,226.6,14.1,133.396726797898
11.82,196.88,6.47,14.1,0.74,2019-10-19 01:11:12,27.637075,33.922788,0,226.6,14.1,133.396717720952
11.82,183.77,7.52,14.1,0.66,2019-10-19 02:02:45,27.49,34.0783333,0,216.92,14.1,143.076636206318
11.82,183.77,7.52,14.1,0.66,2019-10-19 03:02:41,27.295049,34.224831,0,216.92,14.1,143.076392026025
11.82,183.77,7.52,14.1,0.66,2019-10-19 04:02:38,27.100098,34.37133,0,216.92,14.1,143.076438708578
11.82,198.92,12.94,14.2116571815302,0.27,2019-10-19 05:02:37,26.905148,34.517828,0.47,129.31,14.1,143.076579856881
11.82,198.92,12.94,14.3233143630603,0.27,2019-10-19 06:02:38,26.710197,34.664326,0.47,129.31,14.1,143.076579856881
11.82,198.92,12.94,14.3233143630603,0.27,2019-10-19 07:02:41,26.515246,34.810824,0.47,129.31,14.1,143.076549316657
11.82,188.1,8.88,14.0037615265621,0.92,2019-10-19 07:53:37,26.35,34.935,0.47,27.79,14.1,149.820744476288
11.82,188.1,8.88,13.6842086900638,0.92,2019-10-19 08:53:33,26.142179,35.055854,0.47,27.79,14.1,149.820744476288
11.82,188.1,8.88,13.6842086900638,0.92,2019-10-19 09:53:30,25.934358,35.176708,0.47,27.79,14.1,149.820864285413
11.82,184.05,9.71,13.6842086900638,1.35,2019-10-19 10:53:29,25.726536,35.297562,0.47,27.79,14.1,149.820950501689
11.82,184.05,9.71,13.6842086900638,1.35,2019-10-19 11:53:29,25.518715,35.418415,0.47,27.79,14.1,149.820744476288
11.82,174.08,7.5,13.9869849377598,0.38,2019-10-19 12:53:30,25.310894,35.539269,0.47,122.57,14.1,149.820744476288
11.82,170.87,8.75,14.2897611854558,0.4,2019-10-19 13:53:33,25.103073,35.660123,0.47,122.57,14.1,149.820829564006
