,FOC_pred,FOC_act,stw,draft,windMperS
0,45.92977921880095,0,14.23,12.78,4.04
1,45.34066688954464,0,14.17,12.78,4.04
2,45.59307631589096,0,14.17,12.78,4.68
3,45.59307631589096,0,14.17,12.78,4.68
4,45.59307631589096,0,14.17,12.78,4.68
5,46.33244951277581,0,14.17,12.78,7.26
6,45.80155820116023,0,14.17,12.78,7.26
7,46.12,0,14.2,12.78,3.48
8,45.37,0,14.2,12.78,3.7
9,51.416014759238145,0,14.17,12.78,11.51
10,52.06297852977667,0,14.17,12.78,11.51
11,51.416014759238145,0,14.17,12.78,13.69
12,51.416014759238145,0,14.17,12.78,13.69
13,47.36,0,14.2,12.78,9.16
14,45.03546529501069,0,13.94,12.78,8.2
15,44.132250901914475,0,13.69,12.78,8.2
16,44.86461734646941,0,13.73,12.78,8.2
17,43.70018121474746,0,13.72,12.78,8.2
18,44.81176057966897,0,13.72,12.78,8.78
19,44.3338657384386,0,13.72,12.78,7.92
20,44.31457029214321,0,13.69,12.78,7.92
21,44.31457029214321,0,13.69,12.78,7.92
22,51.96098158674807,0,14.18,12.78,8.4
23,51.274019956408026,0,14.18,12.78,9.75
24,51.274019956408026,0,14.18,12.78,9.75
25,51.274019956408026,0,14.18,12.78,8.68
26,51.274019956408026,0,14.18,12.78,10.03
27,51.274019956408026,0,14.18,12.78,10.03
28,51.274019956408026,0,14.18,12.78,9.54
29,51.274019956408026,0,14.18,12.78,9.54
30,42.541901097091,0,13.69,12.78,10.55
31,42.31708117105917,0,13.73,12.78,10.27
32,42.31708117105917,0,13.73,12.78,10.27
33,50.79698470365785,0,14.22,12.78,11.79
34,50.33819901482129,0,14.18,12.78,11.52
35,50.33819901482129,0,14.18,12.78,11.52
36,50.33819901482129,0,14.18,12.78,11.52
37,47.064423881717815,0,13.21,12.78,10.88
38,47.064423881717815,0,13.21,12.78,10.88
39,47.064423881717815,0,13.21,12.78,10.88
40,43.823323145822975,0,13.69,12.78,7.43
41,43.823323145822975,0,13.69,12.78,7.43
42,43.823323145822975,0,13.69,12.78,7.43
43,43.68994969977623,0,13.73,12.78,7.76
44,43.68994969977623,0,13.73,12.78,7.76
45,43.68994969977623,0,13.73,12.78,7.76
46,43.68994969977623,0,13.73,12.78,7.76
