,FOC_pred,FOC_act,stw,draft,windMperS
0,133.47,0,20.8,12.46,5.83
1,133.39434699100724,0,20.78,12.46,5.83
2,133.3123295774341,0,20.78,12.46,5.6
3,133.14829475028785,0,20.78,12.46,4.11
4,131.41907892180578,0,20.37,12.46,3.61
5,132.99526862992815,0,20.78,12.46,5.97
6,132.99526862992815,0,20.78,12.46,5.97
7,132.9561001490883,0,20.79,12.46,5.97
8,133.30114610896317,0,20.79,12.46,2.91
9,133.3916507049507,0,20.79,12.46,2.91
10,127.93051616464932,0,19.83,12.46,6.14
11,126.87642616904868,0,19.71,12.46,7.53
12,127.81014032457827,0,19.79,12.46,7.53
13,127.63069322989315,0,19.77,12.46,7.53
14,128.38759038416214,0,19.84,12.46,7.72
15,128.39759038416213,0,19.84,12.46,6.33
16,133.46,0,20.9,12.46,6.49
17,133.46,0,20.9,12.46,6.49
18,133.47,0,20.9,12.46,6.98
19,133.2735503874428,0,20.77,12.46,5.85
20,133.2735503874428,0,20.77,12.46,5.85
21,131.9022167712816,0,20.3,12.46,10.24
22,131.9022167712816,0,20.3,12.46,10.24
23,133.63103380157605,0,20.65,12.46,9.32
24,133.63103380157605,0,20.65,12.46,10.44
25,133.63103380157605,0,20.65,12.46,8.49
26,133.43808738533465,0,20.77,12.46,6.97
27,134.03203805481223,0,20.77,12.46,8.42
28,136.45120507378567,0,20.77,12.46,8.11
29,136.45120507378567,0,20.77,12.46,8.11
30,134.07132087064755,0,20.78,12.46,8.78
31,134.07132087064755,0,20.78,12.46,8.78
32,134.07132087064755,0,20.78,12.46,8.78
33,133.18052572218159,0,20.77,12.46,6.06
34,133.18052572218159,0,20.77,12.46,6.06
35,132.56632840009178,0,20.77,12.46,5.87
36,132.56632840009178,0,20.77,12.46,6.28
