STARTING PORT,DESTINATION PORT,COUNT
DARDANELLES , BOSPHOROUS,8
BOSPHOROUS , DARDANELLES,7
BOSPHOROUS , TUAPSE,6
LIMASSOL , DARDANELLES,5
TUAPSE , BOSPHOROUS,4
DARDANELLES , LIMASSOL,4
ISTANBUL , BOSPHOROUS,2
HONG KONG , Mailiao,2
DARDANALLES , DARDANELLES,2
LOME , LAGOS,2
SKAW , SAN JUAN (PUE),2
 LAKE CHARLES , LAKE CHARLES,1
Lake Charles , SYDNEY (CAN),1
SYDNEY (CAN) , MONTREAL,1
TAMAN , BOSPHOROUS,1
 port arthur , LAKE CHARLES,1
Montreal , Rotterdam,1
Lake Charles ," Port Arthur, Texas, U.S.A.",1
Rotterdam , Antwerp,1
Antwerp , GIBRALTAR,1
GIBRALTAR , GENOA,1
SARROCH ," SARROCH, OPL",1
SARROCH , DARDANELLES,1
Tong Yong , SANDAKAN,1
Istanbul , BOSPHOROUS,1
Vlissingen , PRIMORSK,1
AMSTERDAM , LAGOS,1
ARATU , Salvador Anchorage N 5,1
DARTMOUTH (CAN) , AMSTERDAM,1
"BEAUMONT, FINA ANCH. ", BEAUMONT,1
NEW YORK , Beaumont,1
"NY, BUCKEYE TERM. ", AT ANCHOR AMBROSE ROAD,1
NEW YORK AMBROSE ROAD , BUCKEYE TERM. NY,1
DENMARK STRAIT , NEW YORK,1
UST LUGA , DENMARK STRAIT,1
AT SEA , AMSTERDAM,1
SINES , New York,1
GIBRALTAR , AT SEA,1
HUELVA , LAGOS,1
Rotterdam , Tallinn,1
Hammerfest ," MELKOYA, NORWAY",1
DUNKIRK ," Dunkirk, France",1
" Montreal, Canada ", Montreal,1
LAGOS , DENMARK STRAIT,1
 QUEBEC CANADA ," Motreal, Canada",1
Rouen Anchorage ," Rouen, France",1
LA PALLICE , ROUEN,1
RIGA , La Pallice,1
SKAW , RIGA,1
DUNKIRK , SKAW,1
SKAGEN , ANTWERP,1
COPENHAGEN , PRIMORSK,1
ALGECIRAS , COPENHAGEN,1
YANBU , SUEZ,1
AT SEA , Yanbu,1
Suez Canal , Suez Exit ,1
KALI LIMENES , Suez Canal ,1
DARDANELLES , Tutuncifilik,1
Suez Canal , Suez Exit ,1
SUEZ ANCHOR , SUEZ CANAL TRANSIT,1
DARDANELLES , PORT SAID,1
IZMIT , BOSPHOROUS,1
ROUEN , Primorsk,1
Primorsk , Muuga Harbour,1
Wilhelmshaven Anchorage , Wilhelmshaven Disch Berth,1
Flushing ," Mongstad, Norway",1
"Port Arthur, Texas, U.S.A. ", Montreal,1
Panama Canal Transit , Balboa,1
"Martinez, Ca., USA "," Anch. San Francisco, Ca., USA",1
"Anch. San Francisco, Ca., USA "," San Francisco, Ca., USA",1
LOS ANGELES , CHERRY POINT,1
"New York, USA ", COME BY CHANCE,1
"Mongstad, Norway "," New York, USA",1
GARYVILLE , Flushing,1
Ventspils , Ventspils OPL Anchorage,1
Houston , GARYVILLE,1
Transitting St. Laurence River , Montreal,1
In Transit to Montreal , Montreal Disch Port,1
Rotterdam , Montreal,1
Rotterdam Anchorage , Rotterdam Loading Port,1
Antwerp Disch Port , Antwerp Canal Transit,1
Antwerp , Antwerp Drift to Inner Anch ,1
At STS area in Lagos , At STS area Lagos,1
KLAIPEDA , SKAGEN,1
Klaipeda anchorage N. 1 , KLAIPEDA BN 3,1
WALVIS BAY , MAPUTO,1
Walvis Bay , Port Elizabeth,1
Lome , Walvis Bay,1
Tutuncifilik , DARDANELLES,1
DARDANALLES , Tutuncifilik,1
AT SEA , Dardanelles ,1
BEIRA , NACALA,1
MAPUTO , BEIRA,1
ANTWERP , FAWLEY,1
SITRA , FUJAIRAH,1
SKIKDA , ANTWERP,1
LOME , Skikda,1
LAS PALMAS , LOME,1
Suez Canal , Suez Exit ,1
SUEZ , SUES CANAL,1
YANBU , Suez Canal ,1
YANBU , DRIFTING,1
Fujairah , Sitra,1
Cape Town , AT SEA,1
DARDANELLES , DARDANALLES,1
BOSPHOROUS , BOURGAS,1
GALVESTON , OFF GALVESTON,1
SAN JUAN (PUE) , AT SEA,1
PALDISKI , GREAT BELT,1
Ust Luga , PALDISKI,1
LAVERA , SKIKDA,1
DARDANELLES , Dardanelles ,1
Bosporus , S bound ,1
BOSPHOROUS , Bosporus,1
PERAMA , Rijeka,1
LAS PALMAS OPL , Las Palmas,1
Las Palmas , LAS PALMAS OPL,1
OPL KIZOMBA , Kizomba A FPSO,1
POINTE NOIRE (CONGO) , Kizomba A FPSO,1
DURBAN , POINTE NOIRE (CONGO),1
Suez Canal , Suez Exit ,1
Rijeka , VATIKA BAY,1
DARDANELLES , Suez Canal ,1
PERAEUS , DARDANELLES,1
DARDANELLES , BOZCAADA,1
ANTWERP , LAGOS,1
MONTREAL , NEW YORK,1
QUEBEC , MONTREAL,1
MONTREAL , COME BY CHANCE,1
NEW ORLEANS , MONTREAL,1
NEW YORK , NEW ORLEANS,1
HUELVA , NEW YORK,1
TENERIFE , HUELVA,1
