"t_stamp","gps speed","speed log","course","vessel status","SHAFT RPM","Shaft Power","Shaft Torque","Scav Air","Main Engine FO Press","main engine foc","aux engines foc","aux boilers foc","ME FM flow t h","ME FM temp","ME FM density","AE IN FM flow t h","AE IN FM temp","AE IN FM density","AE OUT FM flow t h","AE OUT FM temp","AE OUT FM density","AB FM flow t h","AB FM temp","AB FM density","latitude","longitude"
"2019-12-01 00:25:00.000","13.4","12.011538358835073","90.43666763305664","Under way using engines","81.89004567464193","5760.139453125","669.2795756022135","1.2874791496678402","8.193585330042346","1.3074236532737469","0.058014750480651855","0.0","1.3848148822784423","79.51086282730103","934.4599369594029","1.4422714710235596","130.29382451375326","906.529182434082","0.0","0.0","0.0","0.0","38.32391437731291","847.2941970825195","40.083657193554565","-36.877620754323814"
"2019-12-01 00:30:00.000","13.489285707473755","12.222222257543493","91.27666702270508","Under way using engines","81.65867029825846","5855.492903645833","678.832948811849","1.295240044593811","8.238382593790691","1.338890396631681","0.058014750480651855","0.0","1.4011386108398438","79.71138085259332","934.3847412109375","1.4422714710235596","130.37775802612305","906.47236328125","0.0","0.0","0.0","0.0","37.78141893659319","848.2362915039063","40.08338706263412","-36.85472340515205"
"2019-12-01 00:35:00.000","13.624137944188611","12.33846143575815","93.21034398572198","Under way using engines","81.97266438802083","5792.353173828125","669.5927368164063","1.259801771905687","8.241759745279948","1.3149963383163725","0.058014750480651855","0.0","1.3715754586916704","79.52904196346508","934.4031393868582","1.4422714710235596","130.36585998535156","906.4696141293174","0.0","0.0","0.0","0.0","37.91111956144634","847.7384106445312","40.08311693171366","-36.83182605598029"
"2019-12-01 00:40:00.000","13.632142850330897","12.239999923706055","92.54666646321614","Under way using engines","81.91322657267253","5848.270003255208","676.422920735677","1.2895094264637341","8.166400623321532","1.3228962421417236","0.058014750480651855","0.0","1.3777387554828937","79.65938186645508","934.2489389272837","1.4422714710235596","130.37509155273438","906.4280748869244","0.0","0.0","0.0","0.0","38.51240782304244","846.9686245388455","40.08284680079321","-36.808928706808516"
"2019-12-01 00:45:00.000","13.673684320951763","12.357692278348482","91.77000020345052","Under way using engines","81.58978551228842","5766.80244140625","669.8868530273437","1.231372594833374","8.2038361231486","1.318968467090441","0.058014750480651855","0.0","1.3769832175710928","79.37138366699219","934.5455819589121","1.4422714710235596","130.4870719909668","906.3708849455181","0.0","0.0","0.0","0.0","38.777565002441406","846.6228669819079","40.082576669872765","-36.78603135763675"
"2019-12-01 00:50:00.000","13.66875010728836","12.482142789023262","91.70666681925455","Under way using engines","81.27557093302408","5752.4126953125","671.300282796224","1.261937748302113","8.168305015563964","1.3088834541184562","0.058014750480651855","0.0","1.3710437033857619","79.0299087524414","934.7498501864346","1.4422714710235596","130.44655023033317","906.3407897949219","0.0","0.0","0.0","0.0","38.1663030896868","847.276783818784","40.08230653895231","-36.76313400846499"
"2019-12-01 00:55:00.000","13.547058778650621","12.468181783502752","90.96521725861922","Under way using engines","81.38274383544922","5605.421000162761","652.2342732747396","1.221356503168742","8.30396494658097","1.2981146628206426","0.058014750480651855","0.0","1.3517953058083851","78.84568328857422","934.4018533640894","1.4422714710235596","130.44009399414062","906.3136672973633","0.0","0.0","0.0","0.0","38.006390204796425","847.638916015625","40.08203640803186","-36.74023665929322"
"2019-12-01 01:00:00.000","13.290909160267223","12.233333333333333","90.25999959309895","Under way using engines","81.97134653727214","5852.26416015625","676.1414998372396","1.2564103943961007","8.05114848273141","1.318399659224919","0.058014750480651855","0.0","1.3778907899503354","78.8156379250919","934.7321500709588","1.4422714710235596","130.3265664236886","906.3476359049479","0.0","0.0","0.0","0.0","37.99780237674713","847.4865843890465","40.081766277111406","-36.71733931012145"
"2019-12-01 01:05:00.000","13.259999847412109","12.315625011920929","88.33999938964844","Under way using engines","81.86422983805339","5789.32958984375","670.862294514974","1.2330540240066121","8.16028102238973","1.3388055324554444","0.058014750480651855","0.0","1.396031545965295","79.20258331298828","934.1753191266741","1.4422714710235596","130.28702545166016","906.413818359375","0.0","0.0","0.0","0.0","37.543920426141646","847.8225456184441","40.08149614619096","-36.695838928222656"
"2019-12-01 01:10:00.000","13.509999847412109","12.347169786129358","91.87272644042969","Under way using engines","82.10487424410306","5823.3264723557695","673.5307851938101","1.1990539232889812","8.316614548365274","1.3402028799057006","0.058014750480651855","0.0","1.3996351531573705","79.03012466430664","934.5354502437679","1.4422714710235596","130.29393768310547","906.3717622023362","0.0","0.0","0.0","0.0","37.68136580785116","847.5488064922864","40.0812260152705","-36.67917251586914"
