STARTING PORT,DESTINATION PORT,COUNT
SINGAPORE , SIKKA,5
GIBRALTAR , NEW YORK,3
PORT SAID , Suez Bay,2
SINGAPORE , SINGAPORE EOPL,2
Suez Canal , Suez Exit ,2
Qinzhou , SINGAPORE,2
PORT SAID , GIBRALTAR,2
SIKKA , SUEZ,2
Suez Canal , Suez Exit ,1
Singapore , Vadinar,1
Yanbu , Singapore,1
Yanbu , AT SEA,1
Suez Canal Passing , Suez Canal ,1
AT SEA , Port Said ,1
Antwerp , at sea,1
Sikka SPM , Fujairah,1
Jeddah , Suez Canal ,1
Suez Canal , Suez Exit ,1
Singapore East(Horsborough) E , Nipa Anchorage,1
SIKKA , VIZAG,1
Fujairah , Karachi,1
Karachi , SIKKA,1
SUEZ , OPL PORT SAID,1
"HALDIA,ANCHORAGE "," HALDIA,Pilotage",1
"HALDIA,BERTH ", HALDIA,1
FUJAIRAH , fujairah opl,1
Bandar Mahshahr , Fujairah,1
Fujairah , SINGAPORE,1
KAOHSIUNG , SINGAPORE,1
Singapore East(Horsborough) E , FUJAIRAH,1
FUJAIRAH , MINA AL AHMADI,1
Pengerang , Singapore West(The Brothers) ,1
Singapore East(Horsborough) E , Singapore,1
Port Said , Mersin,1
FUJAIRAH , ADEN,1
Hamriyah Oil Terminal , Port Said,1
ADEN , FUJAIRAH,1
Suez Canal , Suez Exit ,1
Gibraltar , Rotterdam,1
Rotterdam , Milford Haven,1
Milford Haven , LOME,1
LOME , ANTWERP,1
ANTWERP , Everingen,1
Antwerp , LOME,1
Mohammedia ," Dunkirk, France",1
ROTTERDAM , Mohammedia,1
Mohammedia , Antwerp,1
Antwerp , AMSTERDAM,1
AMSTERDAM , LAS PALMAS,1
LAS PALMAS , Sao Luiz De Maranhao,1
Sao Luiz De Maranhao , Pajaritos,1
Pajaritos , Pozos Colorados,1
Pozos Colorados ," Cartagena, Colombia",1
"Cartagena, Colombia ", HOUSTON,1
HOUSTON , Jose Terminal,1
Jose Platform , Taec ,1
Pajaritos , Corpus Christi,1
Pajaritos , Pasadena,1
Pasadena , TRAMANDAI,1
TRAMANDAI , Fos,1
PORT SAID , Suez Canal ,1
JEBEL ALI , FUJAIRAH,1
Pengerang , HONG KONG,1
KALAMATA , LIMASSOL,1
Sikka , SINGAPORE,1
AMSTERDAM , PORT SAID,1
SUEZ , Suez Canal ,1
New York , CORPUS CHRISTI,1
CORPUS CHRISTI , RIO GRANDE,1
RIO GRANDE , RECALADA,1
PORT ELIZABETH , DJIBOUTI,1
Suez Canal , Suez Exit ,1
ROTTERDAM , CANVEY ISLAND,1
CANVEY ISLAND , HUELVA,1
HUELVA , SUEZ,1
AT SEA , KASHIMA,1
KAWASAKI , Yangshan Deep Water Port,1
SUEZ , MALTA,1
MINA SAQR , RAS TANURA,1
Fujairah , Suez Canal ,1
RAS TANURA , FUJAIRAH,1
Drifting Area , Sikka,1
CANVEY ISLAND , AMSTERDAM,1
AMSTERDAM , Suez,1
Jeddah , YANBU,1
YANBU , JEDDAH,1
JEDDAH , FUJAIRAH,1
FUJAIRAH , SIKKA,1
SIKKA , MUSCAT,1
Sohar Port , KARACHI,1
DRIFTING , SIKKA,1
SIKKA , JEBEL ALI,1
SIKKA , Suez Canal ,1
Mombasa , SIKKA,1
Aliaga , IZMIR,1
IZMIR , ALIAGA,1
Singapore , Merak,1
Merak , Qinzhou,1
SINGAPORE , Balongan Terminal,1
Vadinar , Singapore,1
Singapore , Pengerang,1
Tanjung Langsat , SINGAPORE,1
OPL Sitra , Jubail,1
Jubail , Ras Tanura,1
Ras Tanura , FUJAIRAH,1
BATANGAS , MAILIAO,1
Quingdao , QINHUANGDAO,1
SHANHAIGUAN , Quingdao,1
Kaohsiung , LIGHTERING AREA,1
VADINAR , JEBEL ALI,1
DUBAI , JEBEL ALI,1
JEBEL ALI , KARACHI,1
KARACHI , VADINAR,1
VADINAR , RICHARDS BAY,1
WALVIS BAY , LUANDA,1
Lome , AT SEA,1
