stw,draft,foc,ws,wd,swh,vslHeading,dt,lat,lon
13.2,11.705,29.99,11.27,164.0,0.8,121.0,2019-10-04 00:00:00,38.342033,121.36383300000001
13.13,11.705,31.0,10.29,170.39999999999995,0.8,119.0,2019-10-04 00:01:00,38.340317,121.367667
13.06,11.705,31.0,10.29,169.39999999999995,0.8,119.0,2019-10-04 00:02:00,38.338633,121.3715
12.95,11.705,28.69,9.16,155.10000000000005,0.8,119.0,2019-10-04 00:03:00,38.337016999999996,121.37533300000001
12.93,11.705,27.85,8.95,176.0,0.8,120.0,2019-10-04 00:04:00,38.335316999999996,121.379167
12.95,11.705,27.85,7.36,190.2,0.8,117.0,2019-10-04 00:05:00,38.333667,121.382833
12.92,11.705,28.69,10.49,173.0,0.8,118.0,2019-10-04 00:06:00,38.332083000000004,121.38683300000001
13.06,11.705,28.64,8.69,164.2,0.8,118.0,2019-10-04 00:07:00,38.3304,121.390667
13.25,11.705,28.64,8.85,173.39999999999995,0.8,120.0,2019-10-04 00:08:00,38.328666999999996,121.3945
13.3,11.705,30.33,10.96,159.39999999999995,0.8,122.0,2019-10-04 00:09:00,38.326966999999996,121.3985
13.18,11.705,31.0,9.26,172.0,0.8,121.0,2019-10-04 00:10:00,38.325133,121.40216699999999
13.14,11.705,31.0,10.6,148.2,0.8,123.0,2019-10-04 00:11:00,38.323233,121.406
13.37,11.705,31.0,8.18,173.3,0.8,123.0,2019-10-04 00:12:00,38.321283,121.409833
13.27,11.705,31.0,8.39,152.10000000000005,0.8,123.0,2019-10-04 00:13:00,38.319333,121.4135
13.42,11.705,27.84,5.2,166.10000000000005,0.8,122.0,2019-10-04 00:14:00,38.317383,121.41733300000001
13.52,11.705,31.0,10.11,162.60000000000005,0.8,122.0,2019-10-04 00:15:00,38.315467,121.421333
13.49,11.705,30.0,10.29,176.3,0.8,122.0,2019-10-04 00:16:00,38.313533,121.425
13.62,11.705,31.0,8.28,131.6,0.8,122.0,2019-10-04 00:17:00,38.311583,121.42883300000001
13.54,11.705,30.0,6.07,159.39999999999995,0.8,123.0,2019-10-04 00:18:00,38.3096,121.432667
13.62,11.705,29.0,9.98,170.2,0.8,122.0,2019-10-04 00:19:00,38.307617,121.43666699999999
13.61,11.705,31.0,9.57,176.8,0.8,123.0,2019-10-04 00:20:00,38.305633,121.4405
13.57,11.705,33.46,12.09,165.10000000000005,0.8,120.0,2019-10-04 00:21:00,38.303667,121.44433300000001
13.51,11.705,27.74,5.97,138.3,0.8,121.0,2019-10-04 00:22:00,38.301783,121.448167
13.49,11.705,30.33,10.65,163.10000000000005,0.8,122.0,2019-10-04 00:23:00,38.2998,121.45200000000001
13.49,11.705,30.33,10.65,163.10000000000005,0.8,122.0,2019-10-04 00:23:03,38.2998,121.45200000000001
13.52,11.705,30.0,10.6,153.89999999999995,0.8,123.0,2019-10-04 00:24:00,38.297783,121.45583300000001
13.52,11.705,30.0,10.6,153.89999999999995,0.8,123.0,2019-10-04 00:24:31,38.297783,121.45583300000001
