STARTING PORT,DESTINATION PORT,COUNT
ANTALYA , AT SEA,1
GIBRALTAR ," Venice, Italy",1
ARZEW , GIBRALTAR,1
Malta (Grand Harbour) , Arzew,1
BOSPHOROUS ," ISTANBUL,TURKEY INBOUND",1
VENICE , EL DEKHEILA,1
PRIOLO , VENICE,1
Zawia , TARRAGONA,1
Gibraltar , Dakar,1
Dardanelles , S bound ,1
Izmit , BOSPHOROUS,1
ASHKELON , DARDANELLES,1
AT SEA , Algeciras,1
Falconara , Koper,1
Algeciras , ASHKELON,1
ELEUSIS , ELEUSIS BAY,1
Aliaga , AT SEA,1
Mersin , Haifa,1
Mersin , LIMASSOL,1
ZAHRANI , CHEKAA,1
Port Said , Beirut,1
Ashkelon , LIMASSOL,1
Koper , Durres,1
Santa Panagia , ALGIERS,1
LAS PALMAS , AT SEA,1
AT SEA , LAS PALMAS,1
Koper ," Augusta, (Sicily), Italy",1
Agioi Theodoroi , Koper,1
Lavera , PERAMA,1
Zawia , Lavera,1
Vassiliko Bay , Misurata,1
AT SEA , Malta (Grand Harbour),1
Santa Panagia , Arzew,1
AT SEA , Santa Panagia,1
"Alexandria, Egypt ", EL DEKHEILA,1
MALTA , MALTA   OPL,1
"BOZCAADA,TURKEY ", DARDANELLES,1
Gibraltar , HUELVA,1
CARTAGENA , ROTTERDAM,1
BARCELONA , CARTAGENA,1
westhinder  , ANTWERP,1
Malta (Grand Harbour) , ANTWERP,1
AMSTERDAM , ASHKELON,1
DUNKIRK , AMSTERDAM,1
HUELVA , DUNKIRK,1
HUELVA OPL , HUELVA,1
ANTWERP , GIBRALTAR,1
ANTWERP , WANDELAAR ANCHORAGE,1
DARDANELLES , LE HAVRE,1
CHIOS , DARDANELLES,1
DARDANELLES , CANAKKALE,1
BOZCA ADA , DARDANELLES,1
LAVERA , LAVERA',1
Ceuta , GIBRALTAR,1
ROTTERDAM , Ceuta,1
AMSTERDAM , ROTTERDAM,1
Rotterdam Anchorage , ROTTERDAM,1
"Cartagena, Spain ", TARRAGONA,1
LIMASSOL , OFF LIMASSOL,1
INBOUND ISTANBUL , BOSPHOROUS,1
TUAPSE , DRIFTING OFF TUAPSE,1
OPL  ISTANBUL , BOSPHOROUS,1
ASHDOD , MERSIN,1
ASHDOD , DRIFTING AREA,1
TUAPSE , OFF TUAPSEDRIFTING AREA,1
MARMARA DRIFTNG , BOSPHOROUS,1
