LATD,LOND,VESSEL_CODE,TELEGRAM_DATE,PORT
128,34,480,2009-06-24 00:12:00,BUSAN
103,3,480,2009-07-01 00:30:00,KUANTAN
103,NULL,480,2009-07-02 17:30:00,KUANTAN
103,NULL,480,2009-07-03 08:30:00,PASIR GUDANG
103,NULL,480,2009-07-07 15:48:00,SINGAPORE
105,5,480,2009-07-09 19:00:00,PANJANG
105,NULL,480,2009-07-11 18:12:00,PANJANG
32,29,480,2009-07-28 20:18:00,SUEZ
32,29,480,2009-07-29 22:00:00,SUEZ
5,36,480,2009-08-04 16:30:00,Gibraltar
5,36,480,2009-08-06 00:30:00,Gibraltar
4,51,480,2009-08-10 11:12:00,Rotterdam
4,51,480,2009-08-15 07:30:00,Rotterdam
21,55,480,2009-08-23 00:30:00,KLAIPEDA
21,55,480,2009-08-28 13:00:00,KLAIPEDA
10,57,480,2009-08-30 09:00:00,SKAGEN
10,57,480,2009-08-30 14:30:00,SKAGEN
4,52,480,2009-09-01 00:30:00,AMSTERDAM
4,52,480,2009-09-01 15:30:00,AMSTERDAM
3,6,480,2009-09-14 15:00:00,LAGOS
3,6,480,2009-10-10 21:30:00,LAGOS
5,36,480,2009-10-21 15:00:00,Gibraltar
5,36,480,2009-10-22 11:30:00,Gibraltar
0,0,480,2009-10-25 08:00:00,MALTA
0,0,480,2009-10-28 22:30:00,MALTA
12,32,480,2009-10-29 15:00:00,Zawia
12,32,480,2009-11-04 11:30:00,Zawia
15,37,480,2009-11-05 07:48:00,AUGUSTA
15,37,480,2009-11-07 12:48:00,AUGUSTA
26,40,480,2009-11-09 00:00:00,DARDANELLES
26,40,480,2009-11-09 13:00:00,DARDANELLES
29,41,480,2009-11-11 11:59:00,BOSPHOROUS
28,44,480,2009-11-11 19:48:00,CONSTANTZA
28,44,480,2009-11-14 00:42:00,CONSTANTZA
39,44,480,2009-11-15 09:18:00,TUAPSE
39,44,480,2009-11-16 14:24:00,TUAPSE
29,41,480,2009-11-17 12:00:00,BOSPHOROUS
29,41,480,2009-11-18 12:00:00,BOSPHOROUS
26,40,480,2009-11-19 10:30:00,DARDANELLES
26,40,480,2009-11-19 18:30:00,DARDANELLES
0,0,480,2009-11-21 15:00:00,MALTA
14,35,480,2009-11-25 22:06:00,MALTA
36,36,480,2009-11-29 01:30:00,ISKENDERUN
36,36,480,2009-12-01 13:00:00,ISKENDERUN
34,36,480,2009-12-01 18:30:00,MERSIN
34,36,480,2009-12-03 13:30:00,MERSIN
26,40,480,2009-12-05 09:24:00,DARDANELLES
26,40,480,2009-12-06 07:24:00,DARDANELLES
29,41,480,2009-12-06 13:00:00,BOSPHOROUS
29,41,480,2009-12-07 10:00:00,BOSPHOROUS
37,44,480,2009-12-10 10:24:00,NOVOROSSIYSK
37,44,480,2009-12-12 20:18:00,NOVOROSSIYSK
29,41,480,2009-12-14 13:00:00,BOSPHOROUS
29,41,480,2009-12-15 15:13:00,BOSPHOROUS
23,37,480,2009-12-19 11:42:00,Agioi Theodoroi
23,37,480,2009-12-21 17:42:00,Agioi Theodoroi
26,40,480,2009-12-22 00:00:00,DARDANELLES
26,40,480,2009-12-23 10:00:00,DARDANELLES
29,41,480,2009-12-23 15:00:00,BOSPHOROUS
29,41,480,2009-12-24 01:00:00,BOSPHOROUS
37,44,480,2009-12-25 06:00:00,NOVOROSSIYSK
37,44,480,2009-12-31 14:54:00,NOVOROSSIYSK
29,41,480,2010-01-01 00:00:00,BOSPHOROUS
29,41,480,2010-01-07 00:00:00,BOSPHOROUS
26,40,480,2010-01-08 00:00:00,DARDANELLES
26,40,480,2010-01-08 13:00:00,DARDANELLES
35,35,480,2010-01-11 06:00:00,BANIAS
35,35,480,2010-01-12 13:42:00,BANIAS
14,36,480,2010-01-15 17:00:00,MALTA
0,0,480,2010-02-02 20:48:00,MALTA
26,38,480,2010-02-04 22:06:00,ALIAGA
26,38,480,2010-02-07 16:36:00,ALIAGA
30,36,480,2010-02-09 02:36:00,ANTALYA
30,36,480,2010-02-16 15:00:00,ANTALYA
34,31,480,2010-02-17 15:54:00,ASHDOD
34,31,480,2010-02-21 17:18:00,ASHDOD
17,40,480,2010-02-24 15:48:00,BRINDISI
17,40,480,2010-02-25 22:30:00,BRINDISI
12,45,480,2010-02-27 00:30:00,PORTO MARGHERA
12,45,480,2010-02-28 11:54:00,PORTO MARGHERA
26,40,480,2010-03-04 00:00:00,DARDANELLES
26,40,480,2010-03-04 11:00:00,DARDANELLES
29,41,480,2010-03-04 21:00:00,BOSPHOROUS
29,41,480,2010-03-05 05:00:00,BOSPHOROUS
39,44,480,2010-03-06 13:00:00,TUAPSE
39,44,480,2010-03-11 08:06:00,TUAPSE
29,41,480,2010-03-11 23:00:00,BOSPHOROUS
29,41,480,2010-03-12 03:00:00,BOSPHOROUS
26,40,480,2010-03-14 00:00:00,DARDANELLES
26,40,480,2010-03-14 13:00:00,DARDANELLES
