TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM
2019-07-21 12:00:00;N;L;62;28;14;33;225;12.2;101.8;225;8;8.04;24;0;27.6;0
2019-07-22 12:00:00;N;L;61;45;11;16;225;12.2;101.1;225;8;7.29;24;0;29;0
2019-07-23 12:00:00;N;L;59;4;9;54;225;12.2;101.0;225;8;7.33;24;0;29;0
2019-07-24 12:00:00;N;L;57;54;6;29;225;12;101.1;225;8;8.04;24;0;28.5;0
2019-07-25 12:00:00;N;L;55;47;4;9;225;12;100.0;225;6;7.44;25;0;26;0
2019-07-26 12:00:00;N;L;53;50;1;0;225;12;100.9;225;6;9.13;24;0;24.4;0
2019-07-27 12:00:00;N;L;50;19;1;39;225;12;101.1;202;6;9.88;24;0;25.4;0
2019-07-28 12:00:00;N;L;48;31;4;18;225;12.2;101.0;202;6;9.88;24;0;25.9;0
2019-07-29 12:00:00;N;L;46;33;7;3;225;12.2;101.1;202;5;9.54;24;0;25.8;0
2019-07-30 12:00:00;N;L;43;41;11;18;225;12.2;104.4;180;4;11.5;24;0;25.63;0
2019-07-30 14:00:00;A;L;43;35;11;14;180;12.2;105.4;180;4;12.0;2;0;2.14;0
2019-07-31 12:00:00;N;L;41;56;14;19;225;12.2;105.0;180;4;10.95;21;0;25.67;0
2019-08-01 12:00:00;N;L;38;11;19;38;225;12.2;105.2;180;3;11.8;25;0;29.9;0
2019-08-02 12:00:00;N;L;36;5;23;25;225;12.2;105.1;180;4;11.21;24;0;29;0
2019-08-03 12:00:00;N;L;33;1;27;46;225;12;105.1;225;5;11.54;24;0;28;0
2019-08-04 06:00:00;A;L;31;43;29;17;225;12;105.1;0;3;12.0;18;0;21.45;0
2019-08-07 20:31:00;A;B;31;52;21;10;315;7.2;0.0;315;2;0.0;0;1;0;1.6
2019-08-08 19:00:00;A;B;31;52;29;2;45;7.2;0.0;225;5;4.25;2;0;0.83;1.6
2019-08-10 12:00:00;N;L;31;46;29;13;45;9;101.0;45;6;10.0;0;30;0.7;0
2019-08-11 12:00:00;N;L;33;15;27;36;45;9;101.0;0;7;8.42;24;0;26.8;0
2019-08-12 12:00:00;N;L;35;49;23;58;0;9;104.3;0;5;10.13;24;0;26.5;0
2019-08-13 12:00:00;N;L;38;58;19;19;45;9;105.2;45;4;11.13;24;0;28.8;0
2019-08-14 12:00:00;N;L;40;0;16;41;45;9;105.1;135;4;11.87;23;0;27.6;0
2019-08-15 12:00:00;N;L;42;17;12;52;45;9;103.4;45;6;10.71;24;0;26.7;0
2019-08-15 15:00:00;A;L;43;47;11;9;45;9;96.0;45;6;10.0;3;0;3.3;0
2019-08-16 12:00:00;N;L;45;34;8;25;45;9;101.0;45;6;11.85;19;30;21.3;0
2019-08-17 12:00:00;N;L;47;59;4;28;45;9;101.4;135;6;10.21;24;0;26.2;0
2019-08-18 12:00:00;N;L;50;46;1;3;45;9;101.4;135;6;10.33;24;0;26.2;0
2019-08-19 12:00:00;N;L;53;16;1;9;45;9;105.0;135;6;10.83;24;0;29;0
2019-08-20 12:00:00;N;L;56;26;5;29;45;9;105.3;225;4;13.33;24;0;28.5;0
2019-08-21 12:00:00;N;L;59;9;9;33;45;9;104.6;225;5;12.0;24;0;28.4;0
2019-08-22 12:00:00;N;L;60;20;13;39;337;9;105.0;225;5;11.35;23;0;27.3;0
2019-08-23 12:00:00;N;L;60;56;17;21;225;9;105.3;225;5;11.54;24;0;28;0
2019-08-24 12:00:00;N;L;39;43;22;58;315;9;105.3;180;4;12.08;24;0;28;0
2019-08-25 08:30:00;A;L;56;17;25;35;135;9;0.0;135;3;11.41;20;30;23.9;0
2019-08-28 12:00:00;N;B;55;20;26;18;225;7.2;89.2;45;3;10.88;16;0;12.03;1.6
2019-08-29 12:00:00;A;B;50;23;26;52;225;7.2;86.4;270;2;10.4;25;0;18.1;1.6
2019-09-01 12:00:00;N;L;54;10;26;41;90;12.1;97.2;45;3;10.0;20;0;18.24;0
2019-09-02 07:30:00;A;L;56;19;25;36;0;12.1;96.9;180;3;9.73;18;30;16.87;0
2019-09-03 12:00:00;N;L;58;49;23;45;0;12.1;102.6;45;4;10.74;13;30;14.62;0
2019-09-04 12:00:00;N;L;60;7;20;8;202;12.1;104.3;225;6;10.42;24;0;27.73;0
2019-09-05 12:00:00;N;L;60;34;16;21;157;12.1;102.1;225;7;8.83;24;0;24;0
2019-09-06 12:00:00;N;L;60;30;13;24;202;12.1;95.3;225;7;6.88;24;0;24.22;0
2019-09-07 12:00:00;N;L;60;25;10;3;202;12.1;95.4;225;7;8.0;24;0;23.8;0
2019-09-08 12:00:00;N;L;58;54;7;19;225;12.1;95.9;225;7;7.71;24;0;24;0
2019-09-09 12:00:00;N;L;56;15;5;14;225;12.1;105.2;225;7;8.46;24;0;26;0
2019-09-10 12:00:00;N;L;54;28;2;4;225;12.1;101.6;225;7;8.44;25;0;26.45;0
2019-09-11 12:00:00;N;L;51;23;0;50;225;12.1;103.8;225;5;9.08;24;0;25.3;0
2019-09-12 12:00:00;N;L;48;8;4;54;135;12.1;109.2;135;5;11.92;24;0;29.5;0
2019-09-13 12:00:00;N;L;46;38;6;50;0;12.1;110.0;135;5;10.83;18;0;23.24;0
2019-09-14 12:00:00;N;L;44;55;9;21;225;12.1;102.3;135;5;11.76;21;0;27.38;0
2019-09-14 21:00:00;A;L;43;27;11;14;135;12.1;110.9;135;5;13.0;9;0;11.25;0
2019-09-15 12:00:00;N;L;42;48;13;1;0;12.1;110.0;135;5;11.56;12;12;16.26;0
