001;V1.19;9/7/2019 12:03:43 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
9/7/2019 12:03:43 AM;0.000666666666666667;0.000333333333333333;0.0454666666666665;2918.50537502774;N;9448.32131465036;W;975.908542871475;4545024.10818771;2679105.88394677;503171.847772285;90.6168168783188;629324.048332838;350084.84459579;693655.614648874;53.0098847945237;136007.735426288;107329.840433606;292724.337312788;0;-0.65739375;0;;35.9889807162535;;;
9/7/2019 12:08:43 AM;0.111666666666667;0.0558333333333333;0.0846;2918.50499021135;N;9448.31758409345;W;975.35681784153;4545024.10818771;2679187.21055026;503176.850672285;101.480639576912;629324.048332838;350093.306115532;693660.617548874;52.1888262795847;136012.120060465;107329.840433606;292729.340229454;0;-0.887520833333333;0;;35.9889807162535;;;
9/7/2019 12:13:43 AM;0.00533333333333333;0.00266666666666667;0.0341666666666666;2918.50448588888;N;9448.31548066662;W;975.908414125443;4545024.10818771;2679268.58258145;503181.853505618;90.1327550411224;629324.048332838;350100.821440291;693665.620398874;6.94641222288916;136014.582692352;107329.840433606;292730.007279454;0;-0.747844897959183;0;;35.9889807162535;;;
9/7/2019 12:18:43 AM;0.0173333333333333;0.00866666666666666;0.119133333333333;2918.50530188889;N;9448.31555283014;W;976.34975194931;4545024.10818771;2679349.99224018;503186.856405618;83.363950252533;629324.048332838;350107.772431944;693670.623298874;0;136014.582692352;107329.840433606;292730.007279454;0;-0.64796875;0;;35.9889807162535;;;
9/7/2019 12:23:43 AM;0.0363333333333333;0.0181666666666666;0.143233333333333;2918.50669844445;N;9448.31365761956;W;975.798064470291;4545024.10818771;2679431.35482184;503191.859238951;84.2180603742599;629324.048332838;350114.794587253;693675.626115541;0;136014.582692352;107329.840433606;292730.007279454;0;-0.622835416666667;0;;35.9889807162535;;;
9/7/2019 12:28:43 AM;0.032;0.016;0.0933333333333331;2918.50581431742;N;9448.31601875692;W;976.018570661545;4545024.10818771;2679512.73713949;503196.862155618;87.9890888929367;629324.048332838;350122.131279043;693680.629048875;0;136014.582692352;107329.840433606;292730.007279454;0;-0.672444897959184;0;;35.9889807162535;;;
9/7/2019 12:33:43 AM;0;0;0.0773;2918.50351633335;N;9448.31378233335;W;975.577642321587;4545024.10818771;2679594.08269475;503201.865088951;99.6597504615784;629324.048332838;350130.441114038;693685.631965542;0;136014.582692352;107329.840433606;292730.007279454;0;-0.68566875;0;;35.9889807162535;;;
9/7/2019 12:38:43 AM;0.028;0.014;0.0404666666666666;2918.505054;N;9448.31403699995;W;974.949131981801;4545024.10818771;2679674.02229656;503206.784688951;118.005744077392;629324.048332838;350140.116808288;693690.551565542;0;136014.582692352;107329.840433606;292730.007279454;0;-0.669175;0;;35.9889807162535;;;
9/7/2019 12:43:43 AM;0.0623333333333333;0.0311666666666667;0.0381666666666666;2918.50527833334;N;9448.31682033328;W;975.57744204998;4545024.10818771;2679755.3664875;503211.787522285;113.984772562981;629324.048332838;350149.620898163;693695.554398876;0;136014.582692352;107329.840433606;292730.007279454;0;-0.562422448979592;0;;35.9889807162535;;;
9/7/2019 12:48:43 AM;0.0730000000000001;0.0365000000000001;0.0224333333333332;2918.504683;N;9448.31572300001;W;976.018787026405;4545024.10818771;2679836.7461096;503216.790272285;114.877274036407;629324.048332838;350159.199260406;693700.557148876;0;136014.582692352;107329.840433606;292730.007279454;0;-0.597702083333333;0;;35.9889807162535;;;
