STARTING PORT,DESTINATION PORT,COUNT
BOSPHOROUS , DARDANELLES,18
DARDANELLES , BOSPHOROUS,14
Bosporus , S bound ,6
BOSPHOROUS , TUAPSE,6
Khor al Zubair , FUJAIRAH,6
BOSPHOROUS , NOVOROSSIYSK,5
NOVOROSSIYSK , BOSPHOROUS,5
TUAPSE , BOSPHOROUS,5
JUBAIL , Khor al Zubair,4
BOURGAS , BOSPHOROUS,3
Tuapse , Bosporus ,3
Bosporus , N bound ,3
BOSPHOROUS , ISTANBUL,3
FUJAIRAH , Khor al Zubair,3
Dardanelles , N bound ,3
FUJAIRAH , SOHAR,3
TRIPOLI , DARDANELLES,2
JUBAIL , AL JUBAIL,2
Bosporus , N bound ,2
DARDANELLES , Suez Canal ,2
SOHAR , Khor al Zubair,2
Adrift Off Marmara , BOSPHOROUS,2
ANTWERP , MURMANSK,2
Khor al Zubair , Ras Laffan,2
GIBRALTAR , AMSTERDAM,2
DARDANELLES , TUZLA,2
Midia , BOSPHOROUS,2
MINA AL AHMADI , JUBAIL,2
SOHAR , FUJAIRAH,2
Thames Europort , Thames ,2
PIRAEUS , DARDANELLES,2
Bosporus , N bound ,2
FUJAIRAH , JUBAIL,2
ISTANBUL , Bosporus ,2
Ras Laffan , Khor al Zubair,2
ROTTERDAM , ANTWERP,2
LA SKHIRRA , ZARZIS,2
Dardanelles , S bound ,2
VENTSPILS , SKAW,2
Khor al Zubair , SOHAR,2
DARDANELLES , Antwerp,2
FUJAIRAH , JEBEL ALI,2
KHOR AL JUBAIR , Khor al Zubair,1
GIBRALTAR , LOME,1
KUWAIT , Khor al Zubair,1
Mesaieed , SOHAR,1
SUEZ , GIBRALTAR,1
Khor al Zubair , SITRA,1
FUJAIRAH , Ras Laffan,1
KHOR AL ZUBAIR STS , Khor al Zubair,1
MINA AL AHMADI ," MINA AL AHMADI,KUWAIT",1
OPL KUWAIT ," MINA AL AHMADI, KUWAIT",1
Jubail , FUJAIRAH,1
FUJAIRAH , VADINAR,1
JEBEL ALI , Khor al Zubair,1
RAS TANURA , Ras Laffan,1
Ras Laffan , FUJAIRAH,1
LAVAN ISLAND , Fujairah,1
AT SEA , FUJAIRAH,1
Khor al Zubair , LAVAN ISLAND,1
FUJAIRAH , KUWAIT,1
KHOR AL ZUUBAIR , Khor al Zubair,1
LAVAN ISLAND , FUJAIRAH,1
Khor al Zubair , Khor al Zubair Fairaway,1
SITRA , Khor al Zubair,1
RAS LAFFAN OPL , Ras Laffan,1
TONGYEONG , SINGAPORE,1
SUEZ , Suez Canal ,1
BOSPHOROUS , OFF ISTANBUL,1
SETE , SARROCH,1
SARROCH , SETE,1
Porto Marghera , SARROCH,1
TARANTO , Porto Marghera,1
SARROCH , Porto Marghera,1
Bizerte , SARROCH,1
MALTA , Bizerte,1
BOSPHOROUS , BURGAS,1
BOSPHOROUS , BOSPHORUS,1
BOSPHOROUS ," Istanbul, Turkey",1
Porto Marghera , DARDANELLES,1
Sarroch , Porto Marghera,1
La Goulette , Sarroch,1
"Alexandria, Egypt ", Zarzis,1
DARDANELLES ," Alexandria, Egypt",1
ISTANBUL NORTH , BOSPHOROUS,1
TOBRUK , Zawia,1
MURMANSK , ANTWERP,1
DAKAR , Trinidad and Tobago,1
Trinidad and Tobago , Houston,1
ISTANBUL / OPL , BOSPHOROUS,1
BOSPHOROUS , ISTANBUL/OPL,1
DARDANELLES , Priolo,1
TUAPSE , Adrift Off Tuapse,1
DARDANELLES , Bozcada Anchorage,1
ASHKELON , ALEXANDRIA,1
Dardanelles Anchorage , DARDANELLES,1
LAS PALMAS , EL DEKHEILA,1
ISTANBUL , BOSPHOROUS,1
BOSPHOROUS , Istanbul Anchorage,1
GEBZE , Ereglisi,1
DARDANELLES , Adrift Off Canekalle ,1
Alexandria Disch Port , EL DEKHEILA,1
Houston , Marsaxlokk,1
HOUSTON , Channeling to Load Berth,1
LAGOS , LAS PALMAS,1
DARDANELLES , AT SEA,1
ARZEW , CARTAGENA,1
ELEUSIS , PIRAEUS,1
MALTA , LA SKHIRRA,1
THESSALONIKI , MALTA,1
OFF LIBYA , BENGHAZI,1
BENGHAZI , OFF LIBYA,1
Bosporus , N bound ,1
Bosporus , S bound ,1
Bosporus , N bound ,1
AMSTERDAM , BENGHAZI,1
PRIMORSK , LORIENT,1
AT SEA , GOTHENBURG,1
PORVOO , THAMESHAVEN,1
DARDANELLES , THAMESHAVEN,1
DARDANELLES , Dardanelles ,1
BOSPHOROUS , AT SEA,1
CANAKKALE , DARDANELLES,1
AT SEA , DARDANELLES,1
DURRES , AT SEA,1
BOURGAS , Bosporus ,1
Dardanelles , S bound ,1
MISURATA , Dardanelles ,1
Bosporus , N bound ,1
TUAPSE , Bosporus ,1
ODESSA , NOVOROSSIYSK,1
Tutuncifilik , Bosporus ,1
Ereglisi , Marmara Ereglisi,1
HAIFA , Dardanelles ,1
ASHKELON , HAIFA,1
Bosporus , S bound ,1
Koper , Dardanelles ,1
BOZCAADA , Dardanelles ,1
BOSPHORUS S,BOUND ,1
Bosporus , S bound ,1
TRIPOLI (LEB) , ZAHRANI,1
ELEUSIS , TRIPOLI (LEB),1
Koper , Eleusis,1
NOVOROSSIYSK , Bosporus ,1
Bosporus , N bound ,1
ELEUSIS , DURRES,1
DORTYOL , LIMASSOL,1
CARTAGENA , LAS PALMAS,1
DARDANELLES , DORTYOL,1
ALGIERS , LAVERA,1
AT SEA , ALGIERS,1
AUGUSTA , AT SEA,1
BARCELONA , BENGHAZI,1
MALTA OPL , MALTA (GRAND HARBOUR),1
MALTA (GRAND HARBOUR) , MALTA OPL,1
TUAPSE OPL , TUAPSE,1
ANTALYA , HAIFA,1
