TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2009-10-05 12:00:00;N;L;118;43;33;10;0;0;0.0;225;3;0.0;24;0;0
2014-02-27 12:00:00;N;B;68;45;21;50;45;7.35;0.0;315;3;0.0;23;30;0
2009-08-26 12:00:00;N;B;114;16;26;42;135;0;89.2;180;3;14.62;24;0;32.7
2009-08-17 12:00:00;N;L;118;41;33;7;0;0;0.0;225;3;0.0;24;0;0
2009-06-26 12:00:00;N;L;0;0;0;0;0;0;89.0;0;0;0.0;24;0;31.2
2009-06-27 12:00:00;N;L;103;59;15;21;315;0;89.0;0;3;14.01;24;0;31.2
2009-09-01 12:00:00;N;B;85;18;7;44;112;0;92.0;135;3;15.39;23;0;31.6
2009-07-15 06:00:00;A;L;95;12;16;11;45;9;89.2;90;4;13.62;18;0;0
2009-07-15 12:00:00;N;L;95;6;16;9;0;0;0.0;0;6;0.0;0;0;2.7
2009-07-16 12:00:00;N;L;95;6;16;9;0;0;0.0;0;5;0.0;24;0;6.1
2009-11-18 12:00:00;N;B;81;12;3;15;112;0;87.0;180;4;14.67;24;0;33.6
2009-11-18 21:30:00;A;B;78;49;1;45;135;7.435;87.0;225;3;14.1;9;30;0
2009-11-19 12:00:00;N;B;79;21;2;4;0;0;0.0;270;3;0.0;0;0;4.3
2014-03-21 21:00:00;A;L;56;9;25;30;315;12.45;90.0;315;4;13.78;9;0;13.2
2009-07-24 12:00:00;N;L;118;20;30;5;315;0;89.2;315;5;13.86;24;0;30.8
2009-07-24 21:00:00;A;L;119;0;32;30;337;11.3;89.2;315;4;13.56;9;0;0
2009-07-25 12:00:00;N;B;119;0;32;30;0;0;0.0;315;5;0.0;0;0;3
2009-07-26 12:00:00;N;B;119;0;32;30;0;0;0.0;315;4;0.0;24;0;8.9
2009-07-28 13:00:00;D;B;0;0;0;0;0;6.9;0.0;0;0;;0;0;0
2009-10-25 12:00:00;N;L;118;43;33;10;0;0;0.0;225;2;0.0;0;0;0
2009-08-13 12:00:00;N;L;118;41;33;7;0;0;0.0;180;3;0.0;24;0;0
2009-07-23 12:00:00;N;L;114;47;25;19;315;0;89.2;315;5;13.8;25;0;32.9
2009-11-10 12:00:00;N;B;116;51;28;23;157;0;90.0;180;3;14.46;19;30;18.2
2009-09-25 12:00:00;N;L;118;41;33;7;0;0;0.0;225;2;0.0;24;0;0
2009-09-26 12:00:00;N;L;118;41;33;7;0;0;0.0;225;3;0.0;24;0;0
2009-09-27 12:00:00;N;L;118;43;33;10;0;0;0.0;225;3;0.0;24;0;0
2009-10-09 12:00:00;N;B;115;52;26;10;144;0;87.0;45;5;15.25;24;0;33
2009-10-10 12:00:00;N;B;111;42;22;10;124;7.2;90.0;45;4;14.7;23;0;32
2009-10-11 12:00:00;N;B;106;37;19;21;124;0;90.0;135;6;13.92;24;0;36
2009-07-21 12:00:00;N;L;105;35;18;10;315;0;89.2;315;5;14.08;25;0;34.6
2009-10-14 12:00:00;N;L;100;48;16;55;135;0;90.0;135;3;14.14;7;0;13
2009-09-29 12:00:00;N;L;118;41;33;7;0;0;0.0;202;3;0.0;24;0;0
2009-06-17 12:00:00;N;L;75;38;9;51;0;0;0.0;0;0;0.0;18;0;0
2009-06-18 12:00:00;N;B;75;29;9;46;0;0;0.0;135;3;0.0;18;0;0
2014-06-06 12:00:00;N;L;96;53;5;35;112;12;83.0;180;2;12.25;24;0;28
2009-08-31 12:00:00;N;B;91;44;9;6;122;0;92.0;135;4;14.79;24;0;33
2009-10-12 12:00:00;N;B;102;52;17;10;0;0;0.0;135;4;0.0;0;0;0.4
2010-01-15 06:00:00;D;L;95;12;16;11;0;12.47;0.0;0;0;;0;0;16.5
2010-01-15 12:00:00;N;L;95;11;15;52;270;12.47;87.0;0;3;13.0;6;0;8.5
2010-01-16 12:00:00;N;L;101;30;16;10;315;12.47;92.0;45;4;13.42;24;0;32.6
2010-01-17 12:00:00;N;L;106;22;19;20;315;0;92.0;0;3;13.8;25;0;33.9
2010-01-20 12:00:00;N;L;118;46;30;4;0;12.47;90.0;225;5;12.21;24;0;32
2010-04-11 12:00:00;N;L;79;47;14;37;180;8.5;87.0;135;4;11.71;24;0;28.7
2010-04-12 12:00:00;N;L;79;51;9;54;180;8.4;87.0;135;4;12.42;24;0;28.7
2010-04-12 14:00:00;A;L;79;27;9;56;180;11.5;87.0;0;3;11.5;2;0;2.1
2010-01-26 12:00:00;N;L;0;0;0;0;0;0;0.0;45;2;0.0;24;0;0
2010-01-26 10:00:00;D;L;118;45;33;13;0;0;0.0;0;0;;0;0;0
2010-01-26 11:00:00;A;L;118;45;33;13;0;0;0.0;0;0;0.0;1;0;0
2009-12-23 10:00:00;A;L;122;48;37;25;315;11.58;80.0;0;7;8.78;22;0;31.5
2009-12-24 12:00:00;N;L;123;5;37;16;0;0;0.0;45;3;0.0;24;0;7
