<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS,inclX
=======
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
>>>>>>> 5a43801735e05336e1b36a0ed265ef0ef22603c2
=======
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
>>>>>>> 5a43801735e05336e1b36a0ed265ef0ef22603c2
=======
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
>>>>>>> 5a43801735e05336e1b36a0ed265ef0ef22603c2
=======
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
>>>>>>> 5a43801735e05336e1b36a0ed265ef0ef22603c2
=======
stw,draft,foc,ws,wd,swh,lat,lon,dt,vslHeading,wsWS
>>>>>>> 5a43801735e05336e1b36a0ed265ef0ef22603c2
15.62,7.78,33.0,8.334,45.95999999999998,0.77,52.190333,3.471433,2020-05-16 08:42,10.04,5.35
15.81,7.78,20.0,9.0028,40.170000000000016,0.77,52.19375,3.4729,2020-05-16 08:43,9.83,5.35
15.81,7.78,20.0,8.797,47.43000000000001,0.77,52.19735,3.474367,2020-05-16 08:44,9.57,5.35
15.61,7.78,20.0,9.26,41.230000000000025,0.77,52.20085,3.475833,2020-05-16 08:45,9.77,5.35
15.34,7.78,20.0,9.4143,41.839999999999975,0.77,52.2045,3.4774,2020-05-16 08:46,10.16,5.35
15.77,7.78,20.0,9.7744,37.019999999999975,0.77,52.208,3.478967,2020-05-16 08:47,9.98,5.35
15.15,7.78,20.0,8.1797,41.160000000000025,0.77,52.211617,3.480483,2020-05-16 08:48,9.84,5.35
15.25,7.78,20.0,8.0768,42.04000000000002,0.77,52.21505,3.48195,2020-05-16 08:49,9.96,5.35
15.68,7.78,20.0,9.4143,37.99000000000001,0.77,52.2187,3.4835,2020-05-16 08:50,10.01,5.35
15.71,7.78,20.0,9.0542,40.94,0.77,52.22215,3.48495,2020-05-16 08:51,10.06,5.35
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
15.91,7.78,20.0,9.6716,35.829999999999984,0.77,52.225817,3.4865169999999996,2020-05-16 08:52,10.17,5.35
