STARTING PORT,DESTINATION PORT,COUNT
SUEZ , Suez Canal ,4
SALINA CRUZ , LONG BEACH,3
LAZARO CARDENAS , SALINA CRUZ,3
SINGAPORE , SIKKA,2
VANCOUVER , LONG BEACH,2
SINGAPORE , FUJAIRAH,2
SINGAPORE , PASIR GUDANG,2
SIKKA , SUEZ,2
GIBRALTAR , NEW YORK,2
FUJAIRAH , SIKKA,2
LONG BEACH , LAZARO CARDENAS,2
Suez Canal , Suez Exit ,2
Salalah , Ain Sukhna,1
VADINAR , Salalah,1
SINGAPORE , Fujairah,1
Singapore , VADINAR,1
Suez Bay , Suez Gulf,1
Suez Bay , SIKKA,1
Torres strait , Singapore,1
MOMBASA , Fujairah,1
Fujairah , Ras Laffan,1
Ras Laffan , Singapore,1
LAKE CHARLES , COVENAS,1
SIKKA , Beira,1
ARUBA ," San Juan, Puerto Rico (U.S.A.)",1
Botany Bay , Torres strait,1
GARYVILLE ," Dunkirk, France",1
"Dunkirk, France ", Antwerp,1
Alpha Zone (Tsa) , MONTEVIDEO,1
Alpha Zone (Tsa) , Rio de Janeiro,1
Gibraltar , Canakkale,1
Canakkale , Izmit,1
IZMIT , Canakkale,1
"Gelibolu Sector ,Canakkale ", Canakkale,1
CHIOS , Suez Canal ,1
"San Juan, Puerto Rico (U.S.A.) ", GARYVILLE,1
Singapore , Sinki Fairway ,1
YANBU OPL , Rabigh,1
Fiumicino , Suez Canal ,1
Rabigh , SINGAPORE,1
"Tanjung Langsat,Malaysia ", Pasir Gudang,1
Eastern Boarding Ground A , Si ,1
Galle , SIKKA,1
SIKKA , Suez Canal ,1
GIBRALTAR , LE HAVRE,1
Malta (Grand Harbour) , Izmir,1
ALIAGA , Izmir,1
Port Said , RED SEA DRIFTING,1
RED SEA DRIFTING , TANJUNG BIN,1
Jebel Ali ," JEBEL ALI, U.A.E.",1
Jebel Ali , Ruwais,1
Ruwais , Fujairah,1
Rotterdam , ANTWERP,1
LOME , Durban,1
Durban , Fujairah ,1
Fujairah , Anchorage B ,1
JEDDAH , YANBU,1
Mina Abdulla , SINGAPORE,1
SINGAPORE , MAP TA PHUT,1
JUBAIL , FUJAIRAH,1
Singapore , Sinki Fairway ,1
Bahrain , Kuwait,1
Galle , FUJAIRAH,1
Fujairah , Ruwais,1
Port Said , Canal Entrance ,1
Visakhapatnam , Oil Terminal S ,1
Kuwait , Fujairah,1
CIVITAVECCHIA , FOS,1
ULSAN , TUBAN,1
TUBAN , SINGAPORE,1
Suez Canal , Suez Exit ,1
NEW ORLEANS , SW PASS LIGHT AREA,1
ST. CHARLES DOCK#2 , NEW ORLEANS,1
SAO LUIS , CEUTA,1
Ceuta , Zawia,1
SUEZ , Port Said ,1
SUEZ , SINGAPORE,1
AT SEA , Dalian,1
Dalian , TANJUNG PELEPAS,1
Suez Canal , Suez transit ,1
MALTA , SUEZ,1
Fujairah , RAS LAFFAN,1
Suez Canal transit , SUEZ,1
FUJAIRAH , AT SEA,1
AT SEA , DAS ISLAND,1
DAS ISLAND , Ras Laffan,1
Ras Laffan , ANYER,1
SUEZ , GIBRALTAR,1
LAS PALMAS , CANAKKALE,1
CANAKKALE , ISTANBUL,1
CANAKKALE , TUAPSE,1
Bosporus , S bound ,1
BOZCAADA , KARYSTOS,1
KARYSTOS BAY , suez,1
DAESAN , ULSAN,1
Port Qasim , Karachi,1
Fujairah , Visakhapatnam ,1
Port Qasim , FUJAIRAH,1
AQABA , Suez Bay,1
MUMBAI , Assaluyeh,1
Assaluyeh , Fujairah,1
Karachi , Sikka,1
SIKKA , Sohar Port,1
SIKKA , Khor al Zubair,1
Khor al Zubair , Kuwait,1
KUWAIT OPL , Kuwait,1
RAS LAFFAN , Khor al Zubair,1
Khor al Zubair , Lavan Island,1
MINA AL AHMADI , Kuwait,1
FUJAIRAH , Port Qasim,1
SINGAPORE , MAILIAO,1
FUJAIRAH , Karachi,1
MAILIAO , KAOHSIUNG,1
Singapore , MESAIEED,1
PASIR GUDANG , Singapore,1
Singapore , Fujairah,1
Fujairah , BATANGAS,1
BATANGAS , SINGAPORE,1
SINGAPORE , Pengerang,1
Fujairah , Offshore Oil Termin ,1
JUBAIL , Ras Tanura,1
RAS TANURA , Fujairah ,1
Fujairah , Anchorage B ,1
SIKKA , FUJAIRAH,1
Suez Bay , JEDDAH,1
Suez Canal , Suez Exit ,1
JUBAIL , AQABA,1
PLA US , VANCOUVER,1
LONG BEACH ," Long Beach, Ca, Usa",1
FUJAIRAH , Ruwais,1
"MESAIEED, QATAR ", MESAIEED,1
FUJAIRAH , MUNDRA,1
MUNDRA , JUBAIL,1
Sohar Port , Fujairah,1
Ras Laffan , KARACHI,1
KARACHI , Fujairah,1
FUJAIRAH , RUWAIS,1
Sohar Port ,  OPL MUSCAT,1
OPL MUSCAT , Off Zanzibar,1
MALTA , PROVIDENCE,1
Off Limassol , ZAHRANI,1
SUEZ , MALTA,1
MALTA , FAWLEY,1
FAWLEY , HAMBLE,1
ANTWERP , Antwerpen,1
MARSAXLOKK , Gibraltar ,1
Off Cotonou , Off Lome,1
CORPUS CHRISTI , COVENAS,1
Chiriqui Grande , CRISTOBAL,1
Castries , CRISTOBAL,1
CRISTOBAL , BALBOA,1
LAZERO CARDENAS , SANT DIEGO,1
SAN DIEGO , SALINA CRUZ,1
Panama Canal , BALBOA,1
PUERTO LA CRUZ , CRISTOBAL,1
"Jose Terminal, Venezuela ", Puerto Jose off,1
LONG BEACH , Vancouver,1
"CHIRIQUI GRANDE, PANAMA ", BALBOA,1
SALINA CRUZ , PAL,1
PACIFIC LIGHTERING AREA , LONG BEACH,1
LONG BEACH , BALBOA,1
BALBOA , EL SEGUNDO,1
EL SEGUNDO , LAZARO CARDENAS,1
LONG BEACH , TUMACO,1
TUMACO , QUINTERO,1
QUINTERO ," PUERTO BAYOVAR, PERU",1
"BAYOVAR, PERU ", SAN FRANCISCO,1
BENICIA , LAZARO CARDENAS,1
LONG BEACH , VANCOUVER,1
LONG BEACH ," Long Beach, Ca, USA",1
VANCOUVER ," Balboa, Panama",1
PANAMA , HOUSTON,1
HOUSTON , TEXAS CITY,1
HOUSTON , Panama,1
CRISTOBAL , Puerto Hose,1
Puerto Hose , CRISTOBAL,1
BALBOA , LONG BEACH,1
LONG BEACH , USWC PLA,1
USWC PLA , Cherry point,1
BP Cerry Point terminal , Cherry Point,1
"Vancouver, Westridge "," Vancouver, Canada",1
LONG BEACH , PLA US,1
VANCUVER , VANCOUVER,1
JEBEL ALI , FUJAIRAH,1
PAL , USA,1
IMMINGHAM , LE HAVRE,1
ANTVERPEN , Antwerp,1
FUJAIRAH , Sohar Port,1
Sohar Port , KARACHI,1
SIKKA , MOMBASA,1
KARACHI , Ras Laffan,1
SOHAR , FUJAIRAH,1
MOMBASA , Sikka,1
FUJAIRAH , Vadinar,1
VADINAR , FUJAIRAH,1
Jubail , AL JUBAIL,1
MUSCAT , DJIBOUTI,1
DJIBOUTI , ADEN,1
ADEN , JEDDAH,1
Rabigh , Singapore,1
Yosu , DAESAN,1
DAESAN , MAILIAO,1
PASIR GUDANG , SRIRACHA,1
SIKKA , Fujairah,1
Mina Abdulla , MINA AL ABDULAH,1
Kali Limenes , GIBRALTAR,1
COVENAS ," CHIRIQUI GRANDE, PANAMA",1
Suez Canal , Suez Exit ,1
Sikka , Ras Tanura,1
Ras Tanura , Mina Abdulla,1
Venspils , IMMINGHAM,1
"New JERSY,Eagle point ", Eagle Point,1
NEW YORK ," New JERSY,Eagle point",1
Puerto Cortes , Santa Tomas,1
USA , PLA ,1
BENICIA , BALBOA,1
PANAMA , AMUAY BAY,1
PAULSBORO , COME BY CHANCE,1
KALAMATA , Canacalle,1
ISTANBUL , KERTCH,1
KERTCH , GIBRALTAR,1
GIBRALTAR , EL PALITO,1
COVENAS , CORPUS CHRISTI,1
CORPUS CHRISTI , TAMPICO,1
Pajaritos , HOUSTON,1
Santa Tomas de Castilya , Santa Thomas,1
SIKKA , Ras Tannurah,1
Bullen Bay ," Kingston, Jamaica",1
St Rose , HOUSTON,1
Mohammedia , GIBRALTAR,1
GIBRALTAR , Piraeus,1
PIRAEUS , Kumkale,1
ISTANBUL , NOVOROSSISK,1
CANAKKALE , PORT SAID,1
PORT SAID , Suez Canal ,1
Suez Canal , Suez Exit ,1
AQABA , JEDDAH,1
JEDDAH , FUJAIRAH,1
suez , SINGAPORE,1
