128,34,T003,2008-04-29 20:00:00,Tong Yong
93,30,T003,2009-06-11 05:00:00,LAKE CHARLES
75,9,T003,2009-06-15 18:00:00,COVENAS
75,9,T003,2009-06-19 04:00:00,COVENAS
0,0,T003,2009-06-20 10:00:00,"CHIRIQUI GRANDE, PANAMA"
0,0,T003,2009-06-21 08:00:00,"CHIRIQUI GRANDE, PANAMA"
79,8,T003,2009-06-22 17:00:00,BALBOA
118,33,T003,2009-07-01 10:00:00,LONG BEACH
102,17,T003,2009-07-09 10:00:00,LAZARO CARDENAS
102,17,T003,2009-07-13 19:30:00,LAZARO CARDENAS
95,16,T003,2009-07-15 06:00:00,SALINA CRUZ
95,16,T003,2009-07-19 13:00:00,SALINA CRUZ
119,32,T003,2009-07-24 21:00:00,PAL
0,0,T003,2009-07-28 13:00:00,PAL
0,0,T003,2009-07-30 10:00:00,AT SEA
0,0,T003,2009-08-01 20:00:00,OCEAN IN DRIFT
0,0,T003,2009-08-04 03:30:00,PAL No.1
25,38,T003,2009-08-09 09:00:00,PACIFIC LIGHTERING AREA
118,33,T003,2009-08-09 16:40:00,LONG BEACH
118,33,T003,2009-08-25 03:00:00,LONG BEACH
79,8,T003,2009-09-02 17:30:00,BALBOA
79,8,T003,2009-09-04 23:00:00,BALBOA
118,33,T003,2009-09-14 05:25:00,EL SEGUNDO
118,33,T003,2009-10-08 06:00:00,EL SEGUNDO
102,17,T003,2009-10-12 09:00:00,LAZARO CARDENAS
102,17,T003,2009-10-14 05:00:00,LAZARO CARDENAS
95,16,T003,2009-10-15 16:00:00,SALINA CRUZ
95,16,T003,2009-10-18 12:00:00,SALINA CRUZ
118,33,T003,2009-10-24 11:00:00,LONG BEACH
118,33,T003,2009-11-09 16:30:00,LONG BEACH
78,1,T003,2009-11-18 21:30:00,TUMACO
78,1,T003,2009-11-25 18:00:00,TUMACO
71,32,T003,2009-12-02 20:30:00,QUINTERO
71,32,T003,2009-12-05 01:00:00,QUINTERO
0,0,T003,2009-12-09 18:00:00,"PUERTO BAYOVAR, PERU"
0,0,T003,2009-12-12 02:00:00,"BAYOVAR, PERU"
122,37,T003,2009-12-23 10:00:00,SAN FRANCISCO
NULL,NULL,T003,2009-12-30 02:00:00,BENICIA
102,17,T003,2010-01-03 21:30:00,LAZARO CARDENAS
102,17,T003,2010-01-05 00:30:00,LAZARO CARDENAS
95,16,T003,2010-01-06 14:00:00,SALINA CRUZ
95,16,T003,2010-01-15 06:00:00,SALINA CRUZ
118,33,T003,2010-01-21 02:00:00,LONG BEACH
0,0,T003,2010-01-23 11:00:00,LONG BEACH
118,33,T003,2010-01-23 11:30:00,LONG BEACH
118,33,T003,2010-01-26 10:00:00,LONG BEACH
118,33,T003,2010-01-26 11:00:00,LONG BEACH
118,33,T003,2010-01-30 19:00:00,LONG BEACH
123,48,T003,2010-02-02 20:00:00,Vancouver
123,48,T003,2010-02-05 18:00:00,VANCOUVER
118,33,T003,2010-02-09 08:00:00,LONG BEACH
118,33,T003,2010-02-11 02:00:00,LONG BEACH
123,48,T003,2010-02-15 02:00:00,VANCOUVER
123,48,T003,2010-02-19 16:00:00,VANCOUVER
0,0,T003,2010-03-04 11:00:00,"Balboa, Panama"
79,8,T003,2010-03-05 12:00:00,PANAMA
94,29,T003,2010-03-10 14:00:00,HOUSTON
95,29,T003,2010-03-27 18:00:00,HOUSTON
94,29,T003,2010-03-29 07:00:00,TEXAS CITY
95,29,T003,2010-04-07 09:00:00,HOUSTON
79,9,T003,2010-04-12 14:00:00,Panama
79,9,T003,2010-04-19 16:00:00,CRISTOBAL
