Latitude,Longitude,Bearing
-3.06,116.5,13
-2.8830827662901712,116.53740101491813,12.0
-2.705535763211389,116.5717202871763,11.0
-2.5274130824318255,116.602948574311,10.0
-2.348768993499557,116.63107749710382,9.0
-2.1696579272711505,116.65609953961157,8.0
-1.990134459284462,116.6780080491538,7.0
-1.8102532930808317,116.69679723626287,6.0
-1.630069243481936,116.71246217460181,5.0
-1.4496372198265812,116.72499880085402,4.0
1.13,119.13,8.0
1.3095247829691776,119.1519010649382,7.0
1.4894066792771856,119.17068724201499,6.0
1.6695908604577934,119.18635248950228,5.0
1.8500224042816225,119.19889162245907,4.0
2.030646311570013,119.20830031385027,3.0
2.211407523037227,119.2145750956496,2.0
2.3922509361556332,119.2177133599279,1.0
2.5731214220384664,119.2177133599279,0.0
2.7539638423347563,119.21457421112541,-1.0
2.9347230661310078,119.20829589227684,-2.0
3.1153439868541835,119.19887924645195,-3.0
3.2957715391705493,119.18632598205015,-4.0
3.4759507158749297,119.17063867379818,-5.0
3.6558265847649056,119.15182076372642,-6.0
3.835344305494503,119.1298765621201,-7.0
4.0144491464019065,119.10481124844168,-8.0
4.193086501305733,119.07663087221941,-9.0
4.371201906264422,119.04534235389708,-10.0
4.548741056293289,119.0109534856389,-11.0
4.725649822033825,118.97347293208318,-12.0
4.901874266369792,118.93291023103801,-13.0
5.077360660984734,118.889275794111,-14.0
5.252055502855508,118.84258090726557,-15.0
5.425905530676458,118.79283773129477,-16.0
5.598857741208911,118.74005930220392,-17.0
6.08,119.54,6.0
6.260164481256196,119.55575194702689,5.0
6.440575456852316,119.56836365581076,4.0
6.621177917626001,119.57782919288293,3.0
6.8019167953810395,119.58414348123341,2.0
6.982736979767154,119.58730230316918,1.0
7.163583335175884,119.58730230316918,0.0
7.34440071764714,119.58414099073481,-1.0
7.52513399178098,119.57781674323411,-2.0
7.705728047649202,119.56832880873728,-3.0
7.886127817701277,119.55567730884036,-4.0
8.066278293659192,119.53986324147351,-5.0
8.24612454339574,119.52088848368942,-6.0
8.425611727790802,119.49875579442684,-7.0
8.604685117560164,119.47346881724377,-8.0
8.783290110051466,119.44503208301384,-9.0
8.961372246001769,119.41345101257923,-10.0
9.138877226251394,119.37873191935238,-11.0
9.31575092840854,119.34088201185864,-12.0
9.491939423459382,119.29990939621108,-13.0
9.667388992318118,119.25582307850814,-14.0
9.842046142311784,119.20863296714444,-15.0
10.01585762359434,119.15834987502421,-16.0
10.188770445484806,119.10498552166672,-17.0
11.02,120.27,6.0
15.29,119.47,7.0
15.29,119.47,352.0
15.468518973582606,119.44084517236044,351.0
15.646513961134964,119.40845438118532,350.0
15.823930683605385,119.37283169029547,349.0
16.000715040171844,119.33398209953683,348.0
16.176813124838258,119.29191155014517,347.0
16.352171242969273,119.24662693002769,346.0
16.526735927758086,119.19813607894844,345.0
16.700453956622102,119.14644779360434,344.0
16.87327236752115,119.09157183257746,343.0
17.045138475192967,119.03351892114877,342.0
17.21599988730082,118.97230075595823,341.0
17.385804520488016,118.90793000949522,340.0
17.554500616334163,118.840420334403,339.0
17.722036757208166,118.76978636758038,338.0
17.888361882012774,118.6960437340631,337.0
18.05342530181575,118.61920905066748,336.0
18.217176715362573,118.53929992937803,335.0
18.379566224465876,118.45633498046054,334.0
18.540544349266593,118.37033381528202,333.0
18.70006204336205,118.28131704881838,332.0
18.858070708796184,118.18930630183051,331.0
19.014522210907195,118.09432420268956,330.0
20.22,119.48,2.0
20.400407246825605,119.49002795574418,3.0
20.580618056602184,119.5034094380394,4.0
20.760577453258566,119.5201483543017,5.0
20.940230539507333,119.54024768116538,6.0
21.119522513689464,119.56370945589494,7.0
21.29839868658836,119.59053476779088,8.0
21.47680449820806,119.62072374960101,9.0
21.65468553451012,119.65427556894916,10.0
21.831987544103907,119.69118841979463,11.0
22.00865645488492,119.73145951393604,12.0
22.18463839061588,119.77508507257453,13.0
22.359879687445193,119.82206031795144,14.0
22.534326910357684,119.87237946507716,15.0
22.707926869552132,119.92603571356788,16.0
22.88062663674061,119.98302123960828,17.0
23.05237356136424,120.04332718805843,18.0
23.223115286720326,120.10694366472455,19.0
24.56,120.11,20.0
24.56,120.11,276.0
24.37946509633644,120.11344054660636,179
24.19900827223062,120.12031087401839,178
26.26,120.13,177
26.26,120.13,270.0
26.26,120.13,180
