stw,draft,foc,ws,wd,swh
18.69,7.32,77.48,4,0.79,0.79
18.612,7.324999999999997,77.71,4,0.79,0.79
18.464,7.33,77.48,4,0.67,0.67
18.317,8.455,77.48,4,0.79,0.79
18.32,6.8575,77.48,4,0.27,0.27
18.258,6.8575,77.71,4,0.27,0.27
18.211,6.8599999999999985,79.4,4,0.79,0.79
18.164,7.3199999999999985,79.4,4,0.79,0.79
18.066,7.325,79.16,3,0.79,0.79
17.569000000000006,7.325,78.88,4,0.79,0.79
16.994,7.34,75.77,4,0.79,0.79
16.596,7.385,69.49,4,0.79,0.79
16.35,7.395,69.35,4,0.79,0.79
15.809,8.844999999999997,63.03,4,0.9,0.9
15.788,8.895,63.03,4,0.9,0.9
16.259,7.42,69.35,4,0.9,0.9
16.274,8.887500000000003,66.88,3,0.62,0.62
16.279,6.9525,69.35,3,0.9,0.9
16.253,6.9475,69.35,3,0.9,0.9
16.272000000000002,7.439999999999999,69.35,3,0.9,0.9
16.277,7.439999999999999,69.35,3,0.9,0.9
16.261,7.439999999999999,68.31,2,0.9,0.9
16.27,7.405,69.35,3,1.06,1.06
16.254,7.435,69.35,4,1.06,1.06
16.274,7.43,68.31,2,1.06,1.06
16.311,7.43,69.35,3,1.06,1.06
16.315,7.425,73.89,5,1.06,1.06
16.319000000000006,6.915,69.35,3,0.82,0.82
16.352999999999998,6.915,69.35,3,1.06,1.06
16.317,7.425,69.35,3,1.06,1.06
16.351,7.435,69.35,2,1.06,1.06
16.335,7.449999999999997,69.35,3,1.06,1.06
16.343,7.435,69.35,3,1.06,1.06
16.347,7.41,68.31,2,1.06,1.06
16.250999999999998,7.41,69.35,3,1.06,1.06
16.255,6.6875,69.35,3,1.06,1.06
16.349,7.4975,69.35,3,1.06,1.06
16.304000000000002,8.5025,66.88,3,1.06,1.06
16.348,7.445,69.35,3,1.06,1.06
16.362000000000002,7.455,69.35,3,1.06,1.06
16.305999999999994,7.4449999999999985,69.35,3,1.06,1.06
16.281,7.455,69.35,3,1.06,1.06
16.285,7.439999999999999,69.35,3,1.06,1.06
16.389,7.2625,69.35,3,1.06,1.06
16.397000000000002,7.455,71.6,5,1.06,1.06
16.285,7.4449999999999985,69.35,3,1.06,1.06
16.254,7.445,69.35,2,1.06,1.06
16.311,7.435,69.35,3,1.06,1.06
16.266,7.475,69.35,3,1.06,1.06
16.29,7.475,69.35,3,1.06,1.06
16.275,8.5225,66.88,2,1.06,1.06
16.28,7.455,69.35,3,1.06,1.06
16.274,7.47,69.35,3,1.06,1.06
16.29,7.439999999999999,69.35,3,1.06,1.06
16.395,7.439999999999999,69.35,3,1.06,1.06
16.403,7.479999999999999,69.35,3,1.06,1.06
16.408,7.479999999999999,69.35,3,1.06,1.06
16.464000000000002,7.45,69.35,3,1.06,1.06
16.419,7.44,69.35,3,1.06,1.06
16.491,7.455,69.35,3,1.06,1.06
16.507,7.455,69.49,3,1.06,1.06
16.483,7.455,69.35,3,1.06,1.06
16.46,7.1925,69.35,3,1.06,1.06
16.567,7.02,69.49,3,1.06,1.06
16.474,7.455,69.35,3,1.06,1.06
16.54,7.455,69.49,3,1.06,1.06
16.487000000000002,7.455,69.35,3,1.06,1.06
16.494,7.43,69.35,3,0.82,0.82
16.52,7.44,69.49,3,1.06,1.06
16.557000000000002,7.46,69.49,3,1.06,1.06
16.474,7.445,69.35,3,1.06,1.06
16.53,7.455,69.49,3,1.06,1.06
16.497,7.455,69.35,3,0.82,0.82
16.433,6.91,69.35,4,1.06,1.06
16.54,6.91,69.49,3,1.04,1.04
16.547,7.46,69.49,3,1.04,1.04
16.553,7.7925,69.49,3,1.04,1.04
16.561,7.445,69.49,3,1.04,1.04
16.567,7.785,69.49,3,1.04,1.04
16.573,7.445,69.49,4,1.04,1.04
16.577,7.455,74.43,6,1.04,1.04
16.574,7.4300000000000015,69.49,3,1.04,1.04
16.631,7.435,69.49,3,1.04,1.04
16.628,7.45,69.49,4,1.04,1.04
16.624000000000002,7.425000000000002,69.49,3,1.06,1.06
16.601,7.465,69.49,3,1.04,1.04
16.608,7.445,69.49,4,1.04,1.04
16.615,7.445,69.49,3,1.04,1.04
16.621,7.445,67.0,3,1.04,1.04
16.628,7.439999999999999,69.49,3,1.04,1.04
16.643,7.435,69.49,3,1.04,1.04
16.679000000000002,7.425,69.49,3,1.04,1.04
16.645,7.435,69.49,3,1.04,1.04
16.649,7.41,69.49,3,0.45,0.45
16.655,7.415,69.49,3,1.04,1.04
16.67,7.425,69.49,3,1.04,1.04
16.426,7.425000000000002,69.35,3,1.04,1.04
16.531,7.4049999999999985,74.43,6,1.04,1.04
16.537,7.42,69.49,4,1.04,1.04
16.532,8.51,69.64,3,1.04,1.04
16.447,7.395,69.35,3,1.04,1.04
16.395,7.395,69.35,3,1.04,1.04
16.459,7.712499999999999,69.35,3,1.04,1.04
16.425,7.7175,69.35,3,1.04,1.04
16.41,7.42,69.35,3,1.04,1.04
16.444000000000006,7.4049999999999985,69.35,3,1.04,1.04
16.449,7.435,69.35,3,1.04,1.04
16.442999999999998,7.414999999999999,69.35,3,0.82,0.82
16.427,7.395,69.35,3,0.5,0.5
16.432000000000002,7.5325,69.35,3,0.45,0.45
16.337,7.4049999999999985,69.35,3,1.04,1.04
16.342,7.385,69.35,3,0.82,0.82
16.447,7.4,69.35,2,1.04,1.04
16.412,7.512499999999997,69.35,3,1.04,1.04
16.458,7.512499999999997,69.35,3,1.04,1.04
16.463,7.385,69.35,3,1.04,1.04
16.438,7.522500000000001,68.31,2,1.04,1.04
16.432000000000002,7.415000000000001,69.35,3,1.04,1.04
16.458,7.37,69.35,3,1.04,1.04
