stw,draft,foc,ws,wd,swh
12.045,11.775,29.0,3,0.85,0.85
12.009,11.78,28.0,1,0.7,0.7
12.012,11.77,28.11,2,0.85,0.85
12.037,11.76,28.0,2,0.85,0.85
12.035,11.75,28.0,3,0.85,0.85
12.045,11.785,28.0,2,0.95,0.95
12.04,11.76,29.53,3,0.85,0.85
12.095,11.74,28.0,4,0.85,0.85
12.129,11.605,28.0,1,0.85,0.85
12.116,11.76,28.0,0,0.85,0.85
12.101,11.76,28.0,1,0.85,0.85
12.086,11.745,28.0,1,0.85,0.85
12.107,11.775,28.0,1,0.85,0.85
12.147,11.775,28.0,2,0.74,0.74
12.136,11.74,28.0,2,0.74,0.74
12.1,11.76,28.11,1,0.74,0.74
12.077,11.73,28.0,1,0.74,0.74
12.077,11.755,28.0,1,0.74,0.74
12.01,11.74,28.0,1,0.74,0.74
12.003,11.485,28.0,1,0.74,0.74
12.002,11.74,29.0,1,1.86,1.86
12.037,11.745,28.0,4,0.74,0.74
12.057,11.745,28.0,5,0.74,0.74
12.01,9.38,29.53,3,0.74,0.74
12.02,11.74,28.0,3,0.74,0.74
12.025,11.760000000000002,28.0,3,0.74,0.74
12.003,11.75,31.0,3,0.0,0.0
12.012,11.75,31.0,2,0.74,0.74
12.013,11.72,29.53,3,0.74,0.74
12.002,11.7,28.0,3,0.74,0.74
12.062,11.875,28.0,2,0.74,0.74
12.043,12.045,28.0,2,0.74,0.74
12.06,11.44,28.0,3,0.95,0.95
12.431,11.455,30.07,3,0.95,0.95
12.73,11.455,30.16,2,0.95,0.95
12.964,11.44,30.98,1,0.0,0.0
13.119000000000002,11.455,31.12,5,0.95,0.95
13.231,11.4225,31.38,4,0.95,0.95
13.327,11.43,49.0,3,0.95,0.95
13.418,11.43,49.0,2,0.95,0.95
13.428,11.415,39.65,4,0.95,0.95
13.336,11.415,54.0,3,0.95,0.95
12.698,11.4,29.63,4,0.95,0.95
12.555,11.4,30.55,3,0.95,0.95
12.425999999999998,11.44,29.47,1,1.53,1.53
12.198,11.435,29.53,4,0.95,0.95
12.151,11.32,28.03,5,1.12,1.12
13.138,11.29,31.12,6,0.95,0.95
13.284,11.29,49.0,5,1.12,1.12
13.485,11.285,48.0,5,1.12,1.12
13.499,11.285,48.0,5,1.12,1.12
13.725,11.28,47.0,2,1.12,1.12
13.734000000000002,11.28,50.73,5,1.12,1.12
13.902,11.265,51.81,5,0.81,0.81
13.962,11.25,46.0,5,1.12,1.12
13.94,11.245,46.0,5,1.12,1.12
13.954,11.24,45.0,6,1.12,1.12
14.027,11.22,45.0,5,1.12,1.12
14.026,11.22,48.68,5,1.17,1.17
14.164,11.4375,48.68,5,1.12,1.12
14.77,11.245,50.64,5,1.12,1.12
15.138,11.185,51.86,6,1.12,1.12
15.448,11.18,51.56,6,1.03,1.03
15.87,9.3775,61.0,6,1.12,1.12
16.144000000000002,9.3775,65.32,6,1.12,1.12
16.294,10.9925,67.16,6,1.12,1.12
16.412,11.195,67.16,6,1.12,1.12
16.499000000000002,11.165,70.0,6,1.12,1.12
16.511,11.205,71.0,6,1.12,1.12
16.586,11.155,70.0,6,1.12,1.12
16.65,10.97,71.65,6,1.12,1.12
16.633,11.14,71.65,6,1.12,1.12
16.642,11.135000000000002,72.0,6,1.12,1.12
16.647000000000002,11.11,70.0,6,1.12,1.12
16.727,11.11,69.0,6,1.12,1.12
16.8,11.13,76.28,6,1.12,1.12
16.817,11.125,81.66,6,1.12,1.12
16.322,11.075,69.0,6,1.12,1.12
16.333,11.075,69.0,6,1.12,1.12
16.24,9.4825,70.0,6,1.12,1.12
16.248,11.15,69.0,6,1.12,1.12
16.254,11.114999999999998,69.0,6,1.12,1.12
16.324,11.095,69.0,5,1.12,1.12
15.792,11.11,63.2,6,0.95,0.95
15.386,11.125,51.56,6,1.17,1.17
15.124,11.135000000000002,51.86,6,0.95,0.95
14.811,11.15,50.64,6,0.95,0.95
14.614,11.15,50.19,3,1.03,1.03
14.413,11.114999999999998,48.41,3,0.0,0.0
14.319,11.114999999999998,48.41,4,0.0,0.0
14.284,11.14,51.43,6,0.95,0.95
14.193,11.145,45.0,4,0.0,0.0
14.177,11.15,44.0,6,0.95,0.95
14.13,11.145,45.0,6,0.95,0.95
14.128,11.145,45.0,6,0.95,0.95
14.089,11.135,45.0,4,0.95,0.95
13.993,11.16,51.81,4,0.95,0.95
13.95,11.155,53.57,6,1.17,1.17
13.952,11.145,46.0,6,1.12,1.12
13.952,11.16,45.0,6,0.95,0.95
14.053,11.14,46.0,5,2.11,2.11
14.047,11.165,45.0,5,0.95,0.95
14.069,11.155,45.0,5,0.95,0.95
14.072,11.17,48.68,5,0.95,0.95
13.904000000000002,11.16,50.48,5,0.95,0.95
13.665,11.16,50.73,5,1.03,1.03
13.568,11.135,50.73,5,0.95,0.95
13.367,9.9225,39.65,5,0.95,0.95
13.269,10.555,35.0,5,0.95,0.95
13.181,11.18,34.0,5,1.03,1.03
13.014,11.19,31.12,5,0.95,0.95
13.012,11.165,31.12,5,0.95,0.95
12.994000000000002,11.33,31.0,5,0.95,0.95
12.668,11.145,29.63,5,0.95,0.95
12.014,9.6175,28.0,3,0.95,0.95
12.033,10.905,28.0,4,0.63,0.63
12.043,10.91,30.0,3,0.95,0.95
12.014,8.524166666666666,28.0,3,0.95,0.95
12.039,10.9,29.0,2,0.95,0.95
12.089,10.88,28.0,2,0.95,0.95
12.054,10.875,28.0,3,1.1,1.1
12.04,10.885,28.0,2,0.95,0.95
12.032,8.285,28.0,2,0.0,0.0
12.027,10.88,28.0,2,0.95,0.95
12.061,10.88,29.0,4,0.95,0.95
12.055,10.915,29.0,1,0.95,0.95
