stw,draft,foc,ws,wd,swh
12.331,9.24,29.54,5,1.02,1.02
12.465,9.225,29.0,5,0.85,0.85
12.515,9.205,29.0,5,1.02,1.02
12.515999999999998,9.19,29.0,5,0.61,0.61
12.696,9.19,29.0,5,0.61,0.61
12.448,9.2,29.54,5,1.02,1.02
12.515999999999998,9.185,29.0,5,1.02,1.02
12.44,9.185,29.0,6,1.02,1.02
12.461,9.185,30.0,6,1.22,1.22
12.470999999999998,9.185,29.0,6,1.22,1.22
12.45,9.235,29.0,6,1.02,1.02
12.439,9.19,28.31,6,1.02,1.02
12.429,9.19,29.0,6,1.02,1.02
12.358,9.21,29.0,6,1.22,1.22
12.425999999999998,9.185,28.31,5,0.85,0.85
12.254,9.17,29.0,5,1.02,1.02
12.354,9.215,29.0,6,1.02,1.02
12.312,9.165,29.5,6,1.02,1.02
12.302,9.165,29.0,6,1.02,1.02
12.251,10.03,29.0,6,1.02,1.02
12.25,9.16,28.0,6,1.02,1.02
12.25,8.485,29.0,6,1.02,1.02
12.25,8.485,29.0,6,1.02,1.02
12.18,8.485,29.0,6,1.02,1.02
12.149,9.195,29.0,6,1.02,1.02
12.049,9.155,28.0,6,1.02,1.02
12.188,9.185,29.0,6,1.02,1.02
12.197,9.18,29.0,6,1.02,1.02
12.147,8.309999999999999,29.0,4,1.02,1.02
12.187,9.18,29.0,4,1.02,1.02
12.175999999999998,9.18,29.0,6,1.02,1.02
12.195,9.185,28.3,6,1.02,1.02
12.145,9.16,29.0,6,1.02,1.02
12.144,9.18,29.0,6,1.02,1.02
12.223,9.18,29.0,6,1.02,1.02
12.265,9.18,29.0,6,1.02,1.02
12.164,9.185,29.0,6,1.02,1.02
12.264,9.185,29.0,6,1.02,1.02
12.299,9.195,29.0,6,1.02,1.02
12.158,9.195,28.13,7,1.02,1.02
12.307,9.195,28.64,6,1.02,1.02
12.3,9.195,28.64,6,1.02,1.02
12.311,7.790000000000001,33.0,5,1.02,1.02
12.265,9.225,28.31,6,1.02,1.02
12.345999999999998,8.272499999999999,31.53,6,0.61,0.61
12.269,9.185,30.0,6,1.02,1.02
12.404000000000002,7.5875,32.06,6,1.02,1.02
12.467,9.22,29.0,4,1.31,1.31
12.469,9.205,29.0,6,1.02,1.02
12.481,9.2,29.0,6,1.02,1.02
12.282,8.342500000000001,32.06,6,1.02,1.02
12.396,9.245,29.0,7,1.02,1.02
12.288,9.204999999999998,29.0,6,1.02,1.02
12.29,9.18,29.0,6,0.61,0.61
12.293,9.17,29.0,6,1.02,1.02
12.405,9.195,29.0,6,1.02,1.02
12.387,9.2,29.0,6,1.02,1.02
12.398,9.2,29.0,6,1.02,1.02
12.299,9.185,29.0,5,1.02,1.02
12.416,9.18,29.0,6,1.02,1.02
12.428,9.22,29.0,6,1.02,1.02
12.251,9.21,29.0,6,1.0,1.0
12.362,9.2375,29.0,6,1.0,1.0
12.354,9.205,29.0,7,1.0,1.0
