stw,draft,foc,ws,wd,swh
12.873,3.645,33.99,3,1.29,1.29
12.928,3.645,33.99,4,1.29,1.29
12.919,3.645,33.99,4,1.29,1.29
12.95,3.645,33.99,4,1.29,1.29
12.981,3.645,32.54,4,1.23,1.23
12.932,5.925,33.99,4,1.29,1.29
12.933,5.925,33.99,4,1.29,1.29
12.934,5.925,32.54,4,1.29,1.29
12.935,5.925,33.99,2,1.29,1.29
12.937,5.925,33.99,3,1.47,1.47
12.938,5.925,33.99,3,1.47,1.47
12.959,5.925,33.99,3,1.47,1.47
12.904000000000002,5.925,33.99,3,1.29,1.29
12.844,5.925,33.99,3,1.29,1.29
12.845,5.925,33.99,3,1.29,1.29
12.847,5.925,33.99,4,1.29,1.29
12.76,5.925,33.99,2,1.29,1.29
12.782,5.925,33.99,3,1.29,1.29
12.803,5.925,33.99,3,1.29,1.29
12.833,5.925,32.54,4,1.29,1.29
12.815,5.925,33.99,4,1.29,1.29
12.845999999999998,5.925,33.99,4,1.29,1.29
12.768,5.925,33.99,4,1.29,1.29
12.769,5.925,33.99,4,1.29,1.29
12.77,5.9750000000000005,33.99,4,1.29,1.29
12.871,5.985,33.99,4,1.29,1.29
12.771,5.985,33.99,4,1.29,1.29
12.773,5.985,33.99,4,1.29,1.29
12.774,5.985,33.99,4,1.29,1.29
12.746,5.985,32.72,4,1.29,1.29
12.726,5.985,32.72,4,1.29,1.29
12.725,5.985,29.57,1,1.1,1.1
12.874,5.985,33.99,4,1.29,1.29
12.979,5.985,33.99,4,1.29,1.29
12.878,6.18,33.99,4,1.29,1.29
12.907,6.18,33.99,4,1.29,1.29
12.918,6.18,33.99,4,1.29,1.29
12.903,6.18,33.99,4,1.29,1.29
12.893,6.18,33.99,4,1.29,1.29
12.862,6.175,33.99,4,1.29,1.29
12.882,6.175,33.99,4,1.29,1.29
12.78,6.175,33.99,4,1.29,1.29
12.779000000000002,6.175,33.99,4,1.29,1.29
12.777,6.175,33.99,4,1.29,1.29
12.677,6.175,29.59,4,1.29,1.29
12.675999999999998,7.47,32.72,4,1.29,1.29
12.797,7.47,33.99,4,1.29,1.29
12.746,7.47,32.72,4,1.29,1.29
12.555,7.47,32.72,4,1.29,1.29
12.577,7.47,32.72,4,1.29,1.29
12.566,7.47,32.72,4,1.29,1.29
12.555,7.47,32.72,4,1.29,1.29
12.554,7.47,32.72,4,1.29,1.29
12.574000000000002,7.47,32.72,4,1.29,1.29
12.577,7.47,32.72,4,1.29,1.29
12.477,7.47,32.72,4,1.29,1.29
12.555,7.47,32.72,4,1.29,1.29
12.585,7.47,29.57,2,1.1,1.1
12.534,7.47,32.72,4,1.29,1.29
12.564,7.47,29.57,1,1.3,1.3
12.572,7.47,29.57,2,1.3,1.3
12.572,7.47,29.57,1,1.3,1.3
12.582,7.47,29.57,1,1.3,1.3
12.612,7.47,32.72,3,1.3,1.3
12.571,7.47,32.72,3,1.3,1.3
12.571,6.115,29.57,1,1.3,1.3
12.571,6.115,29.57,1,1.3,1.3
12.57,6.1099999999999985,29.57,1,1.02,1.02
12.57,6.1099999999999985,29.57,1,1.3,1.3
12.609000000000002,6.1099999999999985,29.57,2,1.3,1.3
12.608,6.1099999999999985,29.57,1,1.3,1.3
12.697,6.1099999999999985,32.72,3,1.3,1.3
12.697,6.1099999999999985,29.57,2,1.3,1.3
12.776,6.1099999999999985,33.99,3,1.3,1.3
12.95,7.790000000000001,33.99,3,1.02,1.02
12.75,7.790000000000001,29.57,2,1.3,1.3
