stw,draft,foc,ws,wd,swh
12.929,7.655,31.83,5,0.0,0.0
12.829,7.6400000000000015,32.54,5,0.69,0.69
12.727,7.665000000000001,31.66,5,0.0,0.0
12.738,7.65,32.72,3,0.0,0.0
12.627,7.6400000000000015,32.72,3,0.0,0.0
12.625,7.665000000000001,31.66,5,1.17,1.17
12.859000000000002,7.73,31.83,5,0.0,0.0
12.031,7.755000000000001,30.0,5,0.0,0.0
12.13,7.755000000000001,29.0,6,0.0,0.0
12.129,7.7650000000000015,29.0,5,0.0,0.0
12.149,7.7650000000000015,30.0,5,0.88,0.88
12.16,7.77,32.0,5,0.0,0.0
12.265999999999998,7.627499999999999,31.0,5,0.84,0.84
13.054,7.6175,31.0,5,0.0,0.0
14.152,7.75,51.5641028440771,6,0.66,0.66
14.434,7.7349999999999985,47.55,4,0.66,0.66
14.852,6.6850000000000005,53.0,4,0.0,0.0
15.291,6.8225,63.0,5,0.0,0.0
16.461,7.64,71.6,5,0.0,0.0
16.906,7.64,79.0,6,0.0,0.0
17.324,7.64,78.0,4,0.0,0.0
17.475,7.119999999999999,78.0,5,0.0,0.0
17.599,7.575,80.02,5,0.0,0.0
17.711,7.575,81.65,6,0.0,0.0
17.692,7.3475,81.65,5,0.0,0.0
17.792,7.585,77.0,5,0.0,0.0
17.914,7.56,77.0,5,0.0,0.0
18.025,7.5950000000000015,79.4,5,0.43,0.43
17.994,7.5950000000000015,81.01,5,0.0,0.0
17.992,7.59,81.08,5,0.0,0.0
18.09,6.3100000000000005,77.0,5,0.66,0.66
17.98,7.524999999999999,82.36,6,0.66,0.66
17.898,7.5150000000000015,82.36,6,0.66,0.66
17.909000000000006,7.51,81.08,5,0.66,0.66
17.768,7.475,81.01,5,0.66,0.66
17.767,7.505000000000001,81.08,5,0.89,0.89
17.848,7.479999999999999,81.08,5,0.66,0.66
17.747,8.555,82.31,5,0.66,0.66
17.748,7.341666666666668,81.65,6,0.66,0.66
17.746,10.5425,78.82,6,0.66,0.66
17.746,7.455,81.65,6,0.66,0.66
17.794,7.445,81.08,5,0.66,0.66
17.814,7.45,81.08,5,0.66,0.66
