001;V1.19;4/3/2020 12:04:41 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
4/3/2020 12:04:41 AM;0;0;0.196866666666666;1249.45889299999;S;3829.92927433331;W;0;28932438.7454173;1879029.53127628;1367465.89398386;57.0732101798058;5852011.14806113;257338.645849041;1544380.06224752;23.1272618584913;527842.581686539;138487.173670974;858707.722466204;0;-8.92233333333333;0;;39.8822510822511;;;
4/3/2020 12:09:41 AM;0.00266666666666667;0.00133333333333333;0.186666666666667;1249.458966;S;3829.93107522222;W;0;28932438.7454173;1879029.53127628;1367465.89398386;58.2124838232994;5852015.94278913;257338.645849041;1544385.06506418;24.1665805529636;527844.432353484;138487.173670974;858712.725282871;0;-8.95453541666667;0;;39.8822510822511;;;
4/3/2020 12:14:41 AM;0.00233333333333333;0.00116666666666667;0.169666666666667;1249.45794833333;S;3829.93004266666;W;0;28932438.7454173;1879029.53127628;1367465.89398386;60.9027367830276;5852020.85029874;257338.645849041;1544390.06786418;49.6323750022057;527847.617475479;138487.173670974;858717.728082871;0;-9.33467708333333;0;;39.8822510822511;;;
4/3/2020 12:19:41 AM;0.004;0.002;0.174266666666666;1249.45721788889;S;3829.93042777778;W;0;28932438.7454173;1879029.53127628;1367465.89398386;59.2710560560226;5852025.88727989;257338.645849041;1544395.07069751;50.9935501132969;527851.820906525;138487.173670974;858722.730916204;0;-9.472125;0;;39.8822510822511;;;
4/3/2020 12:24:41 AM;0.00866666666666667;0.00433333333333333;0.143366666666667;1249.45681477777;S;3829.93014366665;W;0;28932438.7454173;1879029.53127628;1367465.89398386;58.1922608613968;5852030.82667018;257338.645849041;1544400.07358084;51.2055795516838;527856.08748556;138487.173670974;858727.733799538;0;-9.21805106382979;0;;39.8822510822511;;;
4/3/2020 12:29:41 AM;0;0;0.155766666666667;1249.45592888889;S;3829.93063644444;W;0;28932438.7454173;1879029.53127628;1367465.89398386;66.4212700724602;5852035.94079016;257338.645849041;1544405.07648084;51.1296238338817;527860.353595312;138487.173670974;858732.736699538;0;-9.26634583333333;0;;39.8822510822511;;;
4/3/2020 12:34:41 AM;0.00233333333333333;0.00116666666666667;0.160066666666666;1249.45682677777;S;3829.93083911111;W;0;28932438.7454173;1879029.53127628;1367465.89398386;70.8575749397278;5852041.88140841;257338.645849041;1544410.07928084;50.2898582830447;527864.590943925;138487.173670974;858737.739499539;0;-9.21843541666666;0;;39.8822510822511;;;
4/3/2020 12:39:41 AM;0.002;0.001;0.1201;1249.45703188888;S;3829.92992377778;W;0;28932438.7454173;1879029.53127628;1367465.89398386;67.1641221642494;5852047.50865468;257338.645849041;1544415.0820975;47.9286414322815;527868.712802264;138487.173670974;858742.742316206;0;-9.02600833333333;0;;39.8822510822511;;;
4/3/2020 12:44:41 AM;0;0;0.124;1249.457426;S;3829.93028444444;W;0;28932438.7454173;1879029.53127628;1367465.89398386;65.5007109045982;5852053.03251781;257338.645849041;1544420.08486417;34.0893210343517;527872.195325004;138487.173670974;858747.745082872;0;-9.16345625;0;;39.8822510822511;;;
4/3/2020 12:49:41 AM;0.00733333333333334;0.00366666666666667;0.109433333333333;1249.45661644444;S;3829.93020000001;W;0;28932438.7454173;1879029.53127628;1367465.89398386;67.1917256712914;5852058.48302239;257338.645849041;1544425.08771416;26.610270221082;527874.627942787;138487.173670974;858752.747932873;0;-9.547525;0;;39.8822510822511;;;
4/3/2020 12:54:41 AM;0.00933333333333334;0.00466666666666667;0.130166666666667;1249.45812844445;S;3829.93236644446;W;0;28932438.7454173;1879029.53127628;1367465.89398386;73.8015711307526;5852064.52964783;257338.645849041;1544430.0906475;23.5834806095423;527876.722875228;138487.173670974;858757.750866206;0;-9.05506875;0;;39.8822510822511;;;
4/3/2020 12:59:41 AM;0.0176666666666667;0.00883333333333333;0.128366666666667;1249.45766266667;S;3829.93193611111;W;0;28932438.7454173;1879029.53127628;1367465.89398386;64.7144392132759;5852070.29817877;257338.645849041;1544435.09359749;23.769131360167;527878.623835903;138487.173670974;858762.753816206;0;-8.91840625;0;;39.8822510822511;;;
4/3/2020 1:04:41 AM;0.0143333333333333;0.00716666666666667;0.106666666666667;1249.45738811111;S;3829.93182177779;W;0;28932438.7454173;1879029.53127628;1367465.89398386;62.6079019904137;5852075.54967884;257338.645849041;1544440.09638082;48.7168514791642;527881.680427322;138487.173670974;858767.75659954;0;-8.93254375;0;;39.8822510822511;;;
