001;V1.19;2/14/2020 12:04:09 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
2/14/2020 12:04:09 AM;0.248333333333334;0.124166666666667;0.372466666666667;926.704865555552;N;7956.60689266668;W;7.769355390466;28508721.4168803;1877849.47698437;1329432.95485171;77.8219556808472;5760406.94768179;255993.883354192;1474716.89779545;0;499289.368135265;134450.455947324;814845.06853082;0;-2.78351666666667;0;;39.8232323232323;;;
2/14/2020 12:09:09 AM;0.255;0.1275;0.366333333333333;926.713639222224;N;7956.61465822219;W;10.5957516805273;28508721.4168803;1877850.36048817;1329437.0405517;67.5357162952423;5760411.16207869;255997.278810845;1474721.90061211;0;499289.368135265;134450.455947324;814845.06853082;0;-2.30755416666667;0;;39.8232323232323;;;
2/14/2020 12:14:09 AM;0.245666666666667;0.122833333333333;0.505433333333334;926.71637488889;N;7956.62185044444;W;9.66592392452508;28508721.4168803;1877851.16647091;1329440.37586837;76.8655228614807;5760411.16207869;256003.687941908;1474726.90354544;13.4395697033019;499289.368135265;134451.576536976;814846.31923082;0;-1.9179875;0;;39.8232323232323;;;
2/14/2020 12:19:09 AM;0.291666666666667;0.145833333333333;0.3581;926.713453999999;N;7956.60851877782;W;5.72564538894944;28508721.4168803;1877851.64390406;1329443.46108504;76.3435542583466;5760412.44118822;256009.716757889;1474731.90639544;69.155705891097;499289.368135265;134457.342795802;814851.32208082;0;-2.25650208333333;0;;39.8232323232323;;;
2/14/2020 12:24:09 AM;0.204333333333334;0.102166666666667;0.3912;926.703443777774;N;7956.60278144444;W;8.41530438810902;28508721.4168803;1877852.34556512;1329447.29651837;72.7730047702789;5760412.85085436;256015.352009488;1474736.90924544;69.1748547345516;499289.368135265;134463.110652875;814856.32493082;0;-2.13083541666667;0;;39.8232323232323;;;
2/14/2020 12:29:09 AM;0.290333333333333;0.145166666666667;0.310133333333333;926.710839555554;N;7956.60420555555;W;8.0157721643086;28508721.4168803;1877853.01391986;1329450.79841837;74.4170165061951;5760412.85085436;256021.557034032;1474741.91209543;51.1671679875215;499289.368135265;134467.377069902;814860.49403082;0;-2.58166458333333;0;;39.8232323232323;;;
2/14/2020 12:34:09 AM;0.302333333333333;0.151166666666666;0.397966666666667;926.725162333335;N;7956.62794255555;W;9.0252651633175;28508721.4168803;1877853.76643944;1329454.80066836;71.7862844467163;5760413.52603219;256026.586939345;1474746.91497877;0;499289.368135265;134467.377069902;814860.49403082;0;-2.55496041666667;0;;39.8232323232323;;;
2/14/2020 12:39:09 AM;0.449;0.2245;0.501466666666667;926.716317555554;N;7956.61642433332;W;7.5531357835937;28508721.4168803;1877854.39622691;1329458.3026517;72.651332616806;5760414.27548684;256032.024337283;1474751.91789543;0;499289.368135265;134467.377069902;814860.49403082;0;-2.84006666666667;0;;39.8232323232323;;;
2/14/2020 12:44:09 AM;0.289333333333333;0.144666666666667;0.377499999999999;926.701033000004;N;7956.5977382222;W;5.75007714884881;28508721.4168803;1877854.87567581;1329461.05423503;72.9253542423248;5760414.27548684;256038.104917386;1474756.92071209;4.79733257545556;499289.368135265;134467.777047572;814860.994297486;0;-2.17403333333333;0;;39.8232323232323;;;
2/14/2020 12:49:09 AM;0.296345514950166;0.148419301164726;0.416866666666666;926.711722197562;N;7956.60383706994;W;7.85037899352842;28508721.4168803;1877855.53024482;1329464.63958503;72.2427535057068;5760414.27548684;256044.128712996;1474761.92367876;67.4696155060587;499289.368135265;134473.402842264;814865.997247487;0;-2.11434166666667;0;;39.8232323232323;;;
2/14/2020 12:54:09 AM;0.249666666666667;0.124833333333334;0.2894;926.715537888887;N;7956.62110988889;W;7.62276314330873;28508721.4168803;1877856.15525921;1329468.30841836;71.4951668755483;5760414.27548684;256049.990774383;1474766.84321209;69.0905965764614;499289.368135265;134479.067733894;814870.91678082;0;-2.16617916666667;0;;39.8232323232323;;;
2/14/2020 12:59:09 AM;0.353666666666666;0.176833333333333;0.494966666666668;926.712309333335;N;7956.60489766664;W;8.77202027805522;28508721.4168803;1877856.88667525;1329471.81046836;70.8076250553131;5760414.84426591;256055.470925523;1474771.84611209;64.9671422496029;499289.368135265;134484.484786841;814875.919697488;0;-2.64057083333333;0;;39.8232323232323;;;
2/14/2020 1:04:09 AM;0.220333333333334;0.110166666666667;0.252866666666667;926.700435222226;N;7956.59428455557;W;8.47919381048735;28508721.4168803;1877857.59367607;1329475.72943502;70.8083617687225;5760414.84426591;256061.37503081;1474776.84899542;6.63110049822557;499289.368135265;134485.037685545;814876.670097488;0;-2.29341666666667;0;;39.8232323232323;;;
2/14/2020 1:09:09 AM;0.206000000000001;0.103;0.409766666666666;926.707734888886;N;7956.59928433333;W;7.33454614504128;28508721.4168803;1877858.20525973;1329478.56455169;67.3122560977936;5760414.84426591;256066.987573689;1474781.85187875;0;499289.368135265;134485.037685545;814876.670097488;0;-2.3309829787234;0;;39.8232323232323;;;
2/14/2020 1:14:09 AM;0.181666666666667;0.0908333333333337;0.2939;926.711520111111;N;7956.61258677778;W;6.86131946591025;28508721.4168803;1877858.77732372;1329482.14981835;71.0111832618713;5760414.84426591;256072.908469138;1474786.85466208;0;499289.368135265;134485.037685545;814876.670097488;0;-2.26435625;0;;39.8232323232323;;;
2/14/2020 1:19:09 AM;0.288666666666666;0.144333333333333;0.492366666666666;926.710662666663;N;7956.60673711111;W;8.28014544599898;28508721.4168803;1877859.46774686;1329486.06876835;71.5502178668976;5760414.84426591;256078.874385731;1474791.85752874;33.9449680862114;499289.368135265;134487.86805452;814879.421664155;0;-2.44421666666667;0;;39.8232323232323;;;
2/14/2020 1:24:09 AM;0.339333333333333;0.169666666666667;0.238133333333333;926.699352222223;N;7956.58812744445;W;7.62779609397057;28508721.4168803;1877860.10372889;1329489.15368502;77.0813155174255;5760414.84426591;256085.301426896;1474796.86029541;69.1942377137812;499289.368135265;134493.637431639;814884.424430821;0;-2.4646375;0;;39.8232323232323;;;
2/14/2020 1:29:09 AM;0.349;0.1745;0.442566666666667;926.705930777774;N;7956.59508600002;W;7.35113429390504;28508721.4168803;1877860.7166657;1329492.82231835;76.4357471466064;5760414.84426591;256091.674708412;1474801.86316207;69.1055400216021;499289.368135265;134499.399528341;814889.427297488;0;-2.28320625;0;;39.8232323232323;;;
2/14/2020 1:34:09 AM;0.257666666666666;0.128833333333333;0.238366666666667;926.709639888885;N;7956.61051488885;W;9.52843434135823;28508721.4168803;1877861.51114887;1329496.57441835;72.3620116710663;5760414.84426591;256097.708273019;1474806.86597874;57.5703631981836;499289.368135265;134504.199732527;814894.013180821;0;-2.40258958333333;0;;39.8232323232323;;;
2/14/2020 1:39:09 AM;0.216666666666667;0.108333333333334;0.4315;926.709142999997;N;7956.60205733333;W;7.34118511764843;28508721.4168803;1877862.12327371;1329499.74291835;74.9389028549194;5760414.84426591;256103.956805856;1474811.86887873;0;499289.368135265;134504.199732527;814894.013180821;0;-2.12298125;0;;39.8232323232323;;;
2/14/2020 1:44:09 AM;0.256333333333333;0.128166666666667;0.187533333333333;926.705035333331;N;7956.59612066666;W;6.69081871339422;28508721.4168803;1877862.68117736;1329502.91148501;70.3933310508728;5760414.84426591;256109.826354501;1474816.8718454;0;499289.368135265;134504.199732527;814894.013180821;0;-1.98317708333333;0;;39.8232323232323;;;
2/14/2020 1:49:09 AM;0.26;0.13;0.3949;926.707711333333;N;7956.60689744444;W;10.9841783919447;28508721.4168803;1877863.59701528;1329507.49738501;74.6664762496948;5760414.84426591;256116.051960676;1474821.87472873;0;499289.368135265;134504.199732527;814894.013180821;0;-2.10962916666667;0;;39.8232323232323;;;
2/14/2020 1:54:09 AM;0.151666666666667;0.0758333333333336;0.351366666666666;926.716161777778;N;7956.6137102222;W;8.09940655434542;28508721.4168803;1877864.27233243;1329510.99941834;75.6532573699951;5760414.84426591;256122.359816985;1474826.87752873;45.7017464282775;499289.368135265;134508.010342824;814897.598530821;0;-2.41672708333333;0;;39.8232323232323;;;
